Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,18/05/2023,2nd,Royal Challengers Bengaluru,Rajiv Gandhi International Stadium,,2.0,0/19,,,9.50,0,
2,21/05/2023,2nd,Mumbai Indians,Wankhede Stadium,,3.0,0/35,,,10.80,0,
3,05/04/2024,1st,Chennai Super Kings,Rajiv Gandhi International Stadium,did not bowl,,,,,10.80,0,
4,09/04/2024,2nd,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,J M Sharma (c Abhishek Sharma),3.0,1/33,,48.00,10.88,1,87.00
5,15/04/2024,2nd,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,48.00,10.88,1,87.00
6,20/04/2024,2nd,Delhi Capitals,Arun Jaitley Stadium,T Stubbs (c Shahbaz Ahmed),2.1,2/17,,20.33,10.23,2,34.67
,,,,,R R Pant (c T Natarajan),,,,,,3,
7,25/04/2024,1st,Royal Challengers Bengaluru,Rajiv Gandhi International Stadium,did not bowl,,,,20.33,10.23,3,34.67
8,28/04/2024,1st,Chennai Super Kings,MA Chidambaram Stadium,,1.0,0/8,,22.33,10.03,3,37.33
9,02/05/2024,2nd,Rajasthan Royals,Rajiv Gandhi International Stadium,,1.0,0/12,,24.33,10.19,3,41.33
10,06/05/2024,2nd,Mumbai Indians,Wankhede Stadium,,2.0,0/16,,28.33,9.88,3,46.67
11,08/05/2024,1st,Lucknow Super Giants,Rajiv Gandhi International Stadium,did not bowl,,,,28.33,9.88,3,46.67
12,19/05/2024,1st,Punjab Kings,Rajiv Gandhi International Stadium,,3.0,0/54,,34.33,11.30,3,64.67
13,21/05/2024,2nd,Kolkata Knight Riders,Narendra Modi Stadium,,1.0,0/13,,36.33,11.39,3,69.00
14,24/05/2024,2nd,Rajasthan Royals,MA Chidambaram Stadium,did not bowl,,,,36.33,11.39,3,69.00
15,26/05/2024,2nd,Kolkata Knight Riders,MA Chidambaram Stadium,did not bowl,,,,36.33,11.39,3,69.00
16,23/03/2025,2nd,Rajasthan Royals,Rajiv Gandhi International Stadium,did not bowl,,,,36.33,11.39,3,69.00
17,27/03/2025,2nd,Lucknow Super Giants,Rajiv Gandhi International Stadium,did not bowl,,,,36.33,11.39,3,69.00
18,30/03/2025,2nd,Delhi Capitals,Dr YS Rajasekhara Reddy Cricket Stadium,did not bowl,,,,36.33,11.39,3,69.00
19,03/04/2025,1st,Kolkata Knight Riders,Eden Gardens,did not bowl,,,,36.33,11.39,3,69.00
20,06/04/2025,2nd,Gujarat Titans,Rajiv Gandhi International Stadium,did not bowl,,,,36.33,11.39,3,69.00
21,12/04/2025,1st,Punjab Kings,Rajiv Gandhi International Stadium,did not bowl,,,,36.33,11.39,3,69.00
22,17/04/2025,2nd,Mumbai Indians,Wankhede Stadium,did not bowl,,,,36.33,11.39,3,69.00
23,23/04/2025,2nd,Mumbai Indians,Rajiv Gandhi International Stadium,did not bowl,,,,36.33,11.39,3,69.00
