Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,20/05/2014,1st,Chennai Super Kings,Eden Gardens,D R Smith (b),4.0,1/29,,24.00,7.25,1,29.00
2,28/04/2015,1st,Chennai Super Kings,MA Chidambaram Stadium,,4.0,0/25,,48.00,6.75,1,54.00
3,30/04/2015,1st,Chennai Super Kings,Eden Gardens,D R Smith (c R N ten Doeschate),4.0,1/54,,36.00,9.00,2,54.00
4,02/05/2015,2nd,Royal Challengers Bengaluru,M Chinnaswamy Stadium,,2.0,0/18,,42.00,9.00,2,63.00
5,08/04/2017,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,Mandeep Singh (b),4.0,1/29,,36.00,8.61,3,51.67
6,11/04/2017,2nd,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,B A Stokes (c †R R Pant),3.1,2/24,,25.40,8.46,4,35.80
,,,,,A B Dinda (c A Mishra),,,,,,5,
7,15/04/2017,2nd,Punjab Kings,Arun Jaitley Stadium,E J G Morgan (c K K Nair),4.0,2/23,,21.57,8.03,6,28.86
,,,,,M M Sharma (b),,,,,,7,
8,17/04/2017,2nd,Kolkata Knight Riders,Arun Jaitley Stadium,R V Uthappa (c †R R Pant),4.0,2/39,,19.44,8.26,8,26.78
,,,,,S A Yadav (c Z Khan),,,,,,9,
9,19/04/2017,1st,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,,4.0,0/37,,22.11,8.38,9,30.89
10,22/04/2017,1st,Mumbai Indians,Wankhede Stadium,N Rana (c C J Anderson),4.0,2/20,,20.27,8.02,10,27.09
,,,,,K A Pollard (c S V Samson),,,,,,11,
11,28/04/2017,2nd,Kolkata Knight Riders,Eden Gardens,,3.0,0/22,,21.91,7.97,11,29.09
12,04/05/2017,1st,Gujarat Lions,Arun Jaitley Stadium,K D Karthik (c C J Anderson),4.0,2/30,,20.38,7.92,12,26.92
,,,,,Ishan Kishan (c S S Iyer),,,,,,13,
13,06/05/2017,1st,Mumbai Indians,Barabati Stadium,,4.0,0/59,,22.23,8.49,13,31.46
14,10/05/2017,1st,Gujarat Lions,Green Park,S K Raina (b),4.0,1/38,,22.36,8.57,14,31.93
15,12/05/2017,2nd,Rising Pune Supergiant,Arun Jaitley Stadium,M K Tiwary (b),4.0,1/31,,22.47,8.51,15,31.87
16,14/05/2017,1st,Royal Challengers Bengaluru,Arun Jaitley Stadium,Vishnu Vinod (b),4.0,2/21,,21.24,8.29,16,29.35
