Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1  (k),20/04/2023,1st,Kolkata Knight Riders,Arun Jaitley Stadium,did not bowl,,,,,,0,
2  (k),24/04/2023,2nd,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bowl,,,,,,0,
3  (k),29/04/2023,1st,Sunrisers Hyderabad,Arun Jaitley Stadium,did not bowl,,,,,,0,
4  (k),02/05/2023,2nd,Gujarat Titans,Narendra Modi Stadium,did not bowl,,,,,,0,
5  (k),06/05/2023,1st,Royal Challengers Bengaluru,Arun Jaitley Stadium,did not bowl,,,,,,0,
6  (k),10/05/2023,1st,Chennai Super Kings,MA Chidambaram Stadium,did not bowl,,,,,,0,
7  (k),13/05/2023,1st,Punjab Kings,Arun Jaitley Stadium,did not bowl,,,,,,0,
8  (k),17/05/2023,2nd,Punjab Kings,Himachal Pradesh Cricket Association Stadium,did not bowl,,,,,,0,
9  (k),20/05/2023,1st,Chennai Super Kings,Arun Jaitley Stadium,did not bowl,,,,,,0,
10  (k),23/03/2024,2nd,Sunrisers Hyderabad,Eden Gardens,did not bowl,,,,,,0,
11  (k),29/03/2024,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,,,0,
12  (k),03/04/2024,2nd,Delhi Capitals,Dr YS Rajasekhara Reddy Cricket Stadium,did not bowl,,,,,,0,
13  (k),08/04/2024,2nd,Chennai Super Kings,MA Chidambaram Stadium,did not bowl,,,,,,0,
14  (k),14/04/2024,1st,Lucknow Super Giants,Eden Gardens,did not bowl,,,,,,0,
15  (k),16/04/2024,2nd,Rajasthan Royals,Eden Gardens,did not bowl,,,,,,0,
16  (k),21/04/2024,2nd,Royal Challengers Bengaluru,Eden Gardens,did not bowl,,,,,,0,
17  (k),26/04/2024,2nd,Punjab Kings,Eden Gardens,did not bowl,,,,,,0,
18  (k),29/04/2024,1st,Delhi Capitals,Eden Gardens,did not bowl,,,,,,0,
19  (k),03/05/2024,2nd,Mumbai Indians,Wankhede Stadium,did not bowl,,,,,,0,
20  (k),05/05/2024,2nd,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,did not bowl,,,,,,0,
21  (k),11/05/2024,2nd,Mumbai Indians,Eden Gardens,did not bowl,,,,,,0,
22,22/03/2025,1st,Kolkata Knight Riders,Eden Gardens,did not bowl,,,,,,0,
23,28/03/2025,2nd,Chennai Super Kings,MA Chidambaram Stadium,did not bowl,,,,,,0,
24,02/04/2025,2nd,Gujarat Titans,M Chinnaswamy Stadium,did not bowl,,,,,,0,
25,07/04/2025,2nd,Mumbai Indians,Wankhede Stadium,did not bowl,,,,,,0,
26,10/04/2025,2nd,Delhi Capitals,M Chinnaswamy Stadium,did not bowl,,,,,,0,
27,13/04/2025,1st,Rajasthan Royals,Sawai Mansingh Stadium,did not bowl,,,,,,0,
28,18/04/2025,2nd,Punjab Kings,M Chinnaswamy Stadium,did not bowl,,,,,,0,
29,20/04/2025,1st,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,,,0,
30,24/04/2025,2nd,Rajasthan Royals,M Chinnaswamy Stadium,did not bowl,,,,,,0,
31,23/05/2025,1st,Sunrisers Hyderabad,BRSABV Ekana Cricket Stadium,did not bowl,,,,,,0,
32,27/05/2025,1st,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,did not bowl,,,,,,0,
33,29/05/2025,1st,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,,,0,
