Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1  (k),29/04/2019,1st,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bowl,,,,,,0,
2  (k),08/10/2020,1st,Sunrisers Hyderabad,Dubai International Cricket Stadium,did not bowl,,,,,,0,
3  (k),10/10/2020,1st,Kolkata Knight Riders,Sheikh Zayed Stadium,did not bowl,,,,,,0,
4  (k),30/04/2021,2nd,Royal Challengers Bengaluru,Narendra Modi Stadium,did not bowl,,,,,,0,
5  (k),02/05/2021,2nd,Delhi Capitals,Narendra Modi Stadium,did not bowl,,,,,,0,
6,17/04/2022,2nd,Sunrisers Hyderabad,Dr DY Patil Sports Academy,did not bowl,,,,,,0,
7,01/04/2023,2nd,Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium,did not bowl,,,,,,0,
8,05/04/2023,2nd,Rajasthan Royals,Barsapara Cricket Stadium,did not bowl,,,,,,0,
9,09/04/2023,2nd,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bowl,,,,,,0,
10,13/04/2023,2nd,Gujarat Titans,Punjab Cricket Association IS Bindra Stadium,did not bowl,,,,,,0,
11,15/04/2023,1st,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,did not bowl,,,,,,0,
12,20/04/2023,1st,Royal Challengers Bengaluru,Punjab Cricket Association IS Bindra Stadium,did not bowl,,,,,,0,
13,22/04/2023,2nd,Mumbai Indians,Wankhede Stadium,did not bowl,,,,,,0,
14,28/04/2023,1st,Lucknow Super Giants,Punjab Cricket Association IS Bindra Stadium,did not bowl,,,,,,0,
15,30/04/2023,1st,Chennai Super Kings,MA Chidambaram Stadium,did not bowl,,,,,,0,
16,03/05/2023,2nd,Mumbai Indians,Punjab Cricket Association IS Bindra Stadium,did not bowl,,,,,,0,
17,08/05/2023,2nd,Kolkata Knight Riders,Eden Gardens,did not bowl,,,,,,0,
18,13/05/2023,2nd,Delhi Capitals,Arun Jaitley Stadium,did not bowl,,,,,,0,
19,17/05/2023,1st,Delhi Capitals,Himachal Pradesh Cricket Association Stadium,did not bowl,,,,,,0,
20,19/05/2023,2nd,Rajasthan Royals,Himachal Pradesh Cricket Association Stadium,did not bowl,,,,,,0,
21,23/03/2024,1st,Delhi Capitals,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,,,0,
22,25/03/2024,2nd,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,,,0,
23,30/03/2024,1st,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,did not bowl,,,,,,0,
24,04/04/2024,1st,Gujarat Titans,Narendra Modi Stadium,did not bowl,,,,,,0,
25,09/04/2024,1st,Sunrisers Hyderabad,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,,,0,
26,13/04/2024,2nd,Rajasthan Royals,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,,,0,
27,18/04/2024,1st,Mumbai Indians,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,,,0,
28,21/04/2024,2nd,Gujarat Titans,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,,,0,
29,26/04/2024,1st,Kolkata Knight Riders,Eden Gardens,did not bowl,,,,,,0,
30,01/05/2024,1st,Chennai Super Kings,MA Chidambaram Stadium,did not bowl,,,,,,0,
31,05/05/2024,1st,Chennai Super Kings,Himachal Pradesh Cricket Association Stadium,did not bowl,,,,,,0,
32,09/05/2024,1st,Royal Challengers Bengaluru,Himachal Pradesh Cricket Association Stadium,did not bowl,,,,,,0,
33,15/05/2024,1st,Rajasthan Royals,Barsapara Cricket Stadium,did not bowl,,,,,,0,
34,19/05/2024,2nd,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bowl,,,,,,0,
35  (k),25/03/2025,2nd,Gujarat Titans,Narendra Modi Stadium,did not bowl,,,,,,0,
36  (k),01/04/2025,1st,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,did not bowl,,,,,,0,
37  (k),05/04/2025,1st,Rajasthan Royals,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,,,0,
38  (k),08/04/2025,2nd,Chennai Super Kings,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,,,0,
39  (k),12/04/2025,2nd,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bowl,,,,,,0,
40,15/04/2025,2nd,Kolkata Knight Riders,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,,,0,
41,18/04/2025,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,,,0,
42,20/04/2025,2nd,Royal Challengers Bengaluru,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,,,0,
43,26/04/2025,2nd,Kolkata Knight Riders,Eden Gardens,did not bowl,,,,,,0,
44,30/04/2025,1st,Chennai Super Kings,MA Chidambaram Stadium,did not bowl,,,,,,0,
45,04/05/2025,2nd,Lucknow Super Giants,Himachal Pradesh Cricket Association Stadium,did not bowl,,,,,,0,
46  (k),18/05/2025,2nd,Rajasthan Royals,Sawai Mansingh Stadium,did not bowl,,,,,,0,
47,24/05/2025,2nd,Delhi Capitals,Sawai Mansingh Stadium,did not bowl,,,,,,0,
48,26/05/2025,1st,Mumbai Indians,Sawai Mansingh Stadium,did not bowl,,,,,,0,
49,29/05/2025,2nd,Royal Challengers Bengaluru,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,,,0,
50,01/06/2025,1st,Mumbai Indians,Narendra Modi Stadium,did not bowl,,,,,,0,
