Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,25/03/2025,2nd,Gujarat Titans,Narendra Modi Stadium,did not bowl,,,,,,0,
2,01/04/2025,1st,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,did not bowl,,,,,,0,
3,05/04/2025,1st,Rajasthan Royals,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,,,0,
4,08/04/2025,2nd,Chennai Super Kings,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,,,0,
5,12/04/2025,2nd,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bowl,,,,,,0,
6,15/04/2025,2nd,Kolkata Knight Riders,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,,,0,
7,18/04/2025,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,,,0,
8,20/04/2025,2nd,Royal Challengers Bengaluru,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,,,0,
9,26/04/2025,2nd,Kolkata Knight Riders,Eden Gardens,did not bowl,,,,,,0,
10,30/04/2025,1st,Chennai Super Kings,MA Chidambaram Stadium,did not bowl,,,,,,0,
11,04/05/2025,2nd,Lucknow Super Giants,Himachal Pradesh Cricket Association Stadium,did not bowl,,,,,,0,
12,18/05/2025,2nd,Rajasthan Royals,Sawai Mansingh Stadium,did not bowl,,,,,,0,
13,24/05/2025,2nd,Delhi Capitals,Sawai Mansingh Stadium,did not bowl,,,,,,0,
14,26/05/2025,1st,Mumbai Indians,Sawai Mansingh Stadium,did not bowl,,,,,,0,
15,29/05/2025,2nd,Royal Challengers Bengaluru,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,,,0,
16,01/06/2025,1st,Mumbai Indians,Narendra Modi Stadium,did not bowl,,,,,,0,
