Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,17/04/2013,2nd,Pune Warriors,Maharashtra Cricket Association Stadium,did not bowl,,,,,,0,
2  (k),19/04/2013,1st,Punjab Kings,Rajiv Gandhi International Stadium,did not bowl,,,,,,0,
3  (k),25/04/2013,2nd,Chennai Super Kings,MA Chidambaram Stadium,did not bowl,,,,,,0,
4,25/04/2014,1st,Sunrisers Hyderabad,Dubai International Cricket Stadium,did not bowl,,,,,,0,
5,27/04/2014,1st,Mumbai Indians,Sharjah Cricket Stadium,did not bowl,,,,,,0,
6,03/05/2014,2nd,Rajasthan Royals,Arun Jaitley Stadium,did not bowl,,,,,,0,
7,05/05/2014,2nd,Chennai Super Kings,Arun Jaitley Stadium,did not bowl,,,,,,0,
8,07/05/2014,2nd,Kolkata Knight Riders,Arun Jaitley Stadium,did not bowl,,,,,,0,
9,10/05/2014,2nd,Sunrisers Hyderabad,Arun Jaitley Stadium,did not bowl,,,,,,0,
10  (k),13/05/2014,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,,,0,
11  (k),09/05/2015,1st,Sunrisers Hyderabad,Shaheed Veer Narayan Sing International Stadium,did not bowl,,,,,,0,
12  (k),12/05/2015,1st,Chennai Super Kings,Shaheed Veer Narayan Sing International Stadium,did not bowl,,,,,,0,
13  (k),17/05/2015,2nd,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,,,0,
14  (k),10/04/2016,2nd,Kolkata Knight Riders,Eden Gardens,did not bowl,,,,,,0,
15  (k),15/04/2016,1st,Punjab Kings,Arun Jaitley Stadium,did not bowl,,,,,,0,
16  (k),17/04/2016,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,,,0,
17  (k),23/04/2016,2nd,Mumbai Indians,Arun Jaitley Stadium,did not bowl,,,,,,0,
