Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,22/03/2024,1st,Royal Challengers Bengaluru,MA Chidambaram Stadium,did not bowl,,,,,,0,
2,26/03/2024,2nd,Gujarat Titans,MA Chidambaram Stadium,did not bowl,,,,,,0,
3,31/03/2024,1st,Delhi Capitals,Dr YS Rajasekhara Reddy Cricket Stadium,did not bowl,,,,,,0,
4,05/04/2024,2nd,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,,1.0,0/3,,,3.00,0,
5,08/04/2024,1st,Kolkata Knight Riders,MA Chidambaram Stadium,,1.0,0/4,,,3.50,0,
6,14/04/2024,2nd,Mumbai Indians,Wankhede Stadium,did not bowl,,,,,3.50,0,
7,19/04/2024,2nd,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,did not bowl,,,,,3.50,0,
8,10/05/2024,1st,Gujarat Titans,Narendra Modi Stadium,did not bowl,,,,,3.50,0,
9,12/05/2024,1st,Rajasthan Royals,MA Chidambaram Stadium,did not bowl,,,,,3.50,0,
10,18/05/2024,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,,3.50,0,
11,23/03/2025,1st,Mumbai Indians,MA Chidambaram Stadium,did not bowl,,,,,3.50,0,
12,28/03/2025,1st,Royal Challengers Bengaluru,MA Chidambaram Stadium,did not bowl,,,,,3.50,0,
13,30/03/2025,1st,Rajasthan Royals,Barsapara Cricket Stadium,did not bowl,,,,,3.50,0,
14,05/04/2025,1st,Delhi Capitals,MA Chidambaram Stadium,did not bowl,,,,,3.50,0,
15,08/04/2025,1st,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,,3.50,0,
16,11/04/2025,2nd,Kolkata Knight Riders,MA Chidambaram Stadium,did not bowl,,,,,3.50,0,
17,14/04/2025,1st,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,did not bowl,,,,,3.50,0,
18,20/04/2025,2nd,Mumbai Indians,Wankhede Stadium,did not bowl,,,,,3.50,0,
