Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,08/04/2017,2nd,Punjab Kings,Holkar Cricket Stadium,H M Amla (c B A Stokes),4.0,1/32,,24.00,8.00,1,32.00
2,14/04/2017,2nd,Gujarat Lions,Saurashtra Cricket Association Stadium,B B McCullum (st M S Dhoni),3.0,1/26,,21.00,8.29,2,29.00
3,16/04/2017,2nd,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,21.00,8.29,2,29.00
4,03/04/2019,2nd,Chennai Super Kings,Wankhede Stadium,,2.0,0/11,,27.00,7.67,2,34.50
5,06/04/2019,2nd,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,J M Bairstow (c J J Bumrah),4.0,2/21,,19.50,6.92,3,22.50
,,,,,Y K Pathan (c Ishan Kishan),,,,,,4,
6,10/04/2019,1st,Punjab Kings,Wankhede Stadium,,4.0,0/27,,25.50,6.88,4,29.25
7,13/04/2019,2nd,Rajasthan Royals,Wankhede Stadium,J C Buttler (c S A Yadav),4.0,1/34,,25.20,7.19,5,30.20
8,15/04/2019,1st,Royal Challengers Bengaluru,Wankhede Stadium,,4.0,0/31,,30.00,7.28,5,36.40
9,18/04/2019,2nd,Delhi Capitals,Arun Jaitley Stadium,S Dhawan (b),4.0,3/19,,21.75,6.93,6,25.13
,,,,,P P Shaw (c H H Pandya),,,,,,7,
,,,,,S S Iyer (b),,,,,,8,
10,20/04/2019,2nd,Rajasthan Royals,Sawai Mansingh Stadium,A M Rahane (c S A Yadav),4.0,3/29,,18.00,6.97,9,20.91
,,,,,S V Samson (c K A Pollard),,,,,,10,
,,,,,B A Stokes (b),,,,,,11,
11,26/04/2019,2nd,Chennai Super Kings,MA Chidambaram Stadium,,4.0,0/21,,20.18,6.78,11,22.82
12,28/04/2019,1st,Kolkata Knight Riders,Eden Gardens,C A Lynn (c E Lewis),4.0,1/54,,20.50,7.44,12,25.42
13,02/05/2019,2nd,Sunrisers Hyderabad,Wankhede Stadium,,4.0,0/21,,22.50,7.24,12,27.17
14,05/05/2019,1st,Kolkata Knight Riders,Wankhede Stadium,,1.0,0/12,,23.00,7.35,12,28.17
15,07/05/2019,1st,Chennai Super Kings,MA Chidambaram Stadium,F du Plessis (c sub),4.0,2/14,,21.43,7.04,13,25.14
,,,,,M Vijay (st Q de Kock),,,,,,14,
16,12/05/2019,2nd,Chennai Super Kings,Rajiv Gandhi International Stadium,S K Raina (lbw),4.0,1/14,,21.60,6.78,15,24.40
17,19/09/2020,2nd,Chennai Super Kings,Sheikh Zayed Stadium,A T Rayudu (c & b),4.0,1/36,,21.75,6.93,16,25.13
18,23/09/2020,2nd,Kolkata Knight Riders,Sheikh Zayed Stadium,K D Karthik (lbw),4.0,2/26,,20.67,6.90,17,23.78
,,,,,Shivam Mavi (st Q de Kock),,,,,,18,
19,28/09/2020,1st,Royal Challengers Bengaluru,Dubai International Cricket Stadium,V Kohli (c R G Sharma),4.0,1/31,,20.84,6.95,19,24.16
20,01/10/2020,2nd,Punjab Kings,Sheikh Zayed Stadium,K L Rahul (b),4.0,2/26,,20.00,6.93,20,23.10
,,,,,G J Maxwell (c T A Boult),,,,,,21,
21,04/10/2020,2nd,Sunrisers Hyderabad,Sharjah Cricket Stadium,,1.0,0/16,,20.29,7.06,21,23.86
22,06/10/2020,2nd,Rajasthan Royals,Sheikh Zayed Stadium,M K Lomror (c sub),3.0,1/24,,20.18,7.09,22,23.86
23,11/10/2020,1st,Delhi Capitals,Sheikh Zayed Stadium,,4.0,0/27,,21.27,7.08,22,25.09
24,16/10/2020,1st,Kolkata Knight Riders,Sheikh Zayed Stadium,Shubman Gill (c K A Pollard),4.0,2/18,,20.50,6.95,23,23.75
,,,,,K D Karthik (b),,,,,,24,
25,18/10/2020,2nd,Punjab Kings,Dubai International Cricket Stadium,C H Gayle (c T A Boult),4.0,2/33,,19.85,7.01,25,23.19
,,,,,G J Maxwell (c R G Sharma),,,,,,26,
26,23/10/2020,1st,Chennai Super Kings,Sharjah Cricket Stadium,M S Dhoni (c †Q de Kock),4.0,2/22,,19.29,6.94,27,22.32
,,,,,D L Chahar (st Q de Kock),,,,,,28,
27,25/10/2020,2nd,Rajasthan Royals,Sheikh Zayed Stadium,,3.0,0/36,,19.93,7.11,28,23.61
28,28/10/2020,1st,Royal Challengers Bengaluru,Sheikh Zayed Stadium,J R Philippe (st Q de Kock),4.0,1/43,,20.07,7.26,29,24.28
29,31/10/2020,1st,Delhi Capitals,Dubai International Cricket Stadium,S S Iyer (st Q de Kock),4.0,1/24,,20.20,7.21,30,24.27
30,03/11/2020,2nd,Sunrisers Hyderabad,Sharjah Cricket Stadium,,4.0,0/36,,21.00,7.28,30,25.47
31,05/11/2020,2nd,Delhi Capitals,Dubai International Cricket Stadium,,2.0,0/35,,21.40,7.47,30,26.63
32,09/04/2021,2nd,Royal Challengers Bengaluru,MA Chidambaram Stadium,,4.0,0/43,,22.20,7.59,30,28.07
33,13/04/2021,2nd,Kolkata Knight Riders,MA Chidambaram Stadium,Shubman Gill (c K A Pollard),4.0,4/27,,20.29,7.56,31,25.56
,,,,,R A Tripathi (c †Q de Kock),,,,,,32,
,,,,,E J G Morgan (c M Jansen),,,,,,33,
,,,,,N Rana (st Q de Kock),,,,,,34,
34,17/04/2021,2nd,Sunrisers Hyderabad,MA Chidambaram Stadium,M K Pandey (c K A Pollard),4.0,3/19,,19.30,7.46,35,24.00
,,,,,Virat Singh (c S A Yadav),,,,,,36,
,,,,,Abhishek Sharma (c A F Milne),,,,,,37,
35,20/04/2021,2nd,Delhi Capitals,MA Chidambaram Stadium,S Dhawan (c K H Pandya),4.0,1/29,,19.42,7.46,38,24.13
36,23/04/2021,2nd,Punjab Kings,MA Chidambaram Stadium,M A Agarwal (c J Yadav),4.0,1/19,,19.54,7.37,39,24.00
37,29/04/2021,1st,Rajasthan Royals,Arun Jaitley Stadium,J C Buttler (st Q de Kock),4.0,2/33,,19.17,7.40,40,23.63
,,,,,Y B K Jaiswal (c & b),,,,,,41,
38,01/05/2021,1st,Chennai Super Kings,Arun Jaitley Stadium,,4.0,0/32,,19.76,7.41,41,24.41
39,19/09/2021,1st,Chennai Super Kings,Dubai International Cricket Stadium,,4.0,0/22,,20.34,7.36,41,24.95
40,23/09/2021,2nd,Kolkata Knight Riders,Sheikh Zayed Stadium,,3.0,0/34,,20.78,7.44,41,25.78
41,26/09/2021,1st,Royal Challengers Bengaluru,Dubai International Cricket Stadium,K S Bharat (c S A Yadav),4.0,1/33,,20.86,7.47,42,25.95
42,28/09/2021,1st,Punjab Kings,Sheikh Zayed Stadium,A K Markram (b),4.0,1/27,,20.93,7.45,43,25.98
43,27/03/2022,1st,Royal Challengers Bengaluru,Dr DY Patil Sports Academy,Anuj Rawat (b),4.0,1/22,,21.00,7.40,44,25.89
44,01/04/2022,2nd,Kolkata Knight Riders,Wankhede Stadium,S S Iyer (c K Rabada),4.0,2/13,,20.61,7.29,45,25.04
,,,,,N Rana (lbw),,,,,,46,
