Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,09/04/2022,2nd,Royal Challengers Bengaluru,Maharashtra Cricket Association Stadium,did not bowl,,,,,,0,
2,09/05/2022,1st,Kolkata Knight Riders,Dr DY Patil Sports Academy,did not bowl,,,,,,0,
3,12/05/2022,1st,Chennai Super Kings,Wankhede Stadium,M M Theekshana (c R G Sharma),1.0,1/5,,6.00,5.00,1,5.00
4,17/05/2022,1st,Sunrisers Hyderabad,Wankhede Stadium,P K Garg (c & b),3.0,3/20,,6.00,6.25,2,6.25
,,,,,R A Tripathi (c Tilak Varma),,,,,,3,
,,,,,A K Markram (c T H David),,,,,,4,
5,21/05/2022,1st,Delhi Capitals,Wankhede Stadium,R R Pant (c †Ishan Kishan),2.0,2/29,,6.00,9.00,5,9.00
,,,,,S N Thakur (c T H David),,,,,,6,
6,23/03/2024,2nd,Sunrisers Hyderabad,Eden Gardens,did not bowl,,,,6.00,9.00,6,9.00
7,29/03/2024,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,6.00,9.00,6,9.00
8,03/04/2024,2nd,Delhi Capitals,Dr YS Rajasekhara Reddy Cricket Stadium,did not bowl,,,,6.00,9.00,6,9.00
9,08/04/2024,2nd,Chennai Super Kings,MA Chidambaram Stadium,did not bowl,,,,6.00,9.00,6,9.00
10,14/04/2024,1st,Lucknow Super Giants,Eden Gardens,did not bowl,,,,6.00,9.00,6,9.00
11,16/04/2024,2nd,Rajasthan Royals,Eden Gardens,did not bowl,,,,6.00,9.00,6,9.00
12,21/04/2024,2nd,Royal Challengers Bengaluru,Eden Gardens,did not bowl,,,,6.00,9.00,6,9.00
13,26/04/2024,2nd,Punjab Kings,Eden Gardens,,0.4,0/9,,6.67,9.45,6,10.50
14,29/04/2024,1st,Delhi Capitals,Eden Gardens,did not bowl,,,,6.67,9.45,6,10.50
15,03/05/2024,2nd,Mumbai Indians,Wankhede Stadium,did not bowl,,,,6.67,9.45,6,10.50
16,05/05/2024,2nd,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,did not bowl,,,,6.67,9.45,6,10.50
17,11/05/2024,2nd,Mumbai Indians,Eden Gardens,did not bowl,,,,6.67,9.45,6,10.50
18,19/05/2024,1st,Rajasthan Royals,Barsapara Cricket Stadium,did not bowl,,,,6.67,9.45,6,10.50
19,21/05/2024,1st,Sunrisers Hyderabad,Narendra Modi Stadium,did not bowl,,,,6.67,9.45,6,10.50
20,26/05/2024,1st,Sunrisers Hyderabad,MA Chidambaram Stadium,did not bowl,,,,6.67,9.45,6,10.50
21,22/03/2025,2nd,Royal Challengers Bengaluru,Eden Gardens,did not bowl,,,,6.67,9.45,6,10.50
22,26/03/2025,1st,Rajasthan Royals,Barsapara Cricket Stadium,did not bowl,,,,6.67,9.45,6,10.50
23,31/03/2025,2nd,Mumbai Indians,Wankhede Stadium,did not bowl,,,,6.67,9.45,6,10.50
24,03/04/2025,2nd,Sunrisers Hyderabad,Eden Gardens,did not bowl,,,,6.67,9.45,6,10.50
25,08/04/2025,1st,Lucknow Super Giants,Eden Gardens,did not bowl,,,,6.67,9.45,6,10.50
26,11/04/2025,1st,Chennai Super Kings,MA Chidambaram Stadium,did not bowl,,,,6.67,9.45,6,10.50
27,15/04/2025,1st,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,6.67,9.45,6,10.50
28,21/04/2025,1st,Gujarat Titans,Eden Gardens,did not bowl,,,,6.67,9.45,6,10.50
