Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,19/04/2008,2nd,Delhi Capitals,Arun Jaitley Stadium,did not bowl,,,,,,0,
2,21/04/2008,1st,Punjab Kings,Sawai Mansingh Stadium,did not bowl,,,,,,0,
3,24/04/2008,1st,Deccan Chargers,Rajiv Gandhi International Stadium,did not bowl,,,,,,0,
4,26/04/2008,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,,,0,
5,01/05/2008,2nd,Kolkata Knight Riders,Sawai Mansingh Stadium,did not bowl,,,,,,0,
6,04/05/2008,1st,Chennai Super Kings,Sawai Mansingh Stadium,did not bowl,,,,,,0,
7,07/05/2008,2nd,Mumbai Indians,Dr DY Patil Sports Academy,did not bowl,,,,,,0,
8,09/05/2008,1st,Deccan Chargers,Sawai Mansingh Stadium,did not bowl,,,,,,0,
9,11/05/2008,1st,Delhi Capitals,Sawai Mansingh Stadium,did not bowl,,,,,,0,
10,17/05/2008,2nd,Royal Challengers Bengaluru,Sawai Mansingh Stadium,,2.0,0/21,,,10.50,0,
11,20/05/2008,1st,Kolkata Knight Riders,Eden Gardens,did not bowl,,,,,10.50,0,
12,26/05/2008,1st,Mumbai Indians,Sawai Mansingh Stadium,did not bowl,,,,,10.50,0,
13,30/05/2008,2nd,Delhi Capitals,Wankhede Stadium,,0.1,0/0,,,9.69,0,
14,01/06/2008,1st,Chennai Super Kings,Dr DY Patil Sports Academy,did not bowl,,,,,9.69,0,
15,18/04/2009,1st,Royal Challengers Bengaluru,Newlands,did not bowl,,,,,9.69,0,
16,23/04/2009,2nd,Kolkata Knight Riders,Newlands,,1.0,0/7,,,8.84,0,
17,26/04/2009,1st,Punjab Kings,Newlands,did not bowl,,,,,8.84,0,
18,28/04/2009,1st,Delhi Capitals,SuperSport Park,,2.0,0/17,,,8.71,0,
19,30/04/2009,1st,Chennai Super Kings,Buffalo Park,did not bowl,,,,,8.71,0,
20,02/05/2009,1st,Deccan Chargers,St George's Park,A C Gilchrist (c Y K Pathan),4.0,1/22,,55.00,7.31,1,67.00
21,05/05/2009,2nd,Punjab Kings,Kingsmead,,1.0,0/6,,61.00,7.18,1,73.00
22,07/05/2009,1st,Royal Challengers Bengaluru,SuperSport Park,R V Uthappa (lbw),4.0,3/15,,21.25,6.21,2,22.00
,,,,,M V Boucher (b),,,,,,3,
,,,,,V Kohli (c M Morkel),,,,,,4,
23,09/05/2009,2nd,Chennai Super Kings,Diamond Oval,,2.2,0/14,,24.75,6.18,4,25.50
