Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,27/04/2016,1st,Gujarat Lions,Arun Jaitley Stadium,did not bowl,,,,,,0,
2,30/04/2016,2nd,Kolkata Knight Riders,Arun Jaitley Stadium,did not bowl,,,,,,0,
3,03/05/2016,1st,Gujarat Lions,Saurashtra Cricket Association Stadium,did not bowl,,,,,,0,
4,05/05/2016,2nd,Rising Pune Supergiant,Arun Jaitley Stadium,did not bowl,,,,,,0,
5,07/05/2016,1st,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,did not bowl,,,,,,0,
6,12/05/2016,1st,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bowl,,,,,,0,
7,15/05/2016,1st,Mumbai Indians,Dr YS Rajasekhara Reddy Cricket Stadium,did not bowl,,,,,,0,
8,17/05/2016,2nd,Rising Pune Supergiant,Dr YS Rajasekhara Reddy Cricket Stadium,did not bowl,,,,,,0,
9,20/05/2016,1st,Sunrisers Hyderabad,Shaheed Veer Narayan Sing International Stadium,did not bowl,,,,,,0,
10,22/05/2016,2nd,Royal Challengers Bengaluru,Shaheed Veer Narayan Sing International Stadium,did not bowl,,,,,,0,
11  (k),08/04/2017,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,,,0,
12  (k),11/04/2017,2nd,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,did not bowl,,,,,,0,
13  (k),15/04/2017,2nd,Punjab Kings,Arun Jaitley Stadium,did not bowl,,,,,,0,
14  (k),17/04/2017,2nd,Kolkata Knight Riders,Arun Jaitley Stadium,did not bowl,,,,,,0,
15  (k),19/04/2017,1st,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bowl,,,,,,0,
16  (k),22/04/2017,1st,Mumbai Indians,Wankhede Stadium,did not bowl,,,,,,0,
17  (k),28/04/2017,2nd,Kolkata Knight Riders,Eden Gardens,did not bowl,,,,,,0,
18  (k),30/04/2017,2nd,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,did not bowl,,,,,,0,
19  (k),02/05/2017,1st,Sunrisers Hyderabad,Arun Jaitley Stadium,did not bowl,,,,,,0,
20  (k),04/05/2017,1st,Gujarat Lions,Arun Jaitley Stadium,did not bowl,,,,,,0,
21  (k),06/05/2017,1st,Mumbai Indians,Barabati Stadium,did not bowl,,,,,,0,
22  (k),10/05/2017,1st,Gujarat Lions,Green Park,did not bowl,,,,,,0,
23  (k),12/05/2017,2nd,Rising Pune Supergiant,Arun Jaitley Stadium,did not bowl,,,,,,0,
24  (k),14/05/2017,1st,Royal Challengers Bengaluru,Arun Jaitley Stadium,did not bowl,,,,,,0,
