Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,11/04/2019,2nd,Chennai Super Kings,Sawai Mansingh Stadium,,3.0,0/24,,,8.00,0,
2,20/04/2019,1st,Mumbai Indians,Sawai Mansingh Stadium,,2.0,0/17,,,8.20,0,
3,22/04/2019,2nd,Delhi Capitals,Sawai Mansingh Stadium,S S Iyer (c B A Stokes),3.0,1/25,,48.00,8.25,1,66.00
4,25/04/2019,1st,Kolkata Knight Riders,Eden Gardens,,1.0,0/7,,54.00,8.11,1,73.00
5,27/04/2019,1st,Sunrisers Hyderabad,Sawai Mansingh Stadium,,3.0,0/24,,72.00,8.08,1,97.00
6,30/04/2019,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,Gurkeerat Singh (c M K Lomror),1.0,1/10,,39.00,8.23,2,53.50
7,04/05/2019,2nd,Delhi Capitals,Arun Jaitley Stadium,,1.0,0/14,,42.00,8.64,2,60.50
8,22/09/2020,2nd,Chennai Super Kings,Sharjah Cricket Stadium,did not bowl,,,,42.00,8.64,2,60.50
9,27/09/2020,1st,Punjab Kings,Sharjah Cricket Stadium,did not bowl,,,,42.00,8.64,2,60.50
10,30/09/2020,1st,Kolkata Knight Riders,Dubai International Cricket Stadium,,1.0,0/14,,45.00,9.00,2,67.50
11,03/10/2020,2nd,Royal Challengers Bengaluru,Sheikh Zayed Stadium,,1.0,0/13,,48.00,9.25,2,74.00
12,11/10/2020,1st,Sunrisers Hyderabad,Dubai International Cricket Stadium,did not bowl,,,,48.00,9.25,2,74.00
13,14/10/2020,1st,Delhi Capitals,Dubai International Cricket Stadium,did not bowl,,,,48.00,9.25,2,74.00
14,17/10/2020,2nd,Royal Challengers Bengaluru,Dubai International Cricket Stadium,did not bowl,,,,48.00,9.25,2,74.00
15,19/10/2020,1st,Chennai Super Kings,Sheikh Zayed Stadium,did not bowl,,,,48.00,9.25,2,74.00
16,22/10/2020,2nd,Sunrisers Hyderabad,Dubai International Cricket Stadium,did not bowl,,,,48.00,9.25,2,74.00
17,25/10/2020,1st,Mumbai Indians,Sheikh Zayed Stadium,did not bowl,,,,48.00,9.25,2,74.00
18,30/10/2020,1st,Punjab Kings,Sheikh Zayed Stadium,did not bowl,,,,48.00,9.25,2,74.00
19,01/11/2020,1st,Kolkata Knight Riders,Dubai International Cricket Stadium,did not bowl,,,,48.00,9.25,2,74.00
20,12/04/2021,1st,Punjab Kings,Wankhede Stadium,C H Gayle (c B A Stokes),1.0,1/7,,34.00,9.12,3,51.67
21,15/04/2021,1st,Delhi Capitals,Wankhede Stadium,,2.0,0/16,,38.00,9.00,3,57.00
22,19/04/2021,1st,Chennai Super Kings,Wankhede Stadium,,1.0,0/16,,40.00,9.35,3,62.33
23,22/04/2021,2nd,Royal Challengers Bengaluru,Wankhede Stadium,,1.0,0/14,,42.00,9.57,3,67.00
24,24/04/2021,1st,Kolkata Knight Riders,Wankhede Stadium,did not bowl,,,,42.00,9.57,3,67.00
25,29/04/2021,2nd,Mumbai Indians,Arun Jaitley Stadium,did not bowl,,,,42.00,9.57,3,67.00
26,02/05/2021,2nd,Sunrisers Hyderabad,Arun Jaitley Stadium,did not bowl,,,,42.00,9.57,3,67.00
27,21/09/2021,2nd,Punjab Kings,Dubai International Cricket Stadium,,1.0,0/16,,44.00,9.86,3,72.33
28,25/09/2021,1st,Delhi Capitals,Sheikh Zayed Stadium,did not bowl,,,,44.00,9.86,3,72.33
29,27/09/2021,2nd,Sunrisers Hyderabad,Dubai International Cricket Stadium,did not bowl,,,,44.00,9.86,3,72.33
30,29/09/2021,2nd,Royal Challengers Bengaluru,Dubai International Cricket Stadium,,0.1,0/4,,44.33,9.97,3,73.67
31,29/03/2022,2nd,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,,1.0,0/14,,46.33,10.14,3,78.33
32,02/04/2022,2nd,Mumbai Indians,Dr DY Patil Sports Academy,,1.0,0/11,,48.33,10.18,3,82.00
33,05/04/2022,2nd,Royal Challengers Bengaluru,Wankhede Stadium,did not bowl,,,,48.33,10.18,3,82.00
34,10/04/2022,2nd,Lucknow Super Giants,Wankhede Stadium,did not bowl,,,,48.33,10.18,3,82.00
35,14/04/2022,1st,Gujarat Titans,Dr DY Patil Sports Academy,Shubman Gill (c S O Hetmeyer),1.0,1/12,,37.75,10.25,4,64.50
36,18/04/2022,2nd,Kolkata Knight Riders,Brabourne Stadium,did not bowl,,,,37.75,10.25,4,64.50
37,22/04/2022,2nd,Delhi Capitals,Wankhede Stadium,,1.0,0/22,,39.25,10.70,4,70.00
38,26/04/2022,2nd,Royal Challengers Bengaluru,Maharashtra Cricket Association Stadium,did not bowl,,,,39.25,10.70,4,70.00
39,30/04/2022,2nd,Mumbai Indians,Dr DY Patil Sports Academy,did not bowl,,,,39.25,10.70,4,70.00
