Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,29/03/2022,1st,Rajasthan Royals,Maharashtra Cricket Association Stadium,Y B K Jaiswal (c A K Markram),4.0,1/33,,24.00,8.25,1,33.00
2,04/04/2022,1st,Lucknow Super Giants,Dr DY Patil Sports Academy,M K Pandey (c B Kumar),4.0,2/42,,16.00,9.38,2,25.00
,,,,,D J Hooda (c R A Tripathi),,,,,,3,
3,22/05/2022,2nd,Punjab Kings,Wankhede Stadium,,1.0,0/23,,18.00,10.89,3,32.67
4,07/04/2023,1st,Sunrisers Hyderabad,BRSABV Ekana Cricket Stadium,did not bowl,,,,18.00,10.89,3,32.67
5,27/03/2024,1st,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bowl,,,,18.00,10.89,3,32.67
6,07/04/2024,2nd,Delhi Capitals,Wankhede Stadium,D A Warner (c H H Pandya),4.0,1/54,,19.50,11.69,4,38.00
7,11/04/2024,1st,Royal Challengers Bengaluru,Wankhede Stadium,,2.0,0/22,,22.50,11.60,4,43.50
8,14/04/2024,1st,Chennai Super Kings,Wankhede Stadium,,2.0,0/33,,25.50,12.18,4,51.75
9,18/04/2024,2nd,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,,2.0,0/20,,28.50,11.95,4,56.75
10,17/05/2024,1st,Lucknow Super Giants,Wankhede Stadium,,2.0,0/30,,31.50,12.24,4,64.25
11,20/04/2025,1st,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,S S Iyer (c K H Pandya),2.0,1/18,,27.60,11.96,5,55.00
12,24/04/2025,2nd,Rajasthan Royals,M Chinnaswamy Stadium,,1.0,0/15,,28.80,12.08,5,58.00
13,27/04/2025,1st,Delhi Capitals,Arun Jaitley Stadium,did not bowl,,,,28.80,12.08,5,58.00
14,03/05/2025,2nd,Chennai Super Kings,M Chinnaswamy Stadium,,1.0,0/18,,30.00,12.32,5,61.60
15,23/05/2025,1st,Sunrisers Hyderabad,BRSABV Ekana Cricket Stadium,N K Reddy (c K H Pandya),2.0,2/14,,23.14,11.93,6,46.00
,,,,,A Manohar (c P D Salt),,,,,,7,
16,27/05/2025,1st,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,N Pooran (c Y Dayal),4.0,1/51,,23.25,12.03,8,46.63
17,29/05/2025,1st,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,Harpreet Brar (b),1.0,1/5,,21.33,11.81,9,42.00
