Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,27/03/2022,1st,Mumbai Indians,Brabourne Stadium,did not bowl,,,,,,0,
2,02/04/2022,1st,Gujarat Titans,Maharashtra Cricket Association Stadium,did not bowl,,,,,,0,
3,07/04/2022,2nd,Lucknow Super Giants,Dr DY Patil Sports Academy,did not bowl,,,,,,0,
4,10/04/2022,2nd,Kolkata Knight Riders,Brabourne Stadium,,1.0,0/17,,,17.00,0,
5,16/04/2022,1st,Royal Challengers Bengaluru,Wankhede Stadium,did not bowl,,,,,17.00,0,
6,20/04/2022,1st,Punjab Kings,Brabourne Stadium,did not bowl,,,,,17.00,0,
7,22/04/2022,1st,Rajasthan Royals,Wankhede Stadium,did not bowl,,,,,17.00,0,
8,28/04/2022,1st,Kolkata Knight Riders,Wankhede Stadium,did not bowl,,,,,17.00,0,
9,01/05/2022,1st,Lucknow Super Giants,Wankhede Stadium,did not bowl,,,,,17.00,0,
10,05/05/2022,2nd,Sunrisers Hyderabad,Brabourne Stadium,did not bowl,,,,,17.00,0,
11,08/05/2022,1st,Chennai Super Kings,Dr DY Patil Sports Academy,did not bowl,,,,,17.00,0,
12,11/05/2022,1st,Rajasthan Royals,Dr DY Patil Sports Academy,did not bowl,,,,,17.00,0,
13,16/05/2022,2nd,Punjab Kings,Dr DY Patil Sports Academy,did not bowl,,,,,17.00,0,
14,21/05/2022,2nd,Mumbai Indians,Wankhede Stadium,did not bowl,,,,,17.00,0,
15,01/04/2023,1st,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,did not bowl,,,,,17.00,0,
16,08/04/2023,1st,Rajasthan Royals,Barsapara Cricket Stadium,R Parag (b),2.0,1/18,,18.00,11.67,1,35.00
17,11/04/2023,2nd,Mumbai Indians,Arun Jaitley Stadium,did not bowl,,,,18.00,11.67,1,35.00
18,13/04/2024,1st,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,18.00,11.67,1,35.00
19,16/04/2024,1st,Kolkata Knight Riders,Eden Gardens,did not bowl,,,,18.00,11.67,1,35.00
20,22/04/2024,1st,Mumbai Indians,Sawai Mansingh Stadium,did not bowl,,,,18.00,11.67,1,35.00
21,27/04/2024,1st,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,did not bowl,,,,18.00,11.67,1,35.00
22,02/05/2024,1st,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bowl,,,,18.00,11.67,1,35.00
23,07/05/2024,1st,Delhi Capitals,Arun Jaitley Stadium,did not bowl,,,,18.00,11.67,1,35.00
24,15/05/2024,2nd,Punjab Kings,Barsapara Cricket Stadium,did not bowl,,,,18.00,11.67,1,35.00
25,19/05/2024,2nd,Kolkata Knight Riders,Barsapara Cricket Stadium,did not bowl,,,,18.00,11.67,1,35.00
26,22/05/2024,1st,Royal Challengers Bengaluru,Narendra Modi Stadium,did not bowl,,,,18.00,11.67,1,35.00
27,24/05/2024,1st,Sunrisers Hyderabad,MA Chidambaram Stadium,did not bowl,,,,18.00,11.67,1,35.00
