Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,27/04/2013,1st,Sunrisers Hyderabad,Sawai Mansingh Stadium,did not bowl,,,,,,0,
2,05/05/2013,1st,Pune Warriors,Sawai Mansingh Stadium,did not bowl,,,,,,0,
3,07/05/2013,1st,Delhi Capitals,Sawai Mansingh Stadium,did not bowl,,,,,,0,
4,17/05/2013,1st,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bowl,,,,,,0,
5,30/04/2016,1st,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bowl,,,,,,0,
6,02/05/2016,2nd,Kolkata Knight Riders,M Chinnaswamy Stadium,did not bowl,,,,,,0,
7,07/05/2016,1st,Rising Pune Supergiant,M Chinnaswamy Stadium,did not bowl,,,,,,0,
8,09/05/2016,2nd,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,did not bowl,,,,,,0,
9,11/05/2016,2nd,Mumbai Indians,M Chinnaswamy Stadium,did not bowl,,,,,,0,
10,14/05/2016,2nd,Gujarat Lions,M Chinnaswamy Stadium,A J Finch (c S Aravind),0.4,2/4,,2.00,6.00,1,2.00
,,,,,S  Kaushik (c S Aravind),,,,,,2,
11,16/05/2016,1st,Kolkata Knight Riders,Eden Gardens,did not bowl,,,,2.00,6.00,2,2.00
12,18/05/2016,2nd,Punjab Kings,M Chinnaswamy Stadium,,1.0,0/4,,5.00,4.80,2,4.00
13,22/05/2016,1st,Delhi Capitals,Shaheed Veer Narayan Sing International Stadium,did not bowl,,,,5.00,4.80,2,4.00
14,24/05/2016,1st,Gujarat Lions,M Chinnaswamy Stadium,did not bowl,,,,5.00,4.80,2,4.00
15,29/05/2016,1st,Sunrisers Hyderabad,M Chinnaswamy Stadium,did not bowl,,,,5.00,4.80,2,4.00
16,05/04/2017,1st,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bowl,,,,5.00,4.80,2,4.00
17,29/04/2017,1st,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,did not bowl,,,,5.00,4.80,2,4.00
18,14/05/2017,2nd,Delhi Capitals,Arun Jaitley Stadium,did not bowl,,,,5.00,4.80,2,4.00
19,20/09/2021,2nd,Kolkata Knight Riders,Sheikh Zayed Stadium,did not bowl,,,,5.00,4.80,2,4.00
