Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,10/05/2022,2nd,Lucknow Super Giants,Maharashtra Cricket Association Stadium,A Badoni (st W P Saha),2.0,2/7,,6.00,3.50,1,3.50
,,,,,Mohsin Khan (c Rashid Khan),,,,,,2,
2,15/05/2022,1st,Chennai Super Kings,Wankhede Stadium,Moeen Ali (c Rashid Khan),4.0,1/31,,12.00,6.33,3,12.67
3,19/05/2022,2nd,Royal Challengers Bengaluru,Wankhede Stadium,,4.0,0/20,,20.00,5.80,3,19.33
4,24/05/2022,1st,Rajasthan Royals,Eden Gardens,S V Samson (c A S Joseph),4.0,1/43,,21.00,7.21,4,25.25
5,29/05/2022,1st,Rajasthan Royals,Narendra Modi Stadium,R Ashwin (c D A Miller),2.0,2/20,,16.00,7.56,5,20.17
,,,,,T A Boult (c R Tewatia),,,,,,6,
6,24/03/2024,2nd,Mumbai Indians,Narendra Modi Stadium,R G Sharma (lbw),4.0,1/24,,17.14,7.25,7,20.71
7,26/03/2024,1st,Chennai Super Kings,MA Chidambaram Stadium,A M Rahane (st W P Saha),3.0,1/28,,17.25,7.52,8,21.63
8,21/04/2024,1st,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,J M Sharma (b),4.0,4/33,,13.50,7.63,9,17.17
,,,,,Ashutosh Sharma (c M M Sharma),,,,,,10,
,,,,,Shashank Singh (c & b),,,,,,11,
,,,,,Harpreet Brar (c Shahrukh Khan),,,,,,12,
9,24/04/2024,1st,Delhi Capitals,Arun Jaitley Stadium,,1.0,0/22,,14.00,8.14,12,19.00
10,28/04/2024,2nd,Royal Challengers Bengaluru,Narendra Modi Stadium,F du Plessis (c sub),3.0,1/30,,14.31,8.32,13,19.85
11,25/03/2025,1st,Punjab Kings,Narendra Modi Stadium,Azmatullah Omarzai (c Arshad Khan),4.0,3/30,,13.13,8.23,14,18.00
,,,,,G J Maxwell (lbw),,,,,,15,
,,,,,M P Stoinis (c Arshad Khan),,,,,,16,
12,29/03/2025,2nd,Mumbai Indians,Narendra Modi Stadium,R Minz (c I Sharma),4.0,1/37,,13.76,8.33,17,19.12
13,02/04/2025,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,J M Sharma (c R Tewatia),4.0,2/22,,13.58,8.07,18,18.26
,,,,,K H Pandya (c & b),,,,,,19,
14,06/04/2025,1st,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,H Klaasen (b),4.0,2/24,,13.43,7.89,20,17.67
,,,,,N K Reddy (c Rashid Khan),,,,,,21,
15,09/04/2025,2nd,Rajasthan Royals,Narendra Modi Stadium,T U Deshpande (c Rashid Khan),2.2,2/20,,12.87,7.93,22,17.00
,,,,,M M Theekshana (c Sai Sudharsan),,,,,,23,
16,12/04/2025,2nd,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,,1.3,0/35,,13.26,8.38,23,18.52
17,19/04/2025,1st,Delhi Capitals,Narendra Modi Stadium,Ashutosh Sharma (c sub),1.0,1/9,,12.96,8.39,24,18.13
18,21/04/2025,2nd,Kolkata Knight Riders,Eden Gardens,V R Iyer (c Washington Sundar),3.0,1/19,,13.16,8.28,25,18.16
19,28/04/2025,2nd,Rajasthan Royals,Sawai Mansingh Stadium,,1.0,0/16,,13.40,8.42,25,18.80
20,02/05/2025,2nd,Sunrisers Hyderabad,Narendra Modi Stadium,,0.4,0/1,,13.56,8.34,25,18.84
21,06/05/2025,1st,Mumbai Indians,Wankhede Stadium,S A Yadav (c Shahrukh Khan),4.0,2/34,,13.44,8.35,26,18.70
,,,,,H H Pandya (c Shubman Gill),,,,,,27,
22,18/05/2025,1st,Delhi Capitals,Arun Jaitley Stadium,A Porel (c †J C Buttler),4.0,1/47,,13.82,8.56,28,19.71
23,22/05/2025,1st,Lucknow Super Giants,Narendra Modi Stadium,A K Markram (c Shahrukh Khan),3.0,1/34,,13.97,8.68,29,20.21
24,25/05/2025,1st,Chennai Super Kings,Narendra Modi Stadium,U Patel (c Shubman Gill),2.0,1/23,,13.90,8.76,30,20.30
