Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,08/04/2022,1st,Punjab Kings,Brabourne Stadium,did not bowl,,,,,,0,
2,11/04/2022,2nd,Sunrisers Hyderabad,Dr DY Patil Sports Academy,did not bowl,,,,,,0,
3,30/04/2022,1st,Royal Challengers Bengaluru,Brabourne Stadium,did not bowl,,,,,,0,
4,03/05/2022,2nd,Punjab Kings,Dr DY Patil Sports Academy,did not bowl,,,,,,0,
5,06/05/2022,1st,Mumbai Indians,Brabourne Stadium,did not bowl,,,,,,0,
6,31/03/2023,1st,Chennai Super Kings,Narendra Modi Stadium,did not bowl,,,,,,0,
7,04/04/2023,1st,Delhi Capitals,Arun Jaitley Stadium,did not bowl,,,,,,0,
8,09/04/2023,2nd,Kolkata Knight Riders,Narendra Modi Stadium,did not bowl,,,,,,0,
9,13/04/2023,1st,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,did not bowl,,,,,,0,
10,16/04/2023,2nd,Rajasthan Royals,Narendra Modi Stadium,did not bowl,,,,,,0,
11,15/05/2023,2nd,Sunrisers Hyderabad,Narendra Modi Stadium,did not bowl,,,,,,0,
12,26/05/2023,2nd,Mumbai Indians,Narendra Modi Stadium,did not bowl,,,,,,0,
13,29/05/2023,2nd,Chennai Super Kings,Narendra Modi Stadium,did not bowl,,,,,,0,
14,24/03/2024,2nd,Mumbai Indians,Narendra Modi Stadium,did not bowl,,,,,,0,
15,26/03/2024,1st,Chennai Super Kings,MA Chidambaram Stadium,did not bowl,,,,,,0,
16,31/03/2024,1st,Sunrisers Hyderabad,Narendra Modi Stadium,did not bowl,,,,,,0,
17,04/04/2024,2nd,Punjab Kings,Narendra Modi Stadium,did not bowl,,,,,,0,
18,07/04/2024,1st,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,did not bowl,,,,,,0,
19,10/04/2024,1st,Rajasthan Royals,Sawai Mansingh Stadium,did not bowl,,,,,,0,
20,17/04/2024,2nd,Delhi Capitals,Narendra Modi Stadium,did not bowl,,,,,,0,
21,21/04/2024,1st,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,,,0,
22,24/04/2024,1st,Delhi Capitals,Arun Jaitley Stadium,did not bowl,,,,,,0,
23,28/04/2024,2nd,Royal Challengers Bengaluru,Narendra Modi Stadium,did not bowl,,,,,,0,
24,04/05/2024,2nd,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,,,0,
25,10/05/2024,2nd,Chennai Super Kings,Narendra Modi Stadium,did not bowl,,,,,,0,
26,25/03/2025,1st,Punjab Kings,Narendra Modi Stadium,did not bowl,,,,,,0,
27,29/03/2025,2nd,Mumbai Indians,Narendra Modi Stadium,did not bowl,,,,,,0,
28,02/04/2025,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,,,0,
29,06/04/2025,1st,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bowl,,,,,,0,
30,09/04/2025,2nd,Rajasthan Royals,Narendra Modi Stadium,did not bowl,,,,,,0,
31,12/04/2025,2nd,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,did not bowl,,,,,,0,
32,19/04/2025,1st,Delhi Capitals,Narendra Modi Stadium,did not bowl,,,,,,0,
33,21/04/2025,2nd,Kolkata Knight Riders,Eden Gardens,did not bowl,,,,,,0,
34,28/04/2025,2nd,Rajasthan Royals,Sawai Mansingh Stadium,did not bowl,,,,,,0,
35,02/05/2025,2nd,Sunrisers Hyderabad,Narendra Modi Stadium,did not bowl,,,,,,0,
36,06/05/2025,1st,Mumbai Indians,Wankhede Stadium,did not bowl,,,,,,0,
37,18/05/2025,1st,Delhi Capitals,Arun Jaitley Stadium,did not bowl,,,,,,0,
38,22/05/2025,1st,Lucknow Super Giants,Narendra Modi Stadium,did not bowl,,,,,,0,
39,25/05/2025,1st,Chennai Super Kings,Narendra Modi Stadium,did not bowl,,,,,,0,
