Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,01/05/2015,2nd,Delhi Capitals,Arun Jaitley Stadium,S S Iyer (c A R Patel),3.0,1/38,,18.00,12.67,1,38.00
2,14/04/2017,2nd,Gujarat Lions,Saurashtra Cricket Association Stadium,D R Smith (c R D Chahar),3.0,1/14,,18.00,8.67,2,26.00
3,16/04/2017,2nd,Royal Challengers Bengaluru,M Chinnaswamy Stadium,Mandeep Singh (c †M S Dhoni),4.0,3/35,,12.00,8.70,3,17.40
,,,,,P Negi (c R A Tripathi),,,,,,4,
,,,,,S T R Binny (b),,,,,,5,
4,22/04/2017,1st,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,,4.0,0/50,,16.80,9.79,5,27.40
5,24/04/2017,2nd,Mumbai Indians,Wankhede Stadium,,3.0,0/29,,20.40,9.76,5,33.20
6,26/04/2017,2nd,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,,3.1,0/31,,24.20,9.77,5,39.40
7,01/05/2017,1st,Gujarat Lions,Maharashtra Cricket Association Stadium,B B McCullum (c A M Rahane),3.0,1/25,,23.17,9.58,6,37.00
8,03/05/2017,1st,Kolkata Knight Riders,Eden Gardens,,3.0,0/21,,26.17,9.29,6,40.50
9,06/05/2017,2nd,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,,2.0,0/12,,28.17,9.05,6,42.50
10,12/05/2017,1st,Delhi Capitals,Arun Jaitley Stadium,,3.0,0/35,,31.17,9.30,6,48.33
11,14/05/2017,1st,Punjab Kings,Maharashtra Cricket Association Stadium,S E Marsh (c S P D Smith),4.0,3/19,,23.44,8.79,7,34.33
,,,,,R Tewatia (c J D Unadkat),,,,,,8,
,,,,,G J Maxwell (c A M Rahane),,,,,,9,
12,16/05/2017,2nd,Mumbai Indians,Wankhede Stadium,K H Pandya (c D T Christian),4.0,3/37,,19.58,8.83,10,28.83
,,,,,P A Patel (c D T Christian),,,,,,11,
,,,,,M J McClenaghan (c J D Unadkat),,,,,,12,
13,21/05/2017,1st,Mumbai Indians,Rajiv Gandhi International Stadium,,2.0,0/7,,20.58,8.57,12,29.42
14,10/04/2018,1st,Kolkata Knight Riders,MA Chidambaram Stadium,Rinku Singh (c D J J Bravo),4.0,1/37,,20.85,8.63,13,30.00
15,15/04/2018,1st,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,Yuvraj Singh (c †M S Dhoni),3.0,2/33,,19.27,8.78,14,28.20
,,,,,R Ashwin (c †M S Dhoni),,,,,,15,
16,20/04/2018,2nd,Rajasthan Royals,Maharashtra Cricket Association Stadium,H Klaasen (b),3.0,2/18,,18.06,8.62,16,25.94
,,,,,S T R Binny (c & b),,,,,,17,
17,22/04/2018,2nd,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Y K Pathan (c S K Raina),4.0,1/45,,18.39,8.81,18,27.00
18,25/04/2018,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,V Kohli (c R A Jadeja),4.0,2/46,,17.75,8.99,19,26.60
,,,,,Mandeep Singh (c R A Jadeja),,,,,,20,
19,28/04/2018,2nd,Mumbai Indians,Maharashtra Cricket Association Stadium,,4.0,0/38,,18.95,9.02,20,28.50
20,05/05/2018,1st,Royal Challengers Bengaluru,Maharashtra Cricket Association Stadium,,2.0,0/19,,19.55,9.04,20,29.45
21,11/05/2018,2nd,Rajasthan Royals,Sawai Mansingh Stadium,P Chopra (c D J J Bravo),4.0,1/22,,19.76,8.83,21,29.10
22,13/05/2018,1st,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,K S Williamson (c D J J Bravo),4.0,2/32,,19.09,8.79,22,27.96
,,,,,M K Pandey (c D J Willey),,,,,,23,
23,18/05/2018,1st,Delhi Capitals,Arun Jaitley Stadium,Abhishek Sharma (c Harbhajan Singh),4.0,1/27,,19.29,8.68,24,27.92
24,20/05/2018,1st,Punjab Kings,Maharashtra Cricket Association Stadium,A R Patel (c S W Billings),3.4,2/33,,18.65,8.70,25,27.04
,,,,,A S Rajpoot (c F du Plessis),,,,,,26,
25,22/05/2018,1st,Sunrisers Hyderabad,Wankhede Stadium,K S Williamson (c †M S Dhoni),4.0,1/50,,18.85,8.88,27,27.89
26,27/05/2018,1st,Sunrisers Hyderabad,Wankhede Stadium,C R Brathwaite (c A T Rayudu),3.0,1/31,,18.82,8.93,28,28.00
27,23/03/2019,1st,Royal Challengers Bengaluru,MA Chidambaram Stadium,did not bowl,,,,18.82,8.93,28,28.00
28,26/03/2019,1st,Delhi Capitals,Arun Jaitley Stadium,,2.0,0/19,,19.25,8.94,28,28.68
29,31/03/2019,2nd,Rajasthan Royals,MA Chidambaram Stadium,J C Buttler (c D J J Bravo),4.0,2/42,,18.77,9.01,29,28.17
,,,,,K Gowtham (c S K Raina),,,,,,30,
30,03/04/2019,1st,Mumbai Indians,Wankhede Stadium,,4.0,0/37,,19.57,9.02,30,29.40
31,11/04/2019,1st,Rajasthan Royals,Sawai Mansingh Stadium,J C Buttler (c A T Rayudu),4.0,2/44,,19.09,9.09,31,28.94
,,,,,R Parag (c †M S Dhoni),,,,,,32,
32,14/04/2019,1st,Kolkata Knight Riders,Eden Gardens,K D Karthik (c F du Plessis),4.0,2/18,,18.68,8.92,33,27.76
,,,,,Shubman Gill (c R A Jadeja),,,,,,34,
33,17/04/2019,2nd,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,,3.0,0/31,,19.21,8.96,34,28.68
34,21/04/2019,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,,4.0,0/40,,19.91,9.00,34,29.85
35,10/05/2019,1st,Delhi Capitals,Dr YS Rajasekhara Reddy Cricket Stadium,,1.0,0/13,,20.09,9.03,34,30.24
36,12/05/2019,1st,Mumbai Indians,Rajiv Gandhi International Stadium,Q de Kock (c †M S Dhoni),4.0,2/37,,19.64,9.04,35,29.58
,,,,,K H Pandya (c & b),,,,,,36,
37,02/10/2020,1st,Sunrisers Hyderabad,Dubai International Cricket Stadium,M K Pandey (c S M Curran),4.0,1/32,,19.76,9.00,37,29.65
38,04/10/2020,1st,Punjab Kings,Dubai International Cricket Stadium,N Pooran (c R A Jadeja),4.0,2/39,,19.36,9.03,38,29.13
,,,,,K L Rahul (c †M S Dhoni),,,,,,39,
39,07/10/2020,1st,Kolkata Knight Riders,Sheikh Zayed Stadium,Shubman Gill (c †M S Dhoni),4.0,2/28,,19.00,8.97,40,28.39
,,,,,A D Russell (c †M S Dhoni),,,,,,41,
40,10/10/2020,1st,Royal Challengers Bengaluru,Dubai International Cricket Stadium,D Padikkal (c F du Plessis),4.0,2/40,,18.67,9.00,42,28.00
,,,,,A B de Villiers (c †M S Dhoni),,,,,,43,
41,13/10/2020,2nd,Sunrisers Hyderabad,Dubai International Cricket Stadium,Rashid Khan (hit wicket),2.0,1/10,,18.52,8.94,44,27.59
42,17/10/2020,2nd,Delhi Capitals,Sharjah Cricket Stadium,M P Stoinis (c A T Rayudu),4.0,1/39,,18.64,8.96,45,27.84
43,19/10/2020,2nd,Rajasthan Royals,Sheikh Zayed Stadium,,4.0,0/34,,19.18,8.95,45,28.60
44,23/10/2020,2nd,Mumbai Indians,Sharjah Cricket Stadium,,2.2,0/26,,19.49,8.98,45,29.18
45,01/11/2020,1st,Punjab Kings,Sheikh Zayed Stadium,N Pooran (c †M S Dhoni),4.0,1/27,,19.59,8.92,46,29.13
46,10/04/2021,2nd,Delhi Capitals,Wankhede Stadium,S Dhawan (lbw),3.4,2/53,,19.23,9.06,47,29.02
,,,,,M P Stoinis (c S M Curran),,,,,,48,
47,16/04/2021,1st,Punjab Kings,Wankhede Stadium,,4.0,0/35,,19.73,9.05,48,29.75
48,19/04/2021,2nd,Rajasthan Royals,Wankhede Stadium,J D Unadkat (c R A Jadeja),3.0,1/20,,19.69,9.00,49,29.55
49,21/04/2021,2nd,Kolkata Knight Riders,Wankhede Stadium,,3.1,0/48,,20.08,9.12,49,30.53
