Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,09/04/2022,1st,Chennai Super Kings,Dr DY Patil Sports Academy,did not bowl,,,,,,0,
2,11/04/2022,1st,Gujarat Titans,Dr DY Patil Sports Academy,did not bowl,,,,,,0,
3,15/04/2022,1st,Kolkata Knight Riders,Brabourne Stadium,,1.0,0/10,,,10.00,0,
4,17/04/2022,1st,Punjab Kings,Dr DY Patil Sports Academy,did not bowl,,,,,10.00,0,
5,23/04/2022,1st,Royal Challengers Bengaluru,Brabourne Stadium,did not bowl,,,,,10.00,0,
6,27/04/2022,2nd,Gujarat Titans,Wankhede Stadium,did not bowl,,,,,10.00,0,
7,01/05/2022,1st,Chennai Super Kings,Maharashtra Cricket Association Stadium,,1.0,0/10,,,10.00,0,
8,05/05/2022,1st,Delhi Capitals,Brabourne Stadium,did not bowl,,,,,10.00,0,
9,08/05/2022,1st,Royal Challengers Bengaluru,Wankhede Stadium,did not bowl,,,,,10.00,0,
10,14/05/2022,1st,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,did not bowl,,,,,10.00,0,
11,23/03/2024,1st,Delhi Capitals,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,,10.00,0,
12,25/03/2024,2nd,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,,10.00,0,
13,30/03/2024,1st,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,did not bowl,,,,,10.00,0,
14,04/04/2024,1st,Gujarat Titans,Narendra Modi Stadium,did not bowl,,,,,10.00,0,
15,09/04/2024,1st,Sunrisers Hyderabad,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,,10.00,0,
16,13/04/2024,2nd,Rajasthan Royals,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,,10.00,0,
17,18/04/2024,1st,Mumbai Indians,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,,10.00,0,
18,21/04/2024,2nd,Gujarat Titans,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,,10.00,0,
19,26/04/2024,1st,Kolkata Knight Riders,Eden Gardens,did not bowl,,,,,10.00,0,
20,01/05/2024,1st,Chennai Super Kings,MA Chidambaram Stadium,did not bowl,,,,,10.00,0,
21,05/05/2024,1st,Chennai Super Kings,Himachal Pradesh Cricket Association Stadium,did not bowl,,,,,10.00,0,
22,09/05/2024,1st,Royal Challengers Bengaluru,Himachal Pradesh Cricket Association Stadium,did not bowl,,,,,10.00,0,
23,15/05/2024,1st,Rajasthan Royals,Barsapara Cricket Stadium,did not bowl,,,,,10.00,0,
24,19/05/2024,2nd,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Abhishek Sharma (c Shivam Singh),1.0,1/5,,18.00,8.33,1,25.00
25,25/03/2025,2nd,Gujarat Titans,Narendra Modi Stadium,did not bowl,,,,18.00,8.33,1,25.00
26,01/04/2025,1st,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,did not bowl,,,,18.00,8.33,1,25.00
27,05/04/2025,1st,Rajasthan Royals,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,18.00,8.33,1,25.00
28,08/04/2025,2nd,Chennai Super Kings,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,18.00,8.33,1,25.00
29,12/04/2025,2nd,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,,2.0,0/27,,30.00,10.40,1,52.00
30,15/04/2025,2nd,Kolkata Knight Riders,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,30.00,10.40,1,52.00
31,18/04/2025,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,30.00,10.40,1,52.00
32,20/04/2025,2nd,Royal Challengers Bengaluru,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,30.00,10.40,1,52.00
33,26/04/2025,2nd,Kolkata Knight Riders,Eden Gardens,did not bowl,,,,30.00,10.40,1,52.00
34,30/04/2025,1st,Chennai Super Kings,MA Chidambaram Stadium,did not bowl,,,,30.00,10.40,1,52.00
35,04/05/2025,2nd,Lucknow Super Giants,Himachal Pradesh Cricket Association Stadium,did not bowl,,,,30.00,10.40,1,52.00
36,18/05/2025,2nd,Rajasthan Royals,Sawai Mansingh Stadium,did not bowl,,,,30.00,10.40,1,52.00
37,24/05/2025,2nd,Delhi Capitals,Sawai Mansingh Stadium,did not bowl,,,,30.00,10.40,1,52.00
38,26/05/2025,1st,Mumbai Indians,Sawai Mansingh Stadium,did not bowl,,,,30.00,10.40,1,52.00
39,29/05/2025,2nd,Royal Challengers Bengaluru,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,30.00,10.40,1,52.00
40,01/06/2025,1st,Mumbai Indians,Narendra Modi Stadium,did not bowl,,,,30.00,10.40,1,52.00
