Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,23/03/2019,2nd,Chennai Super Kings,MA Chidambaram Stadium,did not bowl,,,,,,0,
2,28/03/2019,1st,Mumbai Indians,M Chinnaswamy Stadium,did not bowl,,,,,,0,
3,31/03/2019,1st,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bowl,,,,,,0,
4,02/04/2019,2nd,Rajasthan Royals,Sawai Mansingh Stadium,did not bowl,,,,,,0,
5,04/05/2019,1st,Sunrisers Hyderabad,M Chinnaswamy Stadium,did not bowl,,,,,,0,
6,20/09/2020,2nd,Punjab Kings,Dubai International Cricket Stadium,did not bowl,,,,,,0,
7,25/09/2020,2nd,Chennai Super Kings,Dubai International Cricket Stadium,did not bowl,,,,,,0,
8,29/09/2020,1st,Sunrisers Hyderabad,Sheikh Zayed Stadium,did not bowl,,,,,,0,
9,03/10/2020,2nd,Kolkata Knight Riders,Sharjah Cricket Stadium,did not bowl,,,,,,0,
10,05/10/2020,2nd,Royal Challengers Bengaluru,Dubai International Cricket Stadium,did not bowl,,,,,,0,
11,09/10/2020,2nd,Rajasthan Royals,Sharjah Cricket Stadium,did not bowl,,,,,,0,
12,20/10/2020,2nd,Punjab Kings,Dubai International Cricket Stadium,did not bowl,,,,,,0,
13,24/10/2020,1st,Kolkata Knight Riders,Sheikh Zayed Stadium,did not bowl,,,,,,0,
14,27/10/2020,1st,Sunrisers Hyderabad,Dubai International Cricket Stadium,did not bowl,,,,,,0,
15,31/10/2020,2nd,Mumbai Indians,Dubai International Cricket Stadium,did not bowl,,,,,,0,
16,08/11/2020,2nd,Sunrisers Hyderabad,Sheikh Zayed Stadium,did not bowl,,,,,,0,
17,10/11/2020,2nd,Mumbai Indians,Dubai International Cricket Stadium,did not bowl,,,,,,0,
18,10/04/2021,1st,Chennai Super Kings,Wankhede Stadium,did not bowl,,,,,,0,
19,20/04/2021,1st,Mumbai Indians,MA Chidambaram Stadium,did not bowl,,,,,,0,
20,25/04/2021,2nd,Sunrisers Hyderabad,MA Chidambaram Stadium,did not bowl,,,,,,0,
21,27/04/2021,1st,Royal Challengers Bengaluru,Narendra Modi Stadium,did not bowl,,,,,,0,
22,29/04/2021,1st,Kolkata Knight Riders,Narendra Modi Stadium,did not bowl,,,,,,0,
23,02/05/2021,1st,Punjab Kings,Narendra Modi Stadium,did not bowl,,,,,,0,
24,22/09/2021,1st,Sunrisers Hyderabad,Dubai International Cricket Stadium,did not bowl,,,,,,0,
25,25/09/2021,2nd,Rajasthan Royals,Sheikh Zayed Stadium,did not bowl,,,,,,0,
26,28/09/2021,2nd,Kolkata Knight Riders,Sharjah Cricket Stadium,did not bowl,,,,,,0,
27,02/10/2021,1st,Mumbai Indians,Sharjah Cricket Stadium,did not bowl,,,,,,0,
28,04/10/2021,1st,Chennai Super Kings,Dubai International Cricket Stadium,did not bowl,,,,,,0,
29,08/10/2021,2nd,Royal Challengers Bengaluru,Dubai International Cricket Stadium,did not bowl,,,,,,0,
30,10/10/2021,2nd,Chennai Super Kings,Dubai International Cricket Stadium,did not bowl,,,,,,0,
31,13/10/2021,2nd,Kolkata Knight Riders,Sharjah Cricket Stadium,did not bowl,,,,,,0,
32,29/03/2022,2nd,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,did not bowl,,,,,,0,
33,02/04/2022,2nd,Mumbai Indians,Dr DY Patil Sports Academy,did not bowl,,,,,,0,
34,05/04/2022,2nd,Royal Challengers Bengaluru,Wankhede Stadium,did not bowl,,,,,,0,
35,10/04/2022,2nd,Lucknow Super Giants,Wankhede Stadium,did not bowl,,,,,,0,
36,14/04/2022,1st,Gujarat Titans,Dr DY Patil Sports Academy,did not bowl,,,,,,0,
37,18/04/2022,2nd,Kolkata Knight Riders,Brabourne Stadium,did not bowl,,,,,,0,
38,22/04/2022,2nd,Delhi Capitals,Wankhede Stadium,did not bowl,,,,,,0,
39,26/04/2022,2nd,Royal Challengers Bengaluru,Maharashtra Cricket Association Stadium,did not bowl,,,,,,0,
40,30/04/2022,2nd,Mumbai Indians,Dr DY Patil Sports Academy,did not bowl,,,,,,0,
41,02/05/2022,2nd,Kolkata Knight Riders,Wankhede Stadium,did not bowl,,,,,,0,
42,07/05/2022,1st,Punjab Kings,Wankhede Stadium,did not bowl,,,,,,0,
43,20/05/2022,1st,Chennai Super Kings,Brabourne Stadium,did not bowl,,,,,,0,
44,24/05/2022,2nd,Gujarat Titans,Eden Gardens,did not bowl,,,,,,0,
45,27/05/2022,1st,Royal Challengers Bengaluru,Narendra Modi Stadium,did not bowl,,,,,,0,
46,29/05/2022,2nd,Gujarat Titans,Narendra Modi Stadium,did not bowl,,,,,,0,
47,02/04/2023,2nd,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bowl,,,,,,0,
48,05/04/2023,1st,Punjab Kings,Barsapara Cricket Stadium,did not bowl,,,,,,0,
49,08/04/2023,2nd,Delhi Capitals,Barsapara Cricket Stadium,did not bowl,,,,,,0,
50,12/04/2023,2nd,Chennai Super Kings,MA Chidambaram Stadium,did not bowl,,,,,,0,
51,16/04/2023,1st,Gujarat Titans,Narendra Modi Stadium,did not bowl,,,,,,0,
52,19/04/2023,1st,Lucknow Super Giants,Sawai Mansingh Stadium,did not bowl,,,,,,0,
53,23/04/2023,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,,,0,
54,27/04/2023,2nd,Chennai Super Kings,Sawai Mansingh Stadium,did not bowl,,,,,,0,
55,30/04/2023,2nd,Mumbai Indians,Wankhede Stadium,did not bowl,,,,,,0,
56,05/05/2023,2nd,Gujarat Titans,Sawai Mansingh Stadium,did not bowl,,,,,,0,
57,07/05/2023,2nd,Sunrisers Hyderabad,Sawai Mansingh Stadium,did not bowl,,,,,,0,
58,11/05/2023,1st,Kolkata Knight Riders,Eden Gardens,did not bowl,,,,,,0,
