Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,01/05/2022,2nd,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,,2.0,0/24,,,12.00,0,
2,04/05/2022,1st,Royal Challengers Bengaluru,Maharashtra Cricket Association Stadium,,2.0,0/21,,,11.25,0,
3,08/05/2022,2nd,Delhi Capitals,Dr DY Patil Sports Academy,K S Bharat (c M M Ali),4.0,2/27,,24.00,9.00,1,36.00
,,,,,Kuldeep Yadav (c R V Uthappa),,,,,,2,
4,12/05/2022,2nd,Mumbai Indians,Wankhede Stadium,R G Sharma (c †M S Dhoni),4.0,1/22,,24.00,7.83,3,31.33
5,15/05/2022,2nd,Gujarat Titans,Wankhede Stadium,,3.0,0/26,,30.00,8.00,3,40.00
6,20/05/2022,2nd,Rajasthan Royals,Brabourne Stadium,J C Buttler (c M M Ali),3.0,1/18,,27.00,7.67,4,34.50
7,05/05/2024,2nd,Punjab Kings,Himachal Pradesh Cricket Association Stadium,J M Sharma (c †M S Dhoni),3.0,2/16,,21.00,7.33,5,25.67
,,,,,H V Patel (c sub),,,,,,6,
8,10/05/2024,1st,Gujarat Titans,Narendra Modi Stadium,,4.0,0/60,,25.00,8.56,6,35.67
9,12/05/2024,1st,Rajasthan Royals,MA Chidambaram Stadium,Y B K Jaiswal (c R D Gaikwad),4.0,3/26,,19.33,8.28,7,26.67
,,,,,J C Buttler (c T U Deshpande),,,,,,8,
,,,,,S V Samson (c R D Gaikwad),,,,,,9,
10,18/05/2024,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,,1.0,0/19,,20.00,8.63,9,28.78
11,23/03/2025,2nd,Rajasthan Royals,Rajiv Gandhi International Stadium,Y B K Jaiswal (c A Manohar),3.0,2/46,,18.00,9.24,10,27.73
,,,,,R Parag (c P J Cummins),,,,,,11,
12,27/03/2025,2nd,Lucknow Super Giants,Rajiv Gandhi International Stadium,,2.0,0/28,,19.09,9.51,11,30.27
13,03/04/2025,1st,Kolkata Knight Riders,Eden Gardens,,4.0,0/47,,21.27,9.74,11,34.55
14,06/04/2025,2nd,Gujarat Titans,Rajiv Gandhi International Stadium,,1.0,0/20,,21.82,10.00,11,36.36
