Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,04/05/2016,1st,Kolkata Knight Riders,Eden Gardens,,3.0,0/29,,,9.67,0,
2,08/04/2017,1st,Rising Pune Supergiant,Holkar Cricket Stadium,M S Dhoni (c & b),2.0,1/14,,30.00,8.60,1,43.00
3,20/04/2017,2nd,Mumbai Indians,Holkar Cricket Stadium,,2.0,0/22,,42.00,9.29,1,65.00
4,09/05/2017,2nd,Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium,,2.0,0/19,,54.00,9.33,1,84.00
5,14/05/2017,2nd,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,,1.0,0/6,,60.00,9.00,1,90.00
6,07/05/2023,1st,Gujarat Titans,Narendra Modi Stadium,,1.0,0/7,,66.00,8.82,1,97.00
7,16/05/2023,2nd,Mumbai Indians,BRSABV Ekana Cricket Stadium,,1.0,0/11,,72.00,9.00,1,108.00
8,25/04/2024,2nd,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,A K Markram (lbw),3.0,2/40,,30.00,9.87,2,49.33
,,,,,H Klaasen (c C Green),,,,,,3,
9,28/04/2024,1st,Gujarat Titans,Narendra Modi Stadium,W P Saha (c K V Sharma),3.0,1/23,,27.00,9.50,4,42.75
10,04/05/2024,1st,Gujarat Titans,M Chinnaswamy Stadium,,1.0,0/1,,28.50,9.05,4,43.00
11,09/05/2024,2nd,Punjab Kings,Himachal Pradesh Cricket Association Stadium,Prabhsimran Singh (lbw),3.0,2/28,,22.00,9.09,5,33.33
,,,,,L S Livingstone (c K V Sharma),,,,,,6,
12,12/05/2024,2nd,Delhi Capitals,M Chinnaswamy Stadium,D A Warner (c W G Jacks),1.0,1/9,,19.71,9.09,7,29.86
13,18/05/2024,2nd,Chennai Super Kings,M Chinnaswamy Stadium,,2.0,0/13,,21.43,8.88,7,31.71
14,22/05/2024,2nd,Rajasthan Royals,Narendra Modi Stadium,,2.0,0/19,,23.14,8.93,7,34.43
