Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,20/04/2016,2nd,Mumbai Indians,Barabati Stadium,did not bowl,,,,,,0,
2,07/05/2016,1st,Rising Pune Supergiant,M Chinnaswamy Stadium,did not bowl,,,,,,0,
3,09/05/2016,2nd,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,did not bowl,,,,,,0,
4,05/04/2017,1st,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,,1.0,0/11,,,11.00,0,
5,18/04/2017,2nd,Gujarat Lions,Saurashtra Cricket Association Stadium,,2.0,0/18,,,9.67,0,
6,27/04/2017,2nd,Gujarat Lions,M Chinnaswamy Stadium,,0.5,0/11,,,10.43,0,
7,29/04/2017,1st,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,did not bowl,,,,,10.43,0,
8,01/05/2017,2nd,Mumbai Indians,Wankhede Stadium,did not bowl,,,,,10.43,0,
9,07/05/2017,2nd,Kolkata Knight Riders,M Chinnaswamy Stadium,,1.1,0/11,,,10.20,0,
10,14/05/2017,2nd,Delhi Capitals,Arun Jaitley Stadium,C J Anderson (st Vishnu Vinod),3.0,2/30,,24.00,10.13,1,40.50
,,,,,P J Cummins (c V Kohli),,,,,,2,
11,27/03/2024,2nd,Mumbai Indians,Rajiv Gandhi International Stadium,did not bowl,,,,24.00,10.13,2,40.50
12,31/03/2024,2nd,Gujarat Titans,Narendra Modi Stadium,did not bowl,,,,24.00,10.13,2,40.50
13,05/04/2024,1st,Chennai Super Kings,Rajiv Gandhi International Stadium,did not bowl,,,,24.00,10.13,2,40.50
14,09/04/2024,2nd,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,24.00,10.13,2,40.50
15,15/04/2024,2nd,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,24.00,10.13,2,40.50
16,20/04/2024,2nd,Delhi Capitals,Arun Jaitley Stadium,did not bowl,,,,24.00,10.13,2,40.50
17,25/04/2024,1st,Royal Challengers Bengaluru,Rajiv Gandhi International Stadium,did not bowl,,,,24.00,10.13,2,40.50
18,28/04/2024,1st,Chennai Super Kings,MA Chidambaram Stadium,did not bowl,,,,24.00,10.13,2,40.50
19,02/05/2024,2nd,Rajasthan Royals,Rajiv Gandhi International Stadium,did not bowl,,,,24.00,10.13,2,40.50
20,06/05/2024,2nd,Mumbai Indians,Wankhede Stadium,did not bowl,,,,24.00,10.13,2,40.50
21,08/05/2024,1st,Lucknow Super Giants,Rajiv Gandhi International Stadium,did not bowl,,,,24.00,10.13,2,40.50
22,19/05/2024,1st,Punjab Kings,Rajiv Gandhi International Stadium,did not bowl,,,,24.00,10.13,2,40.50
23,21/05/2024,2nd,Kolkata Knight Riders,Narendra Modi Stadium,,1.4,0/32,,29.00,11.69,2,56.50
24,24/05/2024,2nd,Rajasthan Royals,MA Chidambaram Stadium,did not bowl,,,,29.00,11.69,2,56.50
25,26/05/2024,2nd,Kolkata Knight Riders,MA Chidambaram Stadium,did not bowl,,,,29.00,11.69,2,56.50
26,23/03/2025,2nd,Rajasthan Royals,Rajiv Gandhi International Stadium,did not bowl,,,,29.00,11.69,2,56.50
27,27/03/2025,2nd,Lucknow Super Giants,Rajiv Gandhi International Stadium,did not bowl,,,,29.00,11.69,2,56.50
28,30/03/2025,2nd,Delhi Capitals,Dr YS Rajasekhara Reddy Cricket Stadium,did not bowl,,,,29.00,11.69,2,56.50
29,03/04/2025,1st,Kolkata Knight Riders,Eden Gardens,did not bowl,,,,29.00,11.69,2,56.50
30,06/04/2025,2nd,Gujarat Titans,Rajiv Gandhi International Stadium,did not bowl,,,,29.00,11.69,2,56.50
31,12/04/2025,1st,Punjab Kings,Rajiv Gandhi International Stadium,did not bowl,,,,29.00,11.69,2,56.50
32,17/04/2025,2nd,Mumbai Indians,Wankhede Stadium,did not bowl,,,,29.00,11.69,2,56.50
33,23/04/2025,2nd,Mumbai Indians,Rajiv Gandhi International Stadium,did not bowl,,,,29.00,11.69,2,56.50
