Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,14/10/2020,2nd,Rajasthan Royals,Dubai International Cricket Stadium,B A Stokes (c sub),4.0,2/37,,12.00,9.25,1,18.50
,,,,,S Gopal (c sub),,,,,,2,
2,17/10/2020,1st,Chennai Super Kings,Sharjah Cricket Stadium,S M Curran (c A Nortje),4.0,1/39,,16.00,9.50,3,25.33
3,20/10/2020,2nd,Punjab Kings,Dubai International Cricket Stadium,,2.0,0/41,,20.00,11.70,3,39.00
4,24/10/2020,1st,Kolkata Knight Riders,Sheikh Zayed Stadium,,4.0,0/40,,28.00,11.21,3,52.33
5,27/10/2020,1st,Sunrisers Hyderabad,Dubai International Cricket Stadium,,3.0,0/35,,34.00,11.29,3,64.00
6,26/03/2022,2nd,Kolkata Knight Riders,Wankhede Stadium,,3.0,0/23,,40.00,10.75,3,71.67
7,31/03/2022,2nd,Lucknow Super Giants,Brabourne Stadium,M K Pandey (c D J J Bravo),4.0,1/40,,36.00,10.63,4,63.75
8,31/03/2023,2nd,Gujarat Titans,Narendra Modi Stadium,Shubman Gill (c R D Gaikwad),3.2,1/51,,32.80,11.20,5,61.20
9,03/04/2023,2nd,Lucknow Super Giants,MA Chidambaram Stadium,N Pooran (c B A Stokes),4.0,2/45,,26.86,11.20,6,50.14
,,,,,A Badoni (c †M S Dhoni),,,,,,7,
10,08/04/2023,1st,Mumbai Indians,Wankhede Stadium,R G Sharma (b),3.0,2/31,,22.89,11.13,8,42.44
,,,,,T H David (c A M Rahane),,,,,,9,
11,12/04/2023,1st,Rajasthan Royals,MA Chidambaram Stadium,Y B K Jaiswal (c S Dube),4.0,2/37,,20.91,10.93,10,38.09
,,,,,J O Holder (c D P Conway),,,,,,11,
12,17/04/2023,2nd,Royal Challengers Bengaluru,M Chinnaswamy Stadium,M K Lomror (c R D Gaikwad),4.0,3/45,,18.14,10.96,12,33.14
,,,,,K D Karthik (c M M Theekshana),,,,,,13,
,,,,,W D Parnell (c S Dube),,,,,,14,
13,21/04/2023,1st,Sunrisers Hyderabad,MA Chidambaram Stadium,,3.0,0/26,,19.43,10.81,14,35.00
14,23/04/2023,2nd,Kolkata Knight Riders,Eden Gardens,N Jagadeesan (c R A Jadeja),4.0,2/43,,18.50,10.80,15,33.31
,,,,,D Wiese (lbw),,,,,,16,
15,27/04/2023,1st,Rajasthan Royals,Sawai Mansingh Stadium,S V Samson (c R D Gaikwad),4.0,2/42,,17.78,10.78,17,31.94
,,,,,Y B K Jaiswal (c A M Rahane),,,,,,18,
16,30/04/2023,2nd,Punjab Kings,MA Chidambaram Stadium,S Dhawan (c M Pathirana),4.0,3/49,,16.38,10.88,19,29.71
,,,,,L S Livingstone (c R D Gaikwad),,,,,,20,
,,,,,J M Sharma (c sub),,,,,,21,
17,03/05/2023,1st,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,,1.0,0/1,,16.67,10.71,21,29.76
18,06/05/2023,1st,Mumbai Indians,MA Chidambaram Stadium,C Green (b),4.0,2/26,,16.26,10.44,22,28.30
,,,,,T H David (c R D Gaikwad),,,,,,23,
19,10/05/2023,2nd,Delhi Capitals,MA Chidambaram Stadium,,3.0,0/18,,17.04,10.24,23,29.09
20,14/05/2023,2nd,Kolkata Knight Riders,MA Chidambaram Stadium,,3.3,0/25,,17.96,10.08,23,30.17
21,20/05/2023,2nd,Delhi Capitals,Arun Jaitley Stadium,P P Shaw (c A T Rayudu),4.0,1/26,,18.21,9.89,24,30.00
22,23/05/2023,2nd,Gujarat Titans,MA Chidambaram Stadium,Rashid Khan (c D P Conway),4.0,1/43,,18.44,9.93,25,30.52
23,29/05/2023,1st,Gujarat Titans,Narendra Modi Stadium,,4.0,0/56,,19.40,10.13,25,32.76
24,22/03/2024,1st,Royal Challengers Bengaluru,MA Chidambaram Stadium,,4.0,0/47,,20.36,10.21,25,34.64
25,26/03/2024,2nd,Gujarat Titans,MA Chidambaram Stadium,D A Miller (c A M Rahane),4.0,2/21,,19.74,9.98,26,32.85
,,,,,Azmatullah Omarzai (c R Ravindra),,,,,,27,
26,31/03/2024,1st,Delhi Capitals,Dr YS Rajasekhara Reddy Cricket Stadium,,4.0,0/24,,20.63,9.81,27,33.74
27,05/04/2024,2nd,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,,2.0,0/20,,21.07,9.82,27,34.48
28,08/04/2024,1st,Kolkata Knight Riders,MA Chidambaram Stadium,P D Salt (c R A Jadeja),4.0,3/33,,19.77,9.75,28,32.13
,,,,,Rinku Singh (b),,,,,,29,
,,,,,A D Russell (c D J Mitchell),,,,,,30,
29,14/04/2024,2nd,Mumbai Indians,Wankhede Stadium,H H Pandya (c R A Jadeja),4.0,1/29,,19.90,9.66,31,32.03
30,19/04/2024,2nd,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,,4.0,0/42,,20.68,9.69,31,33.39
31,23/04/2024,2nd,Lucknow Super Giants,MA Chidambaram Stadium,,3.0,0/34,,21.26,9.73,31,34.48
32,28/04/2024,2nd,Sunrisers Hyderabad,MA Chidambaram Stadium,T M Head (c D J Mitchell),3.0,4/27,,19.34,9.71,32,31.31
,,,,,Anmolpreet Singh (c M M Ali),,,,,,33,
,,,,,Abhishek Sharma (c D J Mitchell),,,,,,34,
,,,,,P J Cummins (c D J Mitchell),,,,,,35,
33,05/05/2024,2nd,Punjab Kings,Himachal Pradesh Cricket Association Stadium,J M Bairstow (b),4.0,2/35,,18.95,9.68,36,30.57
,,,,,R R Rossouw (b),,,,,,37,
34,10/05/2024,1st,Gujarat Titans,Narendra Modi Stadium,Sai Sudharsan (c S Dube),4.0,2/33,,18.59,9.63,38,29.85
,,,,,Shubman Gill (c R A Jadeja),,,,,,39,
35,12/05/2024,1st,Rajasthan Royals,MA Chidambaram Stadium,D C Jurel (c S N Thakur),4.0,2/30,,18.27,9.56,40,29.12
,,,,,Shubham Dubey (c S Dube),,,,,,41,
36,18/05/2024,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,K D Karthik (c †M S Dhoni),4.0,1/49,,18.40,9.65,42,29.60
37,23/03/2025,1st,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,T M Head (c S O Hetmeyer),4.0,3/44,,17.71,9.69,43,28.60
,,,,,A Verma (c J C Archer),,,,,,44,
,,,,,A Manohar (c R Parag),,,,,,45,
38,26/03/2025,2nd,Kolkata Knight Riders,Barsapara Cricket Stadium,,1.0,0/7,,17.84,9.67,45,28.76
39,30/03/2025,2nd,Chennai Super Kings,Barsapara Cricket Stadium,,4.0,0/45,,18.38,9.71,45,29.76
40,09/04/2025,1st,Gujarat Titans,Narendra Modi Stadium,Sai Sudharsan (c †S V Samson),4.0,2/53,,18.11,9.81,46,29.62
,,,,,Rashid Khan (c Y B K Jaiswal),,,,,,47,
41,13/04/2025,2nd,Royal Challengers Bengaluru,Sawai Mansingh Stadium,,2.0,0/21,,18.36,9.82,47,30.06
42,16/04/2025,1st,Delhi Capitals,Arun Jaitley Stadium,,3.0,0/38,,18.74,9.88,47,30.87
43,19/04/2025,1st,Lucknow Super Giants,Sawai Mansingh Stadium,A Badoni (c Shubham Dubey),4.0,1/26,,18.85,9.79,48,30.77
