Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,27/03/2019,1st,Kolkata Knight Riders,Eden Gardens,N Rana (c M A Agarwal),3.0,1/35,,18.00,11.67,1,35.00
2,26/09/2020,1st,Sunrisers Hyderabad,Sheikh Zayed Stadium,D A Warner (c & b),4.0,1/25,,21.00,8.57,2,30.00
3,30/09/2020,2nd,Rajasthan Royals,Dubai International Cricket Stadium,R Tewatia (b),4.0,2/25,,16.50,7.73,3,21.25
,,,,,J C Archer (c K L Nagarkoti),,,,,,4,
4,03/10/2020,1st,Delhi Capitals,Sharjah Cricket Stadium,S Dhawan (c E J G Morgan),4.0,1/49,,18.00,8.93,5,26.80
5,07/10/2020,2nd,Chennai Super Kings,Sheikh Zayed Stadium,M S Dhoni (b),4.0,1/28,,19.00,8.53,6,27.00
6,10/10/2020,2nd,Punjab Kings,Sheikh Zayed Stadium,,4.0,0/27,,23.00,8.22,6,31.50
7,12/10/2020,1st,Royal Challengers Bengaluru,Sharjah Cricket Stadium,,4.0,0/25,,27.00,7.93,6,35.67
8,16/10/2020,2nd,Mumbai Indians,Sheikh Zayed Stadium,S A Yadav (b),4.0,1/23,,26.57,7.65,7,33.86
9,18/10/2020,2nd,Sunrisers Hyderabad,Sheikh Zayed Stadium,J M Bairstow (c A D Russell),4.0,1/32,,26.25,7.69,8,33.63
10,21/10/2020,2nd,Royal Challengers Bengaluru,Sheikh Zayed Stadium,,4.0,0/28,,29.25,7.62,8,37.13
11,24/10/2020,2nd,Delhi Capitals,Sheikh Zayed Stadium,R R Pant (c Shubman Gill),4.0,5/20,,19.85,7.37,9,24.38
,,,,,S O Hetmeyer (c R A Tripathi),,,,,,10,
,,,,,S S Iyer (c K L Nagarkoti),,,,,,11,
,,,,,M P Stoinis (c R A Tripathi),,,,,,12,
,,,,,A R Patel (b),,,,,,13,
12,26/10/2020,2nd,Punjab Kings,Sharjah Cricket Stadium,K L Rahul (lbw),4.0,1/34,,20.14,7.47,14,25.07
13,29/10/2020,2nd,Chennai Super Kings,Dubai International Cricket Stadium,S R Watson (c Rinku Singh),4.0,2/20,,19.13,7.27,15,23.19
,,,,,M S Dhoni (b),,,,,,16,
14,01/11/2020,2nd,Rajasthan Royals,Dubai International Cricket Stadium,J C Buttler (c P J Cummins),4.0,2/20,,18.33,7.11,17,21.72
,,,,,R Tewatia (c †K D Karthik),,,,,,18,
15,11/04/2021,2nd,Sunrisers Hyderabad,MA Chidambaram Stadium,,4.0,0/36,,19.67,7.24,18,23.72
16,13/04/2021,1st,Mumbai Indians,MA Chidambaram Stadium,Q de Kock (c R A Tripathi),4.0,1/27,,19.89,7.21,19,23.89
17,18/04/2021,1st,Royal Challengers Bengaluru,MA Chidambaram Stadium,V Kohli (c R A Tripathi),4.0,2/39,,19.14,7.36,20,23.48
,,,,,R M Patidar (b),,,,,,21,
18,21/04/2021,1st,Chennai Super Kings,Wankhede Stadium,R D Gaikwad (c P J Cummins),4.0,1/27,,19.36,7.32,22,23.64
19,24/04/2021,2nd,Rajasthan Royals,Wankhede Stadium,J C Buttler (lbw),4.0,2/32,,18.75,7.36,23,23.00
,,,,,S Dube (c M Prasidh Krishna),,,,,,24,
20,26/04/2021,1st,Punjab Kings,Narendra Modi Stadium,N Pooran (b),4.0,1/24,,18.96,7.29,25,23.04
