Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,13/05/2014,1st,Rajasthan Royals,JSCA International Stadium Complex,,1.0,0/19,,,19.00,0,
2,12/04/2017,2nd,Mumbai Indians,Wankhede Stadium,did not bowl,,,,,19.00,0,
3,08/05/2017,1st,Mumbai Indians,Rajiv Gandhi International Stadium,did not bowl,,,,,19.00,0,
4,13/05/2017,1st,Gujarat Lions,Green Park,did not bowl,,,,,19.00,0,
5,17/05/2017,2nd,Kolkata Knight Riders,M Chinnaswamy Stadium,did not bowl,,,,,19.00,0,
6,08/04/2018,2nd,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,did not bowl,,,,,19.00,0,
7,11/04/2018,1st,Rajasthan Royals,Sawai Mansingh Stadium,did not bowl,,,,,19.00,0,
8,14/04/2018,1st,Mumbai Indians,Wankhede Stadium,did not bowl,,,,,19.00,0,
9,16/04/2018,1st,Kolkata Knight Riders,Eden Gardens,,1.0,0/12,,,15.50,0,
10,21/04/2018,2nd,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,,15.50,0,
11,27/04/2018,2nd,Kolkata Knight Riders,Arun Jaitley Stadium,,1.0,0/10,,,13.67,0,
12,30/04/2018,1st,Chennai Super Kings,Maharashtra Cricket Association Stadium,F du Plessis (c T A Boult),2.0,1/22,,30.00,12.60,1,63.00
13,02/05/2018,2nd,Rajasthan Royals,Arun Jaitley Stadium,did not bowl,,,,30.00,12.60,1,63.00
14,05/05/2018,2nd,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bowl,,,,30.00,12.60,1,63.00
15,10/05/2018,2nd,Sunrisers Hyderabad,Arun Jaitley Stadium,,1.0,0/14,,36.00,12.83,1,77.00
16,12/05/2018,2nd,Royal Challengers Bengaluru,Arun Jaitley Stadium,did not bowl,,,,36.00,12.83,1,77.00
17,18/05/2018,2nd,Chennai Super Kings,Arun Jaitley Stadium,did not bowl,,,,36.00,12.83,1,77.00
18,20/05/2018,2nd,Mumbai Indians,Arun Jaitley Stadium,did not bowl,,,,36.00,12.83,1,77.00
19,24/03/2019,2nd,Kolkata Knight Riders,Eden Gardens,did not bowl,,,,36.00,12.83,1,77.00
20,29/03/2019,1st,Rajasthan Royals,Rajiv Gandhi International Stadium,,1.0,0/13,,42.00,12.86,1,90.00
21,31/03/2019,2nd,Royal Challengers Bengaluru,Rajiv Gandhi International Stadium,,2.0,0/13,,54.00,11.44,1,103.00
22,04/04/2019,1st,Delhi Capitals,Arun Jaitley Stadium,did not bowl,,,,54.00,11.44,1,103.00
23,06/04/2019,1st,Mumbai Indians,Rajiv Gandhi International Stadium,did not bowl,,,,54.00,11.44,1,103.00
24,08/04/2019,2nd,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,did not bowl,,,,54.00,11.44,1,103.00
25,14/04/2019,1st,Delhi Capitals,Rajiv Gandhi International Stadium,,2.0,0/17,,66.00,10.91,1,120.00
26,17/04/2019,1st,Chennai Super Kings,Rajiv Gandhi International Stadium,F du Plessis (c †J M Bairstow),2.0,1/11,,39.00,10.08,2,65.50
27,21/04/2019,1st,Kolkata Knight Riders,Rajiv Gandhi International Stadium,did not bowl,,,,39.00,10.08,2,65.50
28,23/04/2019,2nd,Chennai Super Kings,MA Chidambaram Stadium,did not bowl,,,,39.00,10.08,2,65.50
29,27/04/2019,2nd,Rajasthan Royals,Sawai Mansingh Stadium,did not bowl,,,,39.00,10.08,2,65.50
30,29/04/2019,2nd,Punjab Kings,Rajiv Gandhi International Stadium,did not bowl,,,,39.00,10.08,2,65.50
31,02/05/2019,1st,Mumbai Indians,Wankhede Stadium,did not bowl,,,,39.00,10.08,2,65.50
32,04/05/2019,2nd,Royal Challengers Bengaluru,M Chinnaswamy Stadium,,1.0,0/16,,42.00,10.50,2,73.50
33,08/05/2019,2nd,Delhi Capitals,Dr YS Rajasekhara Reddy Cricket Stadium,did not bowl,,,,42.00,10.50,2,73.50
34,21/09/2020,1st,Royal Challengers Bengaluru,Dubai International Cricket Stadium,D Padikkal (b),1.2,1/14,,30.67,10.50,3,53.67
35,11/10/2020,2nd,Rajasthan Royals,Dubai International Cricket Stadium,,3.0,0/22,,36.67,9.98,3,61.00
36,13/10/2020,1st,Chennai Super Kings,Dubai International Cricket Stadium,did not bowl,,,,36.67,9.98,3,61.00
37,18/10/2020,1st,Kolkata Knight Riders,Sheikh Zayed Stadium,N Rana (c P K Garg),4.0,1/20,,33.50,9.09,4,50.75
38,22/10/2020,1st,Rajasthan Royals,Dubai International Cricket Stadium,J C Buttler (c S Nadeem),3.0,1/15,,30.40,8.61,5,43.60
39,24/10/2020,1st,Punjab Kings,Dubai International Cricket Stadium,did not bowl,,,,30.40,8.61,5,43.60
40,27/10/2020,2nd,Delhi Capitals,Dubai International Cricket Stadium,S S Iyer (c K S Williamson),1.5,1/11,,27.17,8.43,6,38.17
41,11/04/2021,1st,Kolkata Knight Riders,MA Chidambaram Stadium,,1.0,0/14,,28.17,8.63,6,40.50
42,14/04/2021,1st,Royal Challengers Bengaluru,MA Chidambaram Stadium,did not bowl,,,,28.17,8.63,6,40.50
43,17/04/2021,1st,Mumbai Indians,MA Chidambaram Stadium,R G Sharma (c Virat Singh),3.0,2/19,,23.38,8.41,7,32.75
,,,,,S A Yadav (c & b),,,,,,8,
44,21/04/2021,1st,Punjab Kings,MA Chidambaram Stadium,,1.0,0/6,,24.13,8.33,8,33.50
45,25/04/2021,1st,Delhi Capitals,MA Chidambaram Stadium,,3.0,0/19,,26.38,8.16,8,35.88
46,28/04/2021,2nd,Chennai Super Kings,Arun Jaitley Stadium,did not bowl,,,,26.38,8.16,8,35.88
47,02/05/2021,1st,Rajasthan Royals,Arun Jaitley Stadium,S V Samson (c Abdul Samad),3.0,1/42,,25.44,8.62,9,36.56
48,28/03/2022,1st,Lucknow Super Giants,Wankhede Stadium,did not bowl,,,,25.44,8.62,9,36.56
49,02/04/2022,2nd,Delhi Capitals,Maharashtra Cricket Association Stadium,,1.0,0/14,,26.11,8.76,9,38.11
50,14/04/2022,2nd,Rajasthan Royals,Dr DY Patil Sports Academy,,0.3,0/1,,26.44,8.67,9,38.22
51,17/04/2022,1st,Chennai Super Kings,Maharashtra Cricket Association Stadium,did not bowl,,,,26.44,8.67,9,38.22
52,31/03/2023,1st,Chennai Super Kings,Narendra Modi Stadium,did not bowl,,,,26.44,8.67,9,38.22
53,04/04/2023,1st,Delhi Capitals,Arun Jaitley Stadium,did not bowl,,,,26.44,8.67,9,38.22
54,09/04/2023,2nd,Kolkata Knight Riders,Narendra Modi Stadium,did not bowl,,,,26.44,8.67,9,38.22
55,22/04/2023,2nd,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,did not bowl,,,,26.44,8.67,9,38.22
56,25/04/2023,2nd,Mumbai Indians,Narendra Modi Stadium,did not bowl,,,,26.44,8.67,9,38.22
57,29/04/2023,1st,Kolkata Knight Riders,Eden Gardens,did not bowl,,,,26.44,8.67,9,38.22
58,02/05/2023,1st,Delhi Capitals,Narendra Modi Stadium,did not bowl,,,,26.44,8.67,9,38.22
59,05/05/2023,1st,Rajasthan Royals,Sawai Mansingh Stadium,did not bowl,,,,26.44,8.67,9,38.22
60,07/05/2023,2nd,Lucknow Super Giants,Narendra Modi Stadium,did not bowl,,,,26.44,8.67,9,38.22
61,12/05/2023,1st,Mumbai Indians,Wankhede Stadium,did not bowl,,,,26.44,8.67,9,38.22
62,21/05/2023,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,26.44,8.67,9,38.22
63,23/05/2023,1st,Chennai Super Kings,MA Chidambaram Stadium,did not bowl,,,,26.44,8.67,9,38.22
64,26/05/2023,2nd,Mumbai Indians,Narendra Modi Stadium,did not bowl,,,,26.44,8.67,9,38.22
65,29/05/2023,2nd,Chennai Super Kings,Narendra Modi Stadium,did not bowl,,,,26.44,8.67,9,38.22
66,24/03/2024,2nd,Mumbai Indians,Narendra Modi Stadium,did not bowl,,,,26.44,8.67,9,38.22
67,26/03/2024,1st,Chennai Super Kings,MA Chidambaram Stadium,did not bowl,,,,26.44,8.67,9,38.22
68,31/03/2024,1st,Sunrisers Hyderabad,Narendra Modi Stadium,did not bowl,,,,26.44,8.67,9,38.22
69,04/04/2024,2nd,Punjab Kings,Narendra Modi Stadium,did not bowl,,,,26.44,8.67,9,38.22
70,07/04/2024,1st,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,did not bowl,,,,26.44,8.67,9,38.22
71,10/04/2024,1st,Rajasthan Royals,Sawai Mansingh Stadium,did not bowl,,,,26.44,8.67,9,38.22
72,04/05/2024,2nd,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,26.44,8.67,9,38.22
73,30/03/2025,1st,Rajasthan Royals,Barsapara Cricket Stadium,did not bowl,,,,26.44,8.67,9,38.22
74,05/04/2025,1st,Delhi Capitals,MA Chidambaram Stadium,did not bowl,,,,26.44,8.67,9,38.22
75,08/04/2025,1st,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,26.44,8.67,9,38.22
76,11/04/2025,2nd,Kolkata Knight Riders,MA Chidambaram Stadium,did not bowl,,,,26.44,8.67,9,38.22
77,14/04/2025,1st,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,did not bowl,,,,26.44,8.67,9,38.22
78,20/04/2025,2nd,Mumbai Indians,Wankhede Stadium,did not bowl,,,,26.44,8.67,9,38.22
