Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,18/04/2008,1st,Kolkata Knight Riders,M Chinnaswamy Stadium,did not bowl,,,,,,0,
2,20/04/2008,1st,Mumbai Indians,Wankhede Stadium,did not bowl,,,,,,0,
3,26/04/2008,2nd,Rajasthan Royals,M Chinnaswamy Stadium,did not bowl,,,,,,0,
4,28/04/2008,1st,Chennai Super Kings,M Chinnaswamy Stadium,did not bowl,,,,,,0,
5,30/04/2008,1st,Delhi Capitals,Arun Jaitley Stadium,,1.0,0/11,,,11.00,0,
6,03/05/2008,2nd,Deccan Chargers,M Chinnaswamy Stadium,did not bowl,,,,,11.00,0,
7,05/05/2008,2nd,Punjab Kings,M Chinnaswamy Stadium,did not bowl,,,,,11.00,0,
8,08/05/2008,1st,Kolkata Knight Riders,Eden Gardens,did not bowl,,,,,11.00,0,
9,12/05/2008,2nd,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,,1.0,0/9,,,10.00,0,
10,17/05/2008,1st,Rajasthan Royals,Sawai Mansingh Stadium,,2.0,0/16,,,9.00,0,
11,21/05/2008,2nd,Chennai Super Kings,MA Chidambaram Stadium,did not bowl,,,,,9.00,0,
12,25/05/2008,1st,Deccan Chargers,Rajiv Gandhi International Stadium,L P C Silva (c †S P Goswami),3.4,2/25,,23.00,7.96,1,30.50
,,,,,D B  Ravi Teja (b),,,,,,2,
13,28/05/2008,2nd,Mumbai Indians,M Chinnaswamy Stadium,did not bowl,,,,23.00,7.96,2,30.50
14,18/04/2009,2nd,Rajasthan Royals,Newlands,did not bowl,,,,23.00,7.96,2,30.50
15,20/04/2009,1st,Chennai Super Kings,St George's Park,,1.0,0/9,,26.00,8.08,2,35.00
16,22/04/2009,1st,Deccan Chargers,Newlands,did not bowl,,,,26.00,8.08,2,35.00
17,24/04/2009,2nd,Punjab Kings,Kingsmead,did not bowl,,,,26.00,8.08,2,35.00
18,26/04/2009,2nd,Delhi Capitals,St George's Park,did not bowl,,,,26.00,8.08,2,35.00
19,29/04/2009,1st,Kolkata Knight Riders,Kingsmead,did not bowl,,,,26.00,8.08,2,35.00
20,01/05/2009,2nd,Punjab Kings,Kingsmead,did not bowl,,,,26.00,8.08,2,35.00
21,03/05/2009,1st,Mumbai Indians,Wanderers Stadium,did not bowl,,,,26.00,8.08,2,35.00
22,07/05/2009,2nd,Rajasthan Royals,SuperSport Park,did not bowl,,,,26.00,8.08,2,35.00
23,10/05/2009,1st,Mumbai Indians,St George's Park,did not bowl,,,,26.00,8.08,2,35.00
24,12/05/2009,1st,Kolkata Knight Riders,SuperSport Park,did not bowl,,,,26.00,8.08,2,35.00
25,14/05/2009,1st,Chennai Super Kings,Kingsmead,did not bowl,,,,26.00,8.08,2,35.00
26,19/05/2009,1st,Delhi Capitals,Wanderers Stadium,,2.0,0/12,,32.00,7.69,2,41.00
27,21/05/2009,2nd,Deccan Chargers,SuperSport Park,,3.0,0/25,,41.00,7.83,2,53.50
28,23/05/2009,1st,Chennai Super Kings,Wanderers Stadium,did not bowl,,,,41.00,7.83,2,53.50
29,24/05/2009,1st,Deccan Chargers,Wanderers Stadium,did not bowl,,,,41.00,7.83,2,53.50
30,14/03/2010,2nd,Kolkata Knight Riders,Eden Gardens,,0.2,0/1,,42.00,7.71,2,54.00
31,16/03/2010,1st,Punjab Kings,M Chinnaswamy Stadium,,2.0,0/23,,48.00,8.19,2,65.50
32,18/03/2010,1st,Rajasthan Royals,M Chinnaswamy Stadium,did not bowl,,,,48.00,8.19,2,65.50
33,20/03/2010,1st,Mumbai Indians,Barabati Stadium,did not bowl,,,,48.00,8.19,2,65.50
34,23/03/2010,2nd,Chennai Super Kings,M Chinnaswamy Stadium,did not bowl,,,,48.00,8.19,2,65.50
35,25/03/2010,1st,Delhi Capitals,M Chinnaswamy Stadium,did not bowl,,,,48.00,8.19,2,65.50
36,31/03/2010,2nd,Chennai Super Kings,MA Chidambaram Stadium,did not bowl,,,,48.00,8.19,2,65.50
37,02/04/2010,1st,Punjab Kings,Barabati Stadium,did not bowl,,,,48.00,8.19,2,65.50
38,04/04/2010,1st,Delhi Capitals,Arun Jaitley Stadium,did not bowl,,,,48.00,8.19,2,65.50
39,08/04/2010,2nd,Deccan Chargers,M Chinnaswamy Stadium,did not bowl,,,,48.00,8.19,2,65.50
40,10/04/2010,1st,Kolkata Knight Riders,M Chinnaswamy Stadium,did not bowl,,,,48.00,8.19,2,65.50
41,12/04/2010,1st,Deccan Chargers,Vidarbha Cricket Association Stadium,,2.0,0/16,,54.00,8.17,2,73.50
42,14/04/2010,1st,Rajasthan Royals,Sawai Mansingh Stadium,did not bowl,,,,54.00,8.17,2,73.50
43,17/04/2010,1st,Mumbai Indians,M Chinnaswamy Stadium,did not bowl,,,,54.00,8.17,2,73.50
44,21/04/2010,1st,Mumbai Indians,Dr DY Patil Sports Academy,,1.0,0/10,,57.00,8.26,2,78.50
45,24/04/2010,1st,Deccan Chargers,Dr DY Patil Sports Academy,did not bowl,,,,57.00,8.26,2,78.50
46,09/04/2011,1st,Kochi Tuskers Kerala,Nehru Stadium (Kochi),B B McCullum (c D P Nannes),2.0,1/14,,42.00,8.14,3,57.00
47,12/04/2011,2nd,Mumbai Indians,M Chinnaswamy Stadium,,2.0,0/15,,46.00,8.09,3,62.00
48,14/04/2011,1st,Deccan Chargers,Rajiv Gandhi International Stadium,did not bowl,,,,46.00,8.09,3,62.00
49,16/04/2011,1st,Chennai Super Kings,MA Chidambaram Stadium,,3.0,0/23,,52.00,8.04,3,69.67
50,22/04/2011,1st,Kolkata Knight Riders,Eden Gardens,,1.0,0/9,,54.00,8.07,3,72.67
51,26/04/2011,1st,Delhi Capitals,Arun Jaitley Stadium,did not bowl,,,,54.00,8.07,3,72.67
52,29/04/2011,2nd,Pune Warriors,M Chinnaswamy Stadium,did not bowl,,,,54.00,8.07,3,72.67
53,06/05/2011,2nd,Punjab Kings,M Chinnaswamy Stadium,,1.0,0/7,,56.00,8.04,3,75.00
