Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,15/04/2023,2nd,Delhi Capitals,M Chinnaswamy Stadium,D A Warner (c V Kohli),4.0,3/20,,8.00,5.00,1,6.67
,,,,,A R Patel (c Mohammed Siraj),,,,,,2,
,,,,,Lalit Yadav (c G J Maxwell),,,,,,3,
2,17/04/2023,1st,Chennai Super Kings,M Chinnaswamy Stadium,A T Rayudu (c †K D Karthik),4.0,1/62,,12.00,10.25,4,20.50
3,20/04/2023,2nd,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,,3.0,0/29,,16.50,10.09,4,27.75
4,23/04/2023,2nd,Rajasthan Royals,M Chinnaswamy Stadium,,2.0,0/24,,19.50,10.38,4,33.75
5,26/04/2023,1st,Kolkata Knight Riders,M Chinnaswamy Stadium,N Jagadeesan (c D J Willey),4.0,2/41,,17.00,10.35,5,29.33
,,,,,J J Roy (b),,,,,,6,
6,09/05/2023,2nd,Mumbai Indians,Wankhede Stadium,S A Yadav (c K M Jadhav),3.0,2/37,,15.00,10.65,7,26.63
,,,,,T H David (c G J Maxwell),,,,,,8,
7,21/05/2023,2nd,Gujarat Titans,M Chinnaswamy Stadium,V Shankar (c V Kohli),4.0,1/40,,16.00,10.54,9,28.11
8,29/03/2024,2nd,Kolkata Knight Riders,M Chinnaswamy Stadium,P D Salt (c C Green),4.0,1/23,,16.80,9.86,10,27.60
9,11/04/2024,2nd,Mumbai Indians,Wankhede Stadium,S A Yadav (c M K Lomror),3.0,1/32,,16.91,9.94,11,28.00
10,15/04/2024,1st,Sunrisers Hyderabad,M Chinnaswamy Stadium,,4.0,0/64,,19.09,10.63,11,33.82
11,04/05/2024,1st,Gujarat Titans,M Chinnaswamy Stadium,Manav Suthar (c Swapnil Singh),3.3,2/23,,17.77,10.26,12,30.38
,,,,,V Shankar (c Mohammed Siraj),,,,,,13,
12,25/03/2025,2nd,Gujarat Titans,Narendra Modi Stadium,,3.0,0/28,,19.15,10.19,13,32.54
13,04/05/2025,2nd,Lucknow Super Giants,Himachal Pradesh Cricket Association Stadium,,3.0,0/49,,20.54,10.61,13,36.31
14,26/05/2025,1st,Mumbai Indians,Sawai Mansingh Stadium,Tilak Varma (c Arshdeep Singh),4.0,2/44,,19.40,10.64,14,34.40
,,,,,W G Jacks (c M Jansen),,,,,,15,
15,01/06/2025,1st,Mumbai Indians,Narendra Modi Stadium,J M Bairstow (c †J P Inglis),3.0,1/30,,19.31,10.60,16,34.13
