Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,20/09/2021,2nd,Kolkata Knight Riders,Sheikh Zayed Stadium,,2.0,0/20,,,10.00,0,
2,24/09/2021,2nd,Chennai Super Kings,Sharjah Cricket Stadium,,4.0,0/40,,,10.00,0,
3,27/03/2022,2nd,Punjab Kings,Dr DY Patil Sports Academy,M A Agarwal (c Shahbaz Ahmed),4.0,1/40,,60.00,10.00,1,100.00
4,30/03/2022,1st,Kolkata Knight Riders,Dr DY Patil Sports Academy,S S Iyer (c F du Plessis),4.0,4/20,,16.80,8.57,2,24.00
,,,,,S P Narine (c Akash Deep),,,,,,3,
,,,,,S P Jackson (b),,,,,,4,
,,,,,T G Southee (c F du Plessis),,,,,,5,
5,05/04/2022,1st,Rajasthan Royals,Wankhede Stadium,S V Samson (c & b),4.0,1/32,,18.00,8.44,6,25.33
6,09/04/2022,1st,Mumbai Indians,Maharashtra Cricket Association Stadium,D Brevis (lbw),4.0,2/28,,16.50,8.18,7,22.50
,,,,,K A Pollard (lbw),,,,,,8,
7,12/04/2022,1st,Chennai Super Kings,Dr DY Patil Sports Academy,R V Uthappa (c V Kohli),3.0,2/35,,15.00,8.60,9,21.50
,,,,,R A Jadeja (c Anuj Rawat),,,,,,10,
8,16/04/2022,2nd,Delhi Capitals,Wankhede Stadium,D A Warner (lbw),4.0,1/40,,15.82,8.79,11,23.18
9,19/04/2022,2nd,Lucknow Super Giants,Dr DY Patil Sports Academy,,2.0,0/20,,16.91,8.87,11,25.00
10,23/04/2022,2nd,Sunrisers Hyderabad,Brabourne Stadium,,1.0,0/7,,17.45,8.81,11,25.64
11,26/04/2022,1st,Rajasthan Royals,Maharashtra Cricket Association Stadium,S V Samson (b),4.0,2/23,,16.62,8.47,12,23.46
,,,,,S O Hetmeyer (c S S Prabhudessai),,,,,,13,
12,30/04/2022,2nd,Gujarat Titans,Brabourne Stadium,W P Saha (c R M Patidar),4.0,2/28,,16.00,8.33,14,22.20
