Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,22/04/2017,1st,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,,3.0,0/19,,,6.33,0,
2,24/04/2017,2nd,Mumbai Indians,Wankhede Stadium,P A Patel (b),4.0,1/26,,42.00,6.43,1,45.00
3,26/04/2017,2nd,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,,3.0,0/32,,60.00,7.70,1,77.00
4,29/04/2017,2nd,Royal Challengers Bengaluru,Maharashtra Cricket Association Stadium,Sachin Baby (c S P D Smith),2.0,1/7,,36.00,7.00,2,42.00
5,01/05/2017,1st,Gujarat Lions,Maharashtra Cricket Association Stadium,,2.0,0/12,,42.00,6.86,2,48.00
6,03/05/2017,1st,Kolkata Knight Riders,Eden Gardens,S P Jackson (hit wicket),2.0,2/18,,24.00,7.13,3,28.50
,,,,,G Gambhir (c A M Rahane),,,,,,4,
7,06/05/2017,2nd,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,,3.0,0/19,,28.50,7.00,4,33.25
8,12/05/2017,1st,Delhi Capitals,Arun Jaitley Stadium,C J Anderson (st M S Dhoni),3.0,1/23,,26.40,7.09,5,31.20
9,14/05/2017,1st,Punjab Kings,Maharashtra Cricket Association Stadium,did not bowl,,,,26.40,7.09,5,31.20
10,16/05/2017,2nd,Mumbai Indians,Wankhede Stadium,R G Sharma (lbw),4.0,3/16,,19.50,6.62,6,21.50
,,,,,A T Rayudu (c S P D Smith),,,,,,7,
,,,,,K A Pollard (c S P D Smith),,,,,,8,
11,21/05/2017,1st,Mumbai Indians,Rajiv Gandhi International Stadium,,4.0,0/13,,22.50,6.17,8,23.13
12,08/04/2018,2nd,Kolkata Knight Riders,Eden Gardens,N Rana (lbw),4.0,1/48,,22.67,6.85,9,25.89
13,13/04/2018,1st,Punjab Kings,M Chinnaswamy Stadium,K L Rahul (c S N Khan),4.0,2/22,,20.73,6.71,10,23.18
,,,,,M P Stoinis (st Q de Kock),,,,,,11,
14,15/04/2018,1st,Rajasthan Royals,M Chinnaswamy Stadium,,4.0,0/30,,22.91,6.79,11,25.91
