Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,14/04/2022,2nd,Rajasthan Royals,Dr DY Patil Sports Academy,D Padikkal (c Shubman Gill),4.0,3/40,,8.00,10.00,1,13.33
,,,,,H E van der Dussen (c †M S Wade),,,,,,2,
,,,,,Y S Chahal (c V Shankar),,,,,,3,
2,17/04/2022,1st,Chennai Super Kings,Maharashtra Cricket Association Stadium,R D Gaikwad (c A Manohar),4.0,1/40,,12.00,10.00,4,20.00
3,23/04/2022,2nd,Kolkata Knight Riders,Dr DY Patil Sports Academy,S S Iyer (c †W P Saha),4.0,2/42,,12.00,10.17,5,20.33
,,,,,Rinku Singh (c †W P Saha),,,,,,6,
4,27/04/2022,1st,Sunrisers Hyderabad,Wankhede Stadium,A K Markram (c D A Miller),4.0,1/24,,13.71,9.13,7,20.86
5,10/05/2022,2nd,Lucknow Super Giants,Maharashtra Cricket Association Stadium,Q de Kock (c R S Kishore),2.0,2/24,,12.00,9.44,8,18.89
,,,,,K S Sharma (c D A Miller),,,,,,9,
6,15/05/2022,1st,Chennai Super Kings,Wankhede Stadium,,3.0,0/27,,14.00,9.38,9,21.89
7,19/05/2022,2nd,Royal Challengers Bengaluru,Wankhede Stadium,,4.0,0/35,,16.67,9.28,9,25.78
8,24/05/2022,1st,Rajasthan Royals,Eden Gardens,Y B K Jaiswal (c †W P Saha),4.0,1/46,,17.40,9.59,10,27.80
9,29/05/2022,1st,Rajasthan Royals,Narendra Modi Stadium,Y B K Jaiswal (c R S Kishore),3.0,1/18,,17.45,9.25,11,26.91
10,31/03/2023,1st,Chennai Super Kings,Narendra Modi Stadium,,1.0,0/14,,18.00,9.39,11,28.18
11,04/04/2023,1st,Delhi Capitals,Arun Jaitley Stadium,,1.0,0/12,,18.55,9.47,11,29.27
12,09/04/2023,2nd,Kolkata Knight Riders,Narendra Modi Stadium,,4.0,0/69,,20.73,10.29,11,35.55
13,15/05/2023,2nd,Sunrisers Hyderabad,Narendra Modi Stadium,Abhishek Sharma (c †W P Saha),4.0,1/31,,21.00,10.05,12,35.17
14,21/05/2023,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,K D Karthik (c †W P Saha),4.0,1/39,,21.23,10.02,13,35.46
15,22/03/2024,2nd,Chennai Super Kings,MA Chidambaram Stadium,R D Gaikwad (c C Green),3.0,1/28,,21.00,9.98,14,34.93
16,25/03/2024,1st,Punjab Kings,M Chinnaswamy Stadium,S M Curran (c †Anuj Rawat),4.0,1/23,,21.20,9.66,15,34.13
17,29/03/2024,2nd,Kolkata Knight Riders,M Chinnaswamy Stadium,V R Iyer (c V Kohli),4.0,1/46,,21.38,9.79,16,34.88
18,02/04/2024,1st,Lucknow Super Giants,M Chinnaswamy Stadium,A Badoni (c F du Plessis),4.0,1/24,,21.53,9.54,17,34.24
19,06/04/2024,2nd,Rajasthan Royals,Sawai Mansingh Stadium,R Parag (c V Kohli),4.0,1/37,,21.67,9.52,18,34.39
20,15/04/2024,1st,Sunrisers Hyderabad,M Chinnaswamy Stadium,,4.0,0/51,,23.00,9.71,18,37.22
21,21/04/2024,1st,Kolkata Knight Riders,Eden Gardens,S P Narine (c V Kohli),4.0,2/56,,21.90,9.95,19,36.30
,,,,,Angkrish Raghuvanshi (c C Green),,,,,,20,
22,25/04/2024,2nd,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Abhishek Sharma (c †K D Karthik),3.0,1/18,,21.71,9.79,21,35.43
23,28/04/2024,1st,Gujarat Titans,Narendra Modi Stadium,,4.0,0/34,,22.86,9.73,21,37.05
24,04/05/2024,1st,Gujarat Titans,M Chinnaswamy Stadium,Rashid Khan (b),4.0,2/21,,21.91,9.51,22,34.74
,,,,,R Tewatia (c Vijaykumar Vyshak),,,,,,23,
25,09/05/2024,2nd,Punjab Kings,Himachal Pradesh Cricket Association Stadium,,2.0,0/22,,22.43,9.55,23,35.70
26,12/05/2024,2nd,Delhi Capitals,M Chinnaswamy Stadium,A Porel (c L H Ferguson),3.1,3/20,,20.58,9.43,24,32.35
,,,,,A R Patel (c F du Plessis),,,,,,25,
,,,,,Kuldeep Yadav (b),,,,,,26,
27,18/05/2024,2nd,Chennai Super Kings,M Chinnaswamy Stadium,D J Mitchell (c V Kohli),4.0,2/42,,19.96,9.48,27,31.54
,,,,,M S Dhoni (c Swapnil Singh),,,,,,28,
28,22/05/2024,2nd,Rajasthan Royals,Narendra Modi Stadium,,3.0,0/37,,20.61,9.57,28,32.86
29,22/03/2025,1st,Kolkata Knight Riders,Eden Gardens,Angkrish Raghuvanshi (c †J M Sharma),3.0,1/25,,20.52,9.53,29,32.59
30,28/03/2025,2nd,Chennai Super Kings,MA Chidambaram Stadium,R Ravindra (b),3.0,2/18,,19.77,9.43,30,31.06
,,,,,S Dube (b),,,,,,31,
31,02/04/2025,2nd,Gujarat Titans,M Chinnaswamy Stadium,,3.0,0/20,,20.35,9.35,31,31.71
32,07/04/2025,2nd,Mumbai Indians,Wankhede Stadium,R G Sharma (b),4.0,2/46,,19.85,9.43,32,31.18
,,,,,S A Yadav (c L S Livingstone),,,,,,33,
33,10/04/2025,2nd,Delhi Capitals,M Chinnaswamy Stadium,F du Plessis (c R M Patidar),3.5,1/45,,19.94,9.50,34,31.59
34,13/04/2025,1st,Rajasthan Royals,Sawai Mansingh Stadium,R Parag (c V Kohli),4.0,1/36,,20.06,9.49,35,31.71
35,18/04/2025,2nd,Punjab Kings,M Chinnaswamy Stadium,,2.1,0/18,,20.43,9.47,35,32.23
36,20/04/2025,1st,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,,2.0,0/22,,20.77,9.49,35,32.86
37,24/04/2025,2nd,Rajasthan Royals,M Chinnaswamy Stadium,Shubham Dubey (c P D Salt),3.0,1/33,,20.69,9.53,36,32.86
38,27/04/2025,1st,Delhi Capitals,Arun Jaitley Stadium,K K Nair (c B Kumar),4.0,1/42,,20.78,9.56,37,33.11
39,03/05/2025,2nd,Chennai Super Kings,M Chinnaswamy Stadium,M S Dhoni (lbw),4.0,1/41,,20.87,9.58,38,33.32
40,23/05/2025,1st,Sunrisers Hyderabad,BRSABV Ekana Cricket Stadium,,3.0,0/36,,21.34,9.63,38,34.26
