Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,03/04/2023,1st,Chennai Super Kings,MA Chidambaram Stadium,,4.0,0/36,,,9.00,0,
2,07/04/2023,1st,Sunrisers Hyderabad,BRSABV Ekana Cricket Stadium,R A Tripathi (c A Mishra),3.0,1/23,,42.00,8.43,1,59.00
3,28/04/2023,2nd,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,Sikandar Raza (c K H Pandya),3.5,4/37,,13.00,8.86,2,19.20
,,,,,J M Sharma (c K L Rahul),,,,,,3,
,,,,,R D Chahar (c D J Hooda),,,,,,4,
,,,,,Shahrukh Khan (c Ravi Bishnoi),,,,,,5,
4,01/05/2023,1st,Royal Challengers Bengaluru,BRSABV Ekana Cricket Stadium,,2.0,0/12,,15.40,8.42,5,21.60
5,07/05/2023,1st,Gujarat Titans,Narendra Modi Stadium,,4.0,0/48,,20.20,9.27,5,31.20
6,13/05/2023,1st,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,R A Tripathi (c †Q de Kock),4.0,1/28,,20.83,8.83,6,30.67
7,16/05/2023,2nd,Mumbai Indians,BRSABV Ekana Cricket Stadium,S A Yadav (b),4.0,2/40,,18.63,9.02,7,28.00
,,,,,Vishnu Vinod (c N Pooran),,,,,,8,
8,20/05/2023,2nd,Kolkata Knight Riders,Eden Gardens,Rahmanullah Gurbaz (c Ravi Bishnoi),3.0,2/31,,16.70,9.16,9,25.50
,,,,,S N Thakur (c P N Mankad),,,,,,10,
9,24/05/2023,1st,Mumbai Indians,MA Chidambaram Stadium,Ishan Kishan (c †N Pooran),4.0,3/34,,14.69,9.08,11,22.23
,,,,,T H David (c D J Hooda),,,,,,12,
,,,,,N Wadhera (c Ravi Bishnoi),,,,,,13,
10,24/03/2024,1st,Rajasthan Royals,Sawai Mansingh Stadium,,3.0,0/43,,16.08,9.53,13,25.54
11,02/04/2024,2nd,Royal Challengers Bengaluru,M Chinnaswamy Stadium,M K Lomror (c N Pooran),4.0,1/38,,16.64,9.53,14,26.43
12,07/04/2024,2nd,Gujarat Titans,BRSABV Ekana Cricket Stadium,Shubman Gill (b),3.5,5/30,,13.47,9.38,15,21.05
,,,,,V Shankar (c †K L Rahul),,,,,,16,
,,,,,Rashid Khan (c sub),,,,,,17,
,,,,,R Tewatia (c N Pooran),,,,,,18,
,,,,,Noor Ahmad (c Q de Kock),,,,,,19,
13,12/04/2024,2nd,Delhi Capitals,BRSABV Ekana Cricket Stadium,D A Warner (b),4.0,1/31,,14.00,9.24,20,21.55
14,14/04/2024,2nd,Kolkata Knight Riders,Eden Gardens,,2.0,0/25,,14.60,9.37,20,22.80
15,19/04/2024,1st,Chennai Super Kings,BRSABV Ekana Cricket Stadium,R D Gaikwad (c †K L Rahul),4.0,1/45,,15.05,9.51,21,23.86
16,23/04/2024,1st,Chennai Super Kings,MA Chidambaram Stadium,D J Mitchell (c D J Hooda),4.0,1/47,,15.45,9.67,22,24.91
17,27/04/2024,2nd,Rajasthan Royals,BRSABV Ekana Cricket Stadium,J C Buttler (b),4.0,1/50,,15.83,9.86,23,26.00
18,05/05/2024,1st,Kolkata Knight Riders,BRSABV Ekana Cricket Stadium,S S Iyer (c †K L Rahul),4.0,1/46,,16.17,9.96,24,26.83
19,08/05/2024,2nd,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,,2.4,0/47,,16.83,10.26,24,28.79
20,08/04/2025,2nd,Chennai Super Kings,Maharaja Yadavindra Singh International Cricket St,M S Dhoni (c Y S Chahal),4.0,1/39,,17.12,10.23,25,29.20
21,12/04/2025,2nd,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,,2.3,0/40,,17.72,10.43,25,30.80
