Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,22/09/2020,2nd,Chennai Super Kings,Sharjah Cricket Stadium,did not bowl,,,,,,0,
2,06/10/2020,1st,Mumbai Indians,Sheikh Zayed Stadium,did not bowl,,,,,,0,
3,09/10/2020,1st,Delhi Capitals,Sharjah Cricket Stadium,did not bowl,,,,,,0,
4,24/04/2021,1st,Kolkata Knight Riders,Wankhede Stadium,did not bowl,,,,,,0,
5,29/04/2021,2nd,Mumbai Indians,Arun Jaitley Stadium,did not bowl,,,,,,0,
6,02/05/2021,2nd,Sunrisers Hyderabad,Arun Jaitley Stadium,did not bowl,,,,,,0,
7,21/09/2021,2nd,Punjab Kings,Dubai International Cricket Stadium,did not bowl,,,,,,0,
8,25/09/2021,1st,Delhi Capitals,Sheikh Zayed Stadium,did not bowl,,,,,,0,
9,27/09/2021,2nd,Sunrisers Hyderabad,Dubai International Cricket Stadium,did not bowl,,,,,,0,
10,29/09/2021,2nd,Royal Challengers Bengaluru,Dubai International Cricket Stadium,did not bowl,,,,,,0,
11,02/10/2021,1st,Chennai Super Kings,Sheikh Zayed Stadium,did not bowl,,,,,,0,
12,05/10/2021,2nd,Mumbai Indians,Sharjah Cricket Stadium,did not bowl,,,,,,0,
13,07/10/2021,1st,Kolkata Knight Riders,Sharjah Cricket Stadium,did not bowl,,,,,,0,
14,29/03/2022,2nd,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,did not bowl,,,,,,0,
15,02/04/2022,2nd,Mumbai Indians,Dr DY Patil Sports Academy,did not bowl,,,,,,0,
16,05/04/2022,2nd,Royal Challengers Bengaluru,Wankhede Stadium,,0.1,0/6,,,36.00,0,
17,07/05/2022,1st,Punjab Kings,Wankhede Stadium,did not bowl,,,,,36.00,0,
18,11/05/2022,2nd,Delhi Capitals,Dr DY Patil Sports Academy,did not bowl,,,,,36.00,0,
19,15/05/2022,2nd,Lucknow Super Giants,Brabourne Stadium,did not bowl,,,,,36.00,0,
20,20/05/2022,1st,Chennai Super Kings,Brabourne Stadium,did not bowl,,,,,36.00,0,
21,24/05/2022,2nd,Gujarat Titans,Eden Gardens,did not bowl,,,,,36.00,0,
22,27/05/2022,1st,Royal Challengers Bengaluru,Narendra Modi Stadium,did not bowl,,,,,36.00,0,
23,29/05/2022,2nd,Gujarat Titans,Narendra Modi Stadium,did not bowl,,,,,36.00,0,
24,02/04/2023,2nd,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bowl,,,,,36.00,0,
25,05/04/2023,1st,Punjab Kings,Barsapara Cricket Stadium,did not bowl,,,,,36.00,0,
26,08/04/2023,2nd,Delhi Capitals,Barsapara Cricket Stadium,did not bowl,,,,,36.00,0,
27,12/04/2023,2nd,Chennai Super Kings,MA Chidambaram Stadium,did not bowl,,,,,36.00,0,
28,16/04/2023,1st,Gujarat Titans,Narendra Modi Stadium,did not bowl,,,,,36.00,0,
29,19/04/2023,1st,Lucknow Super Giants,Sawai Mansingh Stadium,did not bowl,,,,,36.00,0,
30,23/04/2023,1st,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bowl,,,,,36.00,0,
31,27/04/2023,2nd,Chennai Super Kings,Sawai Mansingh Stadium,did not bowl,,,,,36.00,0,
32,30/04/2023,2nd,Mumbai Indians,Wankhede Stadium,did not bowl,,,,,36.00,0,
33,05/05/2023,2nd,Gujarat Titans,Sawai Mansingh Stadium,did not bowl,,,,,36.00,0,
34,07/05/2023,2nd,Sunrisers Hyderabad,Sawai Mansingh Stadium,did not bowl,,,,,36.00,0,
35,11/05/2023,1st,Kolkata Knight Riders,Eden Gardens,did not bowl,,,,,36.00,0,
36,14/05/2023,1st,Royal Challengers Bengaluru,Sawai Mansingh Stadium,did not bowl,,,,,36.00,0,
37,19/05/2023,1st,Punjab Kings,Himachal Pradesh Cricket Association Stadium,did not bowl,,,,,36.00,0,
38,24/03/2024,2nd,Lucknow Super Giants,Sawai Mansingh Stadium,did not bowl,,,,,36.00,0,
39,28/03/2024,2nd,Delhi Capitals,Sawai Mansingh Stadium,did not bowl,,,,,36.00,0,
40,01/04/2024,1st,Mumbai Indians,Wankhede Stadium,did not bowl,,,,,36.00,0,
41,06/04/2024,1st,Royal Challengers Bengaluru,Sawai Mansingh Stadium,did not bowl,,,,,36.00,0,
42,10/04/2024,2nd,Gujarat Titans,Sawai Mansingh Stadium,did not bowl,,,,,36.00,0,
43,13/04/2024,1st,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,,36.00,0,
44,16/04/2024,1st,Kolkata Knight Riders,Eden Gardens,did not bowl,,,,,36.00,0,
45,22/04/2024,1st,Mumbai Indians,Sawai Mansingh Stadium,did not bowl,,,,,36.00,0,
46,27/04/2024,1st,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,did not bowl,,,,,36.00,0,
47,02/05/2024,1st,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bowl,,,,,36.00,0,
48,07/05/2024,1st,Delhi Capitals,Arun Jaitley Stadium,did not bowl,,,,,36.00,0,
49,12/05/2024,2nd,Chennai Super Kings,MA Chidambaram Stadium,did not bowl,,,,,36.00,0,
50,15/05/2024,2nd,Punjab Kings,Barsapara Cricket Stadium,did not bowl,,,,,36.00,0,
51,19/05/2024,2nd,Kolkata Knight Riders,Barsapara Cricket Stadium,did not bowl,,,,,36.00,0,
52,22/05/2024,1st,Royal Challengers Bengaluru,Narendra Modi Stadium,did not bowl,,,,,36.00,0,
53,24/05/2024,1st,Sunrisers Hyderabad,MA Chidambaram Stadium,did not bowl,,,,,36.00,0,
54,23/03/2025,1st,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bowl,,,,,36.00,0,
55,26/03/2025,2nd,Kolkata Knight Riders,Barsapara Cricket Stadium,did not bowl,,,,,36.00,0,
56,30/03/2025,2nd,Chennai Super Kings,Barsapara Cricket Stadium,did not bowl,,,,,36.00,0,
57,05/04/2025,2nd,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,did not bowl,,,,,36.00,0,
58,09/04/2025,1st,Gujarat Titans,Narendra Modi Stadium,did not bowl,,,,,36.00,0,
59,13/04/2025,2nd,Royal Challengers Bengaluru,Sawai Mansingh Stadium,did not bowl,,,,,36.00,0,
60,16/04/2025,1st,Delhi Capitals,Arun Jaitley Stadium,did not bowl,,,,,36.00,0,
61,19/04/2025,1st,Lucknow Super Giants,Sawai Mansingh Stadium,did not bowl,,,,,36.00,0,
