Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,24/04/2013,1st,Kolkata Knight Riders,Eden Gardens,,4.0,0/34,,,8.50,0,
2,17/04/2014,1st,Delhi Capitals,Sharjah Cricket Stadium,M Vijay (b),4.0,1/18,,48.00,6.50,1,52.00
3,19/04/2014,1st,Mumbai Indians,Dubai International Cricket Stadium,R G Sharma (c A B de Villiers),4.0,2/17,,24.00,5.75,2,23.00
,,,,,K A Pollard (c S  Rana),,,,,,3,
4,24/04/2014,1st,Kolkata Knight Riders,Sharjah Cricket Stadium,J H Kallis (c Y V  Takawale),4.0,1/26,,24.00,5.94,4,23.75
5,26/04/2014,2nd,Rajasthan Royals,Sheikh Zayed Stadium,S R Watson (c A B de Villiers),3.0,1/17,,22.80,5.89,5,22.40
6,28/04/2014,2nd,Punjab Kings,Dubai International Cricket Stadium,D A Miller (c †P A Patel),4.0,2/23,,19.71,5.87,6,19.29
,,,,,V Sehwag (c †P A Patel),,,,,,7,
7,04/05/2014,1st,Sunrisers Hyderabad,M Chinnaswamy Stadium,,4.0,0/30,,23.14,6.11,7,23.57
8,06/05/2014,1st,Mumbai Indians,Wankhede Stadium,C J Anderson (c V Kohli),4.0,1/30,,23.25,6.29,8,24.38
9,09/05/2014,1st,Punjab Kings,M Chinnaswamy Stadium,V Sehwag (c V Kohli),4.0,2/23,,21.00,6.23,9,21.80
,,,,,G J Maxwell (c M A Starc),,,,,,10,
10,11/05/2014,2nd,Rajasthan Royals,M Chinnaswamy Stadium,A M Rahane (c †P A Patel),4.0,1/24,,21.27,6.21,11,22.00
11,13/05/2014,2nd,Delhi Capitals,M Chinnaswamy Stadium,K P Pietersen (st P A Patel),4.0,1/45,,21.50,6.67,12,23.92
12,18/05/2014,1st,Chennai Super Kings,JSCA International Stadium Complex,,4.0,0/27,,23.50,6.68,12,26.17
13,20/05/2014,2nd,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,,4.0,0/32,,25.50,6.78,12,28.83
14,22/05/2014,1st,Kolkata Knight Riders,Eden Gardens,,4.0,0/50,,27.50,7.20,12,33.00
15,24/05/2014,2nd,Chennai Super Kings,M Chinnaswamy Stadium,,4.0,0/24,,29.50,7.12,12,35.00
16,11/04/2015,1st,Kolkata Knight Riders,Eden Gardens,G Gambhir (c Mandeep Singh),4.0,1/28,,29.08,7.11,13,34.46
17,13/04/2015,2nd,Sunrisers Hyderabad,M Chinnaswamy Stadium,D A Warner (lbw),4.0,2/28,,26.80,7.10,14,31.73
,,,,,K S Williamson (st K D Karthik),,,,,,15,
