1,1,28/03/2022,Lucknow Super Giants,Wankhede Stadium,15*,15,,,0,,,0,,,,27 years 193 days
2,2,02/04/2022,Delhi Capitals,Maharashtra Cricket Association Stadium,1,16,16.00,,0,,2,2,,,,27 years 198 days
3,,08/04/2022,Punjab Kings,Brabourne Stadium,-,16,16.00,,0,,,2,,,,27 years 204 days
4,3,11/04/2022,Sunrisers Hyderabad,Dr DY Patil Sports Academy,35,51,25.50,,0,,,2,,,,27 years 207 days
5,4,14/04/2022,Rajasthan Royals,Dr DY Patil Sports Academy,43,94,31.33,,0,,,2,,,,27 years 210 days
6,5,17/04/2022,Chennai Super Kings,Maharashtra Cricket Association Stadium,12,106,26.50,,0,,1,3,,,,27 years 213 days
7,6,23/04/2022,Kolkata Knight Riders,Dr DY Patil Sports Academy,2,108,21.60,,0,,1,4,,,,27 years 219 days
8,7,27/04/2022,Sunrisers Hyderabad,Wankhede Stadium,0,108,18.00,,0,,,4,,,,27 years 223 days
9,8,09/04/2023,Kolkata Knight Riders,Narendra Modi Stadium,14,122,17.43,,0,,1,5,,,,28 years 205 days
10,9,16/04/2023,Rajasthan Royals,Narendra Modi Stadium,27,149,18.63,,0,,,5,,,,28 years 212 days
11,10,22/04/2023,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,3,152,16.89,,0,,,5,,,,28 years 218 days
12,11,25/04/2023,Mumbai Indians,Narendra Modi Stadium,42,194,19.40,,0,,1,6,,,,28 years 221 days
13,,29/04/2023,Kolkata Knight Riders,Eden Gardens,-,194,19.40,,0,,,6,,,,28 years 225 days
14,12,02/05/2023,Delhi Capitals,Narendra Modi Stadium,26,220,20.00,,0,,1,7,,,,28 years 228 days
15,,05/05/2023,Rajasthan Royals,Sawai Mansingh Stadium,-,220,20.00,,0,,,7,,,,28 years 231 days
16,,07/05/2023,Lucknow Super Giants,Narendra Modi Stadium,-,220,20.00,,0,,,7,,,,28 years 233 days
17,13,12/05/2023,Mumbai Indians,Wankhede Stadium,2,222,18.50,,0,,1,8,,,,28 years 238 days
18,14,10/04/2024,Rajasthan Royals,Sawai Mansingh Stadium,1,223,17.15,,0,,,8,,,,29 years 207 days
19,15,17/04/2024,Delhi Capitals,Narendra Modi Stadium,8,231,16.50,,0,,1,9,,,,29 years 214 days
20,16,23/03/2025,Rajasthan Royals,Rajiv Gandhi International Stadium,0,231,15.40,,0,,2,11,,,,30 years 188 days
21,17,27/03/2025,Lucknow Super Giants,Rajiv Gandhi International Stadium,2,233,14.56,,0,,,11,,,,30 years 192 days
22,18,30/03/2025,Delhi Capitals,Dr YS Rajasekhara Reddy Cricket Stadium,4,237,13.94,,0,,,11,,,,30 years 195 days
23,,12/04/2025,Punjab Kings,Rajiv Gandhi International Stadium,-,237,13.94,,0,,,11,,,,30 years 208 days
24,19,23/04/2025,Mumbai Indians,Rajiv Gandhi International Stadium,43,280,15.56,,0,,1,12,,,,30 years 219 days
