1,,07/05/2016,Royal Challengers Bengaluru,M Chinnaswamy Stadium,-,0,,2/35,2,17.50,,0,,,,24 years 37 days
2,1,10/05/2016,Sunrisers Hyderabad,Dr YS Rajasekhara Reddy Cricket Stadium,0,0,0.00,6/19,8,6.75,,0,,,,24 years 40 days
3,,14/05/2016,Kolkata Knight Riders,Eden Gardens,-,0,0.00,0/8,8,7.75,,0,,,,24 years 44 days
4,,17/05/2016,Delhi Capitals,Dr YS Rajasekhara Reddy Cricket Stadium,-,0,0.00,3/21,11,7.55,,0,,,,24 years 47 days
5,,21/05/2016,Punjab Kings,Dr YS Rajasekhara Reddy Cricket Stadium,-,0,0.00,1/32,12,9.58,,0,,,,24 years 51 days
6,,06/04/2017,Mumbai Indians,Maharashtra Cricket Association Stadium,-,0,0.00,1/26,13,10.85,,0,,,,25 years 6 days
7,2,11/04/2017,Delhi Capitals,Maharashtra Cricket Association Stadium,5,5,2.50,1/45,14,13.29,,0,,,,25 years 11 days
8,,12/05/2017,Delhi Capitals,Arun Jaitley Stadium,-,5,2.50,1/29,15,14.33,,0,,,,25 years 42 days
9,,14/05/2017,Punjab Kings,Maharashtra Cricket Association Stadium,-,5,2.50,2/22,17,13.94,,0,,,,25 years 44 days
10,,16/05/2017,Mumbai Indians,Wankhede Stadium,-,5,2.50,0/9,17,14.47,,0,,,,25 years 46 days
11,,21/05/2017,Mumbai Indians,Rajiv Gandhi International Stadium,-,5,2.50,2/32,19,14.63,,0,,,,25 years 51 days
12,,28/09/2020,Mumbai Indians,Dubai International Cricket Stadium,-,5,2.50,1/53,20,16.55,,0,,,,28 years 181 days
13,,03/10/2020,Rajasthan Royals,Sheikh Zayed Stadium,-,5,2.50,0/27,20,17.90,,0,,,,28 years 186 days
14,,06/11/2020,Sunrisers Hyderabad,Sheikh Zayed Stadium,-,5,2.50,1/12,21,17.62,1,1,,,,28 years 220 days
15,3,12/04/2023,Chennai Super Kings,MA Chidambaram Stadium,1,6,2.00,1/43,22,18.77,,1,,,,31 years 12 days
16,,16/04/2023,Gujarat Titans,Narendra Modi Stadium,-,6,2.00,1/32,23,19.35,,1,,,,31 years 16 days
17,,27/04/2023,Chennai Super Kings,Sawai Mansingh Stadium,-,6,2.00,3/22,26,17.96,,1,,,,31 years 27 days
18,4,05/05/2023,Gujarat Titans,Sawai Mansingh Stadium,7,13,3.25,0/40,26,19.50,,1,,,,31 years 35 days
19,5,14/05/2023,Royal Challengers Bengaluru,Sawai Mansingh Stadium,2,15,3.00,2/25,28,19.00,,1,,,,31 years 44 days
20,,19/05/2023,Punjab Kings,Himachal Pradesh Cricket Association Stadium,-,15,3.00,1/26,29,19.24,,1,,,,31 years 49 days
21,,23/03/2025,Rajasthan Royals,Rajiv Gandhi International Stadium,-,15,3.00,1/48,30,20.20,,1,,,,32 years 357 days
22,,27/03/2025,Lucknow Super Giants,Rajiv Gandhi International Stadium,-,15,3.00,1/46,31,21.03,,1,,,,32 years 361 days
