1,1,27/04/2008,Deccan Chargers,Dr DY Patil Sports Academy,0,0,0.00,,0,,,0,,,,19 years 326 days
2,2,29/04/2008,Kolkata Knight Riders,Eden Gardens,4,4,2.00,,0,,,0,,,,19 years 328 days
3,3,01/05/2009,Kolkata Knight Riders,Buffalo Park,10,14,4.67,,0,,,0,,,,20 years 329 days
4,4,03/05/2009,Royal Challengers Bengaluru,Wanderers Stadium,0,14,3.50,,0,,,0,,,,20 years 331 days
5,5,08/05/2009,Delhi Capitals,Buffalo Park,12,26,5.20,,0,,,0,,,,20 years 336 days
6,6,10/05/2009,Royal Challengers Bengaluru,St George's Park,62*,88,17.60,,0,,,0,,,,20 years 338 days
7,7,12/05/2009,Punjab Kings,SuperSport Park,1,89,14.83,1/5,1,5.00,,0,,,,20 years 340 days
8,8,14/05/2009,Rajasthan Royals,Kingsmead,3,92,13.14,,1,5.00,1,1,,,,20 years 342 days
9,,16/05/2009,Chennai Super Kings,St George's Park,-,92,13.14,,1,5.00,,1,,,,20 years 344 days
10,9,21/05/2009,Delhi Capitals,SuperSport Park,56,148,18.50,,1,5.00,,1,,,,20 years 349 days
11,10,12/04/2011,Delhi Capitals,Sawai Mansingh Stadium,18,166,18.44,,1,5.00,,1,,,,22 years 310 days
12,11,17/04/2011,Kolkata Knight Riders,Eden Gardens,6,172,17.20,,1,5.00,,1,,,,22 years 315 days
13,,24/04/2011,Kochi Tuskers Kerala,Sawai Mansingh Stadium,-,172,17.20,,1,5.00,,1,,,,22 years 322 days
14,,29/04/2011,Mumbai Indians,Sawai Mansingh Stadium,-,172,17.20,,1,5.00,,1,,,,22 years 327 days
15,12,01/05/2011,Pune Warriors,Sawai Mansingh Stadium,15*,187,18.70,,1,5.00,1,2,,,,22 years 329 days
16,13,04/05/2011,Chennai Super Kings,MA Chidambaram Stadium,4,191,17.36,,1,5.00,,2,,,,22 years 332 days
17,14,09/05/2011,Chennai Super Kings,Sawai Mansingh Stadium,52,243,20.25,,1,5.00,,2,,,,22 years 337 days
18,15,11/05/2011,Royal Challengers Bengaluru,Sawai Mansingh Stadium,17,260,20.00,,1,5.00,,2,,,,22 years 339 days
19,16,15/05/2011,Kochi Tuskers Kerala,Holkar Cricket Stadium,8,268,19.14,,1,5.00,,2,,,,22 years 343 days
20,,20/05/2011,Mumbai Indians,Wankhede Stadium,-,268,19.14,,1,5.00,,2,,,,22 years 348 days
21,17,06/04/2012,Punjab Kings,Sawai Mansingh Stadium,98,366,24.40,,1,5.00,1,3,,,,23 years 305 days
22,18,08/04/2012,Kolkata Knight Riders,Sawai Mansingh Stadium,0,366,22.88,,1,5.00,,3,,,,23 years 307 days
23,19,11/04/2012,Mumbai Indians,Wankhede Stadium,40,406,23.88,,1,5.00,2,5,,,,23 years 310 days
24,20,13/04/2012,Kolkata Knight Riders,Eden Gardens,19,425,23.61,,1,5.00,1,6,,,,23 years 312 days
