1,,10/05/2012,Deccan Chargers,Rajiv Gandhi International Stadium,-,0,,0/39,0,,,0,,,,24 years 11 days
2,1,17/05/2012,Royal Challengers Bengaluru,Arun Jaitley Stadium,31,31,31.00,0/41,0,,,0,,,,24 years 18 days
3,,19/05/2012,Punjab Kings,Himachal Pradesh Cricket Association Stadium,-,31,31.00,1/51,1,131.00,,0,,,,24 years 20 days
4,2,25/05/2012,Chennai Super Kings,MA Chidambaram Stadium,16,47,23.50,0/30,1,161.00,,0,,,,24 years 26 days
5,3,03/04/2013,Kolkata Knight Riders,Eden Gardens,4,51,17.00,0/24,1,185.00,,0,,,,24 years 339 days
6,4,06/04/2013,Rajasthan Royals,Arun Jaitley Stadium,7,58,14.50,0/31,1,216.00,,0,,,,24 years 342 days
7,,21/04/2013,Mumbai Indians,Arun Jaitley Stadium,-,58,14.50,0/13,1,229.00,1,1,,,,24 years 357 days
8,5,02/05/2014,Chennai Super Kings,JSCA International Stadium Complex,1,59,11.80,1/25,2,127.00,,1,,,,26 years 3 days
9,6,05/05/2014,Rajasthan Royals,Narendra Modi Stadium,1,60,10.00,0/27,2,140.50,,1,,,,26 years 6 days
10,,08/04/2015,Mumbai Indians,Eden Gardens,-,60,10.00,0/21,2,151.00,,1,,,,26 years 344 days
11,7,11/04/2015,Royal Challengers Bengaluru,Eden Gardens,41*,101,16.83,0/16,2,159.00,,1,,,,26 years 347 days
12,8,18/04/2015,Punjab Kings,Maharashtra Cricket Association Stadium,66,167,23.86,2/39,4,89.25,2,3,,,,26 years 354 days
13,,20/04/2015,Delhi Capitals,Arun Jaitley Stadium,-,167,23.86,0/21,4,94.50,,3,,,,26 years 356 days
14,9,22/04/2015,Sunrisers Hyderabad,Dr YS Rajasekhara Reddy Cricket Stadium,19,186,23.25,1/6,5,76.80,,3,,,,26 years 358 days
15,10,28/04/2015,Chennai Super Kings,MA Chidambaram Stadium,4,190,21.11,2/26,7,58.57,,3,,,,26 years 364 days
16,11,30/04/2015,Chennai Super Kings,Eden Gardens,55*,245,27.22,2/20,9,47.78,,3,,,,27 years 1 days
17,12,02/05/2015,Royal Challengers Bengaluru,M Chinnaswamy Stadium,45,290,29.00,1/22,10,45.20,1,4,,,,27 years 3 days
18,13,04/05/2015,Sunrisers Hyderabad,Eden Gardens,1,291,26.45,1/10,11,42.00,,4,,,,27 years 5 days
19,14,07/05/2015,Delhi Capitals,Eden Gardens,5,296,24.67,1/24,12,40.50,1,5,,,,27 years 8 days
20,15,09/05/2015,Punjab Kings,Eden Gardens,51,347,26.69,1/50,13,41.23,1,6,,,,27 years 10 days
21,16,14/05/2015,Mumbai Indians,Wankhede Stadium,2,349,24.93,0/37,13,44.08,1,7,,,,27 years 15 days
22,17,16/05/2015,Rajasthan Royals,Brabourne Stadium,37,386,25.73,3/32,16,37.81,,7,,,,27 years 17 days
23,,10/04/2016,Delhi Capitals,Eden Gardens,-,386,25.73,3/24,19,33.11,,7,,,,27 years 347 days
24,18,13/04/2016,Mumbai Indians,Eden Gardens,36,422,26.38,1/52,20,34.05,,7,,,,27 years 350 days
25,19,16/04/2016,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,2,424,24.94,1/19,21,33.33,,7,,,,27 years 353 days
26,,19/04/2016,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,-,424,24.94,0/18,21,34.19,,7,,,,27 years 356 days
27,20,24/04/2016,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,17,441,24.50,0/16,21,34.95,,7,,,,27 years 361 days
28,21,28/04/2016,Mumbai Indians,Wankhede Stadium,22,463,24.37,0/28,21,36.29,,7,,,,27 years 365 days
29,22,30/04/2016,Delhi Capitals,Arun Jaitley Stadium,17,480,24.00,3/26,24,32.83,,7,,,,28 years 1 days
30,23,02/05/2016,Royal Challengers Bengaluru,M Chinnaswamy Stadium,39,519,24.71,1/24,25,32.48,2,9,,,,28 years 3 days
