1,,29/03/2024,Royal Challengers Bengaluru,M Chinnaswamy Stadium,-,0,,,0,,,0,,,,18 years 298 days
2,1,03/04/2024,Delhi Capitals,Dr YS Rajasekhara Reddy Cricket Stadium,54,54,54.00,,0,,,0,,,,18 years 303 days
3,2,08/04/2024,Chennai Super Kings,MA Chidambaram Stadium,24,78,39.00,,0,,,0,,,,18 years 308 days
4,3,14/04/2024,Lucknow Super Giants,Eden Gardens,7,85,28.33,,0,,1,1,,,,18 years 314 days
5,4,16/04/2024,Rajasthan Royals,Eden Gardens,30,115,28.75,,0,,1,2,,,,18 years 316 days
6,5,21/04/2024,Royal Challengers Bengaluru,Eden Gardens,3,118,23.60,,0,,2,4,,,,18 years 321 days
7,,26/04/2024,Punjab Kings,Eden Gardens,-,118,23.60,,0,,,4,,,,18 years 326 days
8,,29/04/2024,Delhi Capitals,Eden Gardens,-,118,23.60,,0,,,4,,,,18 years 329 days
9,6,03/05/2024,Mumbai Indians,Wankhede Stadium,13,131,21.83,,0,,,4,,,,18 years 333 days
10,7,05/05/2024,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,32,163,23.29,,0,,,4,,,,18 years 335 days
11,8,22/03/2025,Royal Challengers Bengaluru,Eden Gardens,30,193,24.13,,0,,,4,,,,19 years 290 days
12,9,26/03/2025,Rajasthan Royals,Barsapara Cricket Stadium,22*,215,26.88,,0,,1,5,,,,19 years 294 days
13,10,31/03/2025,Mumbai Indians,Wankhede Stadium,26,241,26.78,,0,,,5,,,,19 years 299 days
14,11,03/04/2025,Sunrisers Hyderabad,Eden Gardens,50,291,29.10,,0,,,5,,,,19 years 302 days
15,12,08/04/2025,Lucknow Super Giants,Eden Gardens,5,296,26.91,,0,,,5,,,,19 years 307 days
16,13,15/04/2025,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,37,333,27.75,,0,,,5,,,,19 years 314 days
17,14,21/04/2025,Gujarat Titans,Eden Gardens,27*,360,30.00,,0,,,5,,,,19 years 320 days
