1,1,04/04/2024,Gujarat Titans,Narendra Modi Stadium,31,31,31.00,,0,,,0,,,,25 years 202 days
2,2,09/04/2024,Sunrisers Hyderabad,Maharaja Yadavindra Singh International Cricket St,33*,64,64.00,,0,,,0,,,,25 years 207 days
3,3,13/04/2024,Rajasthan Royals,Maharaja Yadavindra Singh International Cricket St,31,95,47.50,,0,,,0,,,,25 years 211 days
4,4,18/04/2024,Mumbai Indians,Maharaja Yadavindra Singh International Cricket St,61,156,52.00,,0,,,0,,,,25 years 216 days
5,5,21/04/2024,Gujarat Titans,Maharaja Yadavindra Singh International Cricket St,3,159,39.75,,0,,1,1,,,,25 years 219 days
6,,26/04/2024,Kolkata Knight Riders,Eden Gardens,-,159,39.75,,0,,1,2,,,,25 years 224 days
7,,01/05/2024,Chennai Super Kings,MA Chidambaram Stadium,-,159,39.75,,0,,,2,,,,25 years 229 days
8,6,05/05/2024,Chennai Super Kings,Himachal Pradesh Cricket Association Stadium,3,162,32.40,,0,,,2,,,,25 years 233 days
9,7,09/05/2024,Royal Challengers Bengaluru,Himachal Pradesh Cricket Association Stadium,8,170,28.33,,0,,,2,,,,25 years 237 days
10,8,15/05/2024,Rajasthan Royals,Barsapara Cricket Stadium,17*,187,31.17,,0,,,2,,,,25 years 243 days
11,9,19/05/2024,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,2,189,27.00,,0,,,2,,,,25 years 247 days
12,10,24/03/2025,Lucknow Super Giants,Dr YS Rajasekhara Reddy Cricket Stadium,66*,255,36.43,,0,,,2,,,,26 years 190 days
13,11,05/04/2025,Chennai Super Kings,MA Chidambaram Stadium,1,256,32.00,,0,,,2,,,,26 years 202 days
14,,10/04/2025,Royal Challengers Bengaluru,M Chinnaswamy Stadium,-,256,32.00,,0,,2,4,,,,26 years 207 days
15,12,13/04/2025,Mumbai Indians,Arun Jaitley Stadium,17,273,30.33,,0,,,4,,,,26 years 210 days
16,13,16/04/2025,Rajasthan Royals,Arun Jaitley Stadium,15*,288,32.00,,0,,,4,,,,26 years 213 days
17,14,19/04/2025,Gujarat Titans,Narendra Modi Stadium,37,325,32.50,,0,,,4,,,,26 years 216 days
18,,22/04/2025,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,-,325,32.50,,0,,,4,,,,26 years 219 days
