1,,14/05/2017,Delhi Capitals,Arun Jaitley Stadium,-,0,,1/23,1,23.00,,0,,,,20 years 152 days
2,,23/04/2018,Punjab Kings,Arun Jaitley Stadium,-,0,,2/36,3,19.67,1,1,,,,21 years 131 days
3,,27/04/2018,Kolkata Knight Riders,Arun Jaitley Stadium,-,0,,2/29,5,17.60,1,2,,,,21 years 135 days
4,,30/04/2018,Chennai Super Kings,Maharashtra Cricket Association Stadium,-,0,,0/28,5,23.20,,2,,,,21 years 138 days
5,,02/05/2018,Rajasthan Royals,Arun Jaitley Stadium,-,0,,0/36,5,30.40,1,3,,,,21 years 140 days
6,,05/05/2018,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,-,0,,0/47,5,39.80,,3,,,,21 years 143 days
7,,18/05/2018,Chennai Super Kings,Arun Jaitley Stadium,-,0,,0/28,5,45.40,,3,,,,21 years 156 days
8,1,01/04/2019,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,4*,4,,0/30,5,51.40,1,4,,,,22 years 109 days
9,,25/09/2020,Chennai Super Kings,Dubai International Cricket Stadium,-,4,,0/42,5,59.80,,4,,,,23 years 287 days
10,,10/04/2021,Chennai Super Kings,Wankhede Stadium,-,4,,2/23,7,46.00,,4,,,,24 years 118 days
11,,15/04/2021,Rajasthan Royals,Wankhede Stadium,-,4,,3/32,10,35.40,,4,,,,24 years 123 days
12,,18/04/2021,Punjab Kings,Wankhede Stadium,-,4,,1/33,11,35.18,,4,,,,24 years 126 days
13,,20/04/2021,Mumbai Indians,MA Chidambaram Stadium,-,4,,2/15,13,30.92,,4,,,,24 years 128 days
14,,25/04/2021,Sunrisers Hyderabad,MA Chidambaram Stadium,-,4,,3/34,16,27.25,,4,,,,24 years 133 days
15,,27/04/2021,Royal Challengers Bengaluru,Narendra Modi Stadium,-,4,,1/24,17,27.06,,4,,,,24 years 135 days
16,,29/04/2021,Kolkata Knight Riders,Narendra Modi Stadium,-,4,,1/31,18,27.28,,4,,,,24 years 137 days
17,,02/05/2021,Punjab Kings,Narendra Modi Stadium,-,4,,1/39,19,27.89,,4,,,,24 years 140 days
18,,22/09/2021,Sunrisers Hyderabad,Dubai International Cricket Stadium,-,4,,0/27,19,29.32,,4,,,,24 years 283 days
19,,25/09/2021,Rajasthan Royals,Sheikh Zayed Stadium,-,4,,1/29,20,29.30,1,5,,,,24 years 286 days
20,2,28/09/2021,Kolkata Knight Riders,Sharjah Cricket Stadium,5,9,9.00,3/13,23,26.04,,5,,,,24 years 289 days
21,,02/10/2021,Mumbai Indians,Sharjah Cricket Stadium,-,9,9.00,3/15,26,23.62,,5,,,,24 years 293 days
22,,04/10/2021,Chennai Super Kings,Dubai International Cricket Stadium,-,9,9.00,1/35,27,24.04,,5,,,,24 years 295 days
23,,08/10/2021,Royal Challengers Bengaluru,Dubai International Cricket Stadium,-,9,9.00,0/31,27,25.19,,5,,,,24 years 299 days
24,,10/10/2021,Chennai Super Kings,Dubai International Cricket Stadium,-,9,9.00,1/47,28,25.96,,5,,,,24 years 301 days
25,,13/10/2021,Kolkata Knight Riders,Sharjah Cricket Stadium,-,9,9.00,1/22,29,25.83,,5,,,,24 years 304 days
26,,28/03/2022,Gujarat Titans,Wankhede Stadium,-,9,9.00,1/33,30,26.07,,5,,,,25 years 105 days
27,,31/03/2022,Chennai Super Kings,Brabourne Stadium,-,9,9.00,2/38,32,25.63,,5,,,,25 years 108 days
