1,1,18/04/2014,Chennai Super Kings,Sheikh Zayed Stadium,2,2,2.00,1/34,1,34.00,,0,,,,20 years 88 days
2,,20/04/2014,Rajasthan Royals,Sharjah Cricket Stadium,-,2,2.00,1/22,2,28.00,,0,,,,20 years 90 days
3,2,22/04/2014,Sunrisers Hyderabad,Sharjah Cricket Stadium,0*,2,2.00,2/20,4,19.00,1,1,,,,20 years 92 days
4,3,26/04/2014,Kolkata Knight Riders,Sheikh Zayed Stadium,7,9,4.50,2/16,6,15.33,1,2,,,,20 years 96 days
5,,28/04/2014,Royal Challengers Bengaluru,Dubai International Cricket Stadium,-,9,4.50,0/11,6,17.17,,2,,,,20 years 98 days
6,,03/05/2014,Mumbai Indians,Wankhede Stadium,-,9,4.50,0/40,6,23.83,,2,,,,20 years 103 days
7,,07/05/2014,Chennai Super Kings,Barabati Stadium,-,9,4.50,0/28,6,28.50,,2,,,,20 years 107 days
8,4,09/05/2014,Royal Challengers Bengaluru,M Chinnaswamy Stadium,2,11,3.67,1/22,7,27.57,1,3,,,,20 years 109 days
9,5,11/05/2014,Kolkata Knight Riders,Barabati Stadium,1,12,3.00,0/20,7,30.43,1,4,,,,20 years 111 days
10,,14/05/2014,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,-,12,3.00,0/40,7,36.14,,4,,,,20 years 114 days
11,6,19/05/2014,Delhi Capitals,Arun Jaitley Stadium,42*,54,13.50,1/18,8,33.88,,4,,,,20 years 119 days
12,7,21/05/2014,Mumbai Indians,Punjab Cricket Association IS Bindra Stadium,6,60,12.00,1/27,9,33.11,,4,,,,20 years 121 days
13,,23/05/2014,Rajasthan Royals,Punjab Cricket Association IS Bindra Stadium,-,60,12.00,3/24,12,26.83,,4,,,,20 years 123 days
14,,25/05/2014,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,-,60,12.00,2/28,14,25.00,2,6,,,,20 years 125 days
15,8,28/05/2014,Kolkata Knight Riders,Eden Gardens,2,62,10.33,2/11,16,22.56,,6,,,,20 years 128 days
16,,30/05/2014,Chennai Super Kings,Wankhede Stadium,-,62,10.33,1/23,17,22.59,,6,,,,20 years 130 days
17,,01/06/2014,Kolkata Knight Riders,M Chinnaswamy Stadium,-,62,10.33,0/21,17,23.82,1,7,,,,20 years 132 days
18,9,10/04/2015,Rajasthan Royals,Maharashtra Cricket Association Stadium,24,86,12.29,1/34,18,24.39,1,8,,,,21 years 80 days
19,,12/04/2015,Mumbai Indians,Wankhede Stadium,-,86,12.29,2/30,20,23.45,,8,,,,21 years 82 days
20,10,15/04/2015,Delhi Capitals,Maharashtra Cricket Association Stadium,13,99,12.38,1/28,21,23.67,,8,,,,21 years 85 days
21,11,18/04/2015,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,2,101,11.22,0/22,21,24.71,,8,,,,21 years 88 days
22,12,21/04/2015,Rajasthan Royals,Narendra Modi Stadium,12*,113,12.56,2/30,23,23.87,1,9,,,,21 years 91 days
23,13,25/04/2015,Chennai Super Kings,MA Chidambaram Stadium,9,122,12.20,1/35,24,24.33,,9,,,,21 years 95 days
24,14,27/04/2015,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,17,139,12.64,2/25,26,23.42,,9,,,,21 years 97 days
25,15,01/05/2015,Delhi Capitals,Arun Jaitley Stadium,22,161,13.42,0/23,26,24.31,1,10,,,,21 years 101 days
26,16,03/05/2015,Mumbai Indians,Punjab Cricket Association IS Bindra Stadium,0,161,12.38,0/24,26,25.23,1,11,,,,21 years 103 days
27,17,06/05/2015,Royal Challengers Bengaluru,M Chinnaswamy Stadium,40*,201,15.46,1/50,27,26.15,1,12,,,,21 years 106 days
