1,,12/04/2021,Punjab Kings,Wankhede Stadium,-,0,,3/31,3,10.33,1,1,,,,23 years 43 days
2,,15/04/2021,Delhi Capitals,Wankhede Stadium,-,0,,0/33,3,21.33,,1,,,,23 years 46 days
3,1,19/04/2021,Chennai Super Kings,Wankhede Stadium,0*,0,,3/36,6,16.67,,1,,,,23 years 50 days
4,2,22/04/2021,Royal Challengers Bengaluru,Wankhede Stadium,0,0,0.00,0/35,6,22.50,,1,,,,23 years 53 days
5,,24/04/2021,Kolkata Knight Riders,Wankhede Stadium,-,0,0.00,1/31,7,23.71,1,2,,,,23 years 55 days
6,,29/04/2021,Mumbai Indians,Arun Jaitley Stadium,-,0,0.00,0/18,7,26.29,1,3,,,,23 years 60 days
7,,02/05/2021,Sunrisers Hyderabad,Arun Jaitley Stadium,-,0,0.00,0/38,7,31.71,,3,,,,23 years 63 days
8,3,21/09/2021,Punjab Kings,Dubai International Cricket Stadium,7,7,3.50,1/31,8,31.63,,3,,,,23 years 205 days
9,,25/09/2021,Delhi Capitals,Sheikh Zayed Stadium,-,7,3.50,2/33,10,28.60,1,4,,,,23 years 209 days
10,,27/09/2021,Sunrisers Hyderabad,Dubai International Cricket Stadium,-,7,3.50,1/32,11,28.91,,4,,,,23 years 211 days
11,4,29/09/2021,Royal Challengers Bengaluru,Dubai International Cricket Stadium,2,9,3.00,0/18,11,30.55,,4,,,,23 years 213 days
12,,02/10/2021,Chennai Super Kings,Sheikh Zayed Stadium,-,9,3.00,1/31,12,30.58,,4,,,,23 years 216 days
13,5,05/10/2021,Mumbai Indians,Sharjah Cricket Stadium,6,15,3.75,1/36,13,31.00,,4,,,,23 years 219 days
14,6,07/10/2021,Kolkata Knight Riders,Sharjah Cricket Stadium,1,16,3.20,1/23,14,30.43,,4,,,,23 years 221 days
15,,28/04/2022,Kolkata Knight Riders,Wankhede Stadium,-,16,3.20,1/17,15,29.53,2,6,,,,24 years 59 days
16,,01/05/2022,Lucknow Super Giants,Wankhede Stadium,-,16,3.20,0/44,15,32.47,,6,,,,24 years 62 days
17,,11/05/2022,Rajasthan Royals,Dr DY Patil Sports Academy,-,16,3.20,2/23,17,30.00,,6,,,,24 years 72 days
18,7,01/04/2023,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,4,20,3.33,2/53,19,29.63,,6,,,,25 years 32 days
19,8,20/05/2023,Chennai Super Kings,Arun Jaitley Stadium,0*,20,3.33,1/36,20,29.95,,6,,,,25 years 81 days
