1,1,20/04/2012,Royal Challengers Bengaluru,Punjab Cricket Association IS Bindra Stadium,8,8,8.00,,0,,,0,,,,22 years 315 days
2,2,22/04/2012,Mumbai Indians,Wankhede Stadium,5*,13,13.00,,0,,1,1,,,,22 years 317 days
3,3,25/04/2012,Mumbai Indians,Punjab Cricket Association IS Bindra Stadium,34*,47,47.00,,0,,,1,,,,22 years 320 days
4,4,28/04/2012,Chennai Super Kings,MA Chidambaram Stadium,19,66,33.00,,0,,,1,,,,22 years 323 days
5,5,08/05/2012,Deccan Chargers,Rajiv Gandhi International Stadium,28*,94,47.00,,0,,,1,,,,22 years 333 days
6,6,15/05/2012,Delhi Capitals,Arun Jaitley Stadium,4,98,32.67,,0,,,1,,,,22 years 340 days
7,7,16/04/2013,Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium,20,118,29.50,,0,,1,2,,,,23 years 310 days
8,8,21/04/2013,Pune Warriors,Punjab Cricket Association IS Bindra Stadium,80*,198,49.50,,0,,,2,,,,23 years 315 days
9,9,23/04/2013,Delhi Capitals,Arun Jaitley Stadium,34*,232,58.00,,0,,1,3,,,,23 years 317 days
10,10,26/04/2013,Kolkata Knight Riders,Eden Gardens,10,242,48.40,,0,,,3,,,,23 years 320 days
11,11,29/04/2013,Mumbai Indians,Wankhede Stadium,56,298,49.67,,0,,1,4,,,,23 years 323 days
12,12,02/05/2013,Chennai Super Kings,MA Chidambaram Stadium,51*,349,58.17,,0,,1,5,,,,23 years 326 days
13,13,06/05/2013,Royal Challengers Bengaluru,Punjab Cricket Association IS Bindra Stadium,101*,450,75.00,,0,,,5,,,,23 years 330 days
14,14,09/05/2013,Rajasthan Royals,Punjab Cricket Association IS Bindra Stadium,8,458,65.43,,0,,,5,,,,23 years 333 days
15,15,11/05/2013,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,6,464,58.00,,0,,1,6,,,,23 years 335 days
16,16,14/05/2013,Royal Challengers Bengaluru,M Chinnaswamy Stadium,2,466,51.78,,0,,1,7,,,,23 years 338 days
17,17,16/05/2013,Delhi Capitals,Himachal Pradesh Cricket Association Stadium,44*,510,56.67,,0,,1,8,,,,23 years 340 days
18,18,18/05/2013,Mumbai Indians,Himachal Pradesh Cricket Association Stadium,6,516,51.60,,0,,1,9,,,,23 years 342 days
19,19,18/04/2014,Chennai Super Kings,Sheikh Zayed Stadium,54*,570,57.00,,0,,,9,,,,24 years 312 days
20,20,20/04/2014,Rajasthan Royals,Sharjah Cricket Stadium,51*,621,62.10,,0,,1,10,,,,24 years 314 days
21,21,22/04/2014,Sunrisers Hyderabad,Sharjah Cricket Stadium,10,631,57.36,,0,,2,12,,,,24 years 316 days
22,22,26/04/2014,Kolkata Knight Riders,Sheikh Zayed Stadium,14,645,53.75,,0,,,12,,,,24 years 320 days
23,23,28/04/2014,Royal Challengers Bengaluru,Dubai International Cricket Stadium,26,671,51.62,,0,,1,13,,,,24 years 322 days
24,24,03/05/2014,Mumbai Indians,Wankhede Stadium,16,687,49.07,,0,,1,14,,,,24 years 327 days
25,25,07/05/2014,Chennai Super Kings,Barabati Stadium,47,734,48.93,,0,,1,15,,,,24 years 331 days
26,26,09/05/2014,Royal Challengers Bengaluru,M Chinnaswamy Stadium,66,800,50.00,,0,,1,16,,,,24 years 333 days
27,27,11/05/2014,Kolkata Knight Riders,Barabati Stadium,13,813,47.82,,0,,,16,,,,24 years 335 days
28,28,14/05/2014,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,24*,837,49.24,,0,,2,18,,,,24 years 338 days
29,29,19/05/2014,Delhi Capitals,Arun Jaitley Stadium,2,839,46.61,,0,,,18,,,,24 years 343 days
30,30,23/05/2014,Rajasthan Royals,Punjab Cricket Association IS Bindra Stadium,29*,868,48.22,,0,,,18,,,,24 years 347 days
31,31,25/05/2014,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,47*,915,50.83,,0,,,18,,,,24 years 349 days
32,32,28/05/2014,Kolkata Knight Riders,Eden Gardens,8,923,48.58,,0,,3,21,,,,24 years 352 days
33,33,30/05/2014,Chennai Super Kings,Wankhede Stadium,38,961,48.05,,0,,,21,,,,24 years 354 days
34,34,01/06/2014,Kolkata Knight Riders,M Chinnaswamy Stadium,1*,962,48.10,,0,,2,23,,,,24 years 356 days
35,35,10/04/2015,Rajasthan Royals,Maharashtra Cricket Association Stadium,23,985,46.90,,0,,1,24,,,,25 years 304 days
36,36,12/04/2015,Mumbai Indians,Wankhede Stadium,24,1009,45.86,,0,,1,25,,,,25 years 306 days
37,37,15/04/2015,Delhi Capitals,Maharashtra Cricket Association Stadium,5,1014,44.09,,0,,,25,,,,25 years 309 days
38,38,21/04/2015,Rajasthan Royals,Narendra Modi Stadium,54,1068,44.50,,0,,,25,,,,25 years 315 days
39,39,25/04/2015,Chennai Super Kings,MA Chidambaram Stadium,3,1071,42.84,,0,,1,26,,,,25 years 319 days
40,40,27/04/2015,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,15,1086,41.77,,0,,2,28,,,,25 years 321 days
41,41,01/05/2015,Delhi Capitals,Arun Jaitley Stadium,42,1128,41.78,,0,,,28,,,,25 years 325 days
42,42,03/05/2015,Mumbai Indians,Punjab Cricket Association IS Bindra Stadium,43,1171,41.82,,0,,,28,,,,25 years 327 days
43,43,06/05/2015,Royal Challengers Bengaluru,M Chinnaswamy Stadium,7,1178,40.62,,0,,,28,,,,25 years 330 days
44,44,09/05/2015,Kolkata Knight Riders,Eden Gardens,27*,1205,41.55,,0,,,28,,,,25 years 333 days
45,45,11/05/2015,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,89*,1294,44.62,,0,,,28,,,,25 years 335 days
46,46,13/05/2015,Royal Challengers Bengaluru,Punjab Cricket Association IS Bindra Stadium,14,1308,43.60,,0,,2,30,,,,25 years 337 days
47,47,16/05/2015,Chennai Super Kings,Punjab Cricket Association IS Bindra Stadium,11,1319,42.55,,0,,,30,,,,25 years 340 days
48,48,11/04/2016,Gujarat Lions,Punjab Cricket Association IS Bindra Stadium,15,1334,41.69,,0,,,30,,,,26 years 306 days
49,49,15/04/2016,Delhi Capitals,Arun Jaitley Stadium,9,1343,40.70,,0,,,30,,,,26 years 310 days
50,50,17/04/2016,Rising Pune Supergiant,Punjab Cricket Association IS Bindra Stadium,7,1350,39.71,,0,,1,31,,,,26 years 312 days
51,51,19/04/2016,Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium,6,1356,38.74,,0,,,31,,,,26 years 314 days
52,52,23/04/2016,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,9,1365,37.92,,0,,1,32,,,,26 years 318 days
53,53,25/04/2016,Mumbai Indians,Punjab Cricket Association IS Bindra Stadium,30*,1395,38.75,,0,,1,33,,,,26 years 320 days
54,54,01/05/2016,Gujarat Lions,Saurashtra Cricket Association Stadium,31,1426,38.54,,0,,1,34,,,,26 years 326 days
