1,1,24/03/2025,Delhi Capitals,Dr YS Rajasekhara Reddy Cricket Stadium,0*,0,,2/31,2,15.50,,0,,,,25 years 99 days
2,,27/03/2025,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,-,0,,1/40,3,23.67,1,1,,,,25 years 102 days
3,,01/04/2025,Punjab Kings,BRSABV Ekana Cricket Stadium,-,0,,2/30,5,20.20,,1,,,,25 years 107 days
4,,04/04/2025,Mumbai Indians,BRSABV Ekana Cricket Stadium,-,0,,1/21,6,20.33,,1,,,,25 years 110 days
5,,08/04/2025,Kolkata Knight Riders,Eden Gardens,-,0,,1/33,7,22.14,,1,,,,25 years 114 days
6,,12/04/2025,Gujarat Titans,BRSABV Ekana Cricket Stadium,-,0,,1/30,8,23.13,,1,,,,25 years 118 days
7,,14/04/2025,Chennai Super Kings,BRSABV Ekana Cricket Stadium,-,0,,1/23,9,23.11,,1,,,,25 years 120 days
8,,19/04/2025,Rajasthan Royals,Sawai Mansingh Stadium,-,0,,0/30,9,26.44,,1,,,,25 years 125 days
9,,22/04/2025,Delhi Capitals,BRSABV Ekana Cricket Stadium,-,0,,0/24,9,29.11,,1,,,,25 years 128 days
10,2,27/04/2025,Mumbai Indians,Wankhede Stadium,1,1,1.00,1/48,10,31.00,,1,,,,25 years 133 days
11,,04/05/2025,Punjab Kings,Himachal Pradesh Cricket Association Stadium,-,1,1.00,2/46,12,29.67,,1,,,,25 years 140 days
12,,19/05/2025,Sunrisers Hyderabad,BRSABV Ekana Cricket Stadium,-,1,1.00,2/37,14,28.07,1,2,,,,25 years 155 days
13,,27/05/2025,Royal Challengers Bengaluru,BRSABV Ekana Cricket Stadium,-,1,1.00,0/36,14,30.64,1,3,,,,25 years 163 days
