1,1,05/04/2012,Kolkata Knight Riders,Eden Gardens,3*,3,,0/12,0,,,0,,,,23 years 174 days
2,2,07/04/2012,Royal Challengers Bengaluru,M Chinnaswamy Stadium,3,6,6.00,1/10,1,22.00,,0,,,,23 years 176 days
3,3,11/05/2013,Pune Warriors,Maharashtra Cricket Association Stadium,13*,19,19.00,0/5,1,27.00,,0,,,,24 years 209 days
4,4,15/05/2013,Rajasthan Royals,Wankhede Stadium,23,42,21.00,,1,27.00,1,1,,,,24 years 213 days
5,5,18/05/2013,Punjab Kings,Himachal Pradesh Cricket Association Stadium,0,42,14.00,0/18,1,45.00,,1,,,,24 years 216 days
6,6,18/04/2014,Chennai Super Kings,Sheikh Zayed Stadium,95,137,34.25,0/23,1,68.00,1,2,,,,25 years 186 days
7,7,20/04/2014,Rajasthan Royals,Sharjah Cricket Stadium,89,226,45.20,,1,68.00,,2,,,,25 years 188 days
8,8,22/04/2014,Sunrisers Hyderabad,Sharjah Cricket Stadium,95,321,53.50,0/10,1,78.00,1,3,,,,25 years 190 days
9,9,26/04/2014,Kolkata Knight Riders,Sheikh Zayed Stadium,15,336,48.00,,1,78.00,1,4,,,,25 years 194 days
10,10,28/04/2014,Royal Challengers Bengaluru,Dubai International Cricket Stadium,6,342,42.75,0/39,1,117.00,1,5,,,,25 years 196 days
11,11,03/05/2014,Mumbai Indians,Wankhede Stadium,45,387,43.00,,1,117.00,,5,,,,25 years 201 days
12,12,07/05/2014,Chennai Super Kings,Barabati Stadium,90,477,47.70,1/21,2,69.00,,5,,,,25 years 205 days
13,13,09/05/2014,Royal Challengers Bengaluru,M Chinnaswamy Stadium,25,502,45.64,0/24,2,81.00,,5,,,,25 years 207 days
14,14,11/05/2014,Kolkata Knight Riders,Barabati Stadium,14,516,43.00,0/11,2,86.50,,5,,,,25 years 209 days
15,15,14/05/2014,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,43,559,43.00,,2,86.50,,5,,,,25 years 212 days
16,16,19/05/2014,Delhi Capitals,Arun Jaitley Stadium,14,573,40.93,,2,86.50,3,8,,,,25 years 217 days
17,17,21/05/2014,Mumbai Indians,Punjab Cricket Association IS Bindra Stadium,2,575,38.33,,2,86.50,,8,,,,25 years 219 days
18,18,25/05/2014,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,0,575,35.94,,2,86.50,1,9,,,,25 years 223 days
19,19,28/05/2014,Kolkata Knight Riders,Eden Gardens,6,581,34.18,,2,86.50,,9,,,,25 years 226 days
20,20,30/05/2014,Chennai Super Kings,Wankhede Stadium,13,594,33.00,0/4,2,88.50,,9,,,,25 years 228 days
21,21,01/06/2014,Kolkata Knight Riders,M Chinnaswamy Stadium,0,594,31.26,,2,88.50,1,10,,,,25 years 230 days
22,22,10/04/2015,Rajasthan Royals,Maharashtra Cricket Association Stadium,7,601,30.05,,2,88.50,,10,,,,26 years 178 days
