1,1,19/04/2015,Royal Challengers Bengaluru,M Chinnaswamy Stadium,16*,16,,0/37,0,,,0,,,,21 years 190 days
2,2,23/04/2015,Delhi Capitals,Arun Jaitley Stadium,0,16,16.00,0/14,0,,,0,,,,21 years 194 days
3,3,05/05/2015,Delhi Capitals,Wankhede Stadium,5,21,10.50,1/13,1,64.00,,0,,,,21 years 206 days
4,4,08/05/2015,Chennai Super Kings,MA Chidambaram Stadium,21*,42,21.00,0/4,1,68.00,3,3,,,,21 years 209 days
5,5,10/05/2015,Royal Challengers Bengaluru,Wankhede Stadium,8,50,16.67,0/51,1,119.00,,3,,,,21 years 211 days
6,6,14/05/2015,Kolkata Knight Riders,Wankhede Stadium,61*,111,37.00,0/10,1,129.00,1,4,,,,21 years 215 days
7,,17/05/2015,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,-,111,37.00,0/11,1,140.00,1,5,,,,21 years 218 days
8,7,19/05/2015,Chennai Super Kings,Wankhede Stadium,1,112,28.00,,1,140.00,,5,,,,21 years 220 days
9,8,24/05/2015,Chennai Super Kings,Eden Gardens,0,112,22.40,0/36,1,176.00,1,6,,,,21 years 225 days
10,9,09/04/2016,Rising Pune Supergiant,Wankhede Stadium,9,121,20.17,0/12,1,188.00,,6,,,,22 years 181 days
11,10,13/04/2016,Kolkata Knight Riders,Eden Gardens,9,130,18.57,1/22,2,105.00,,6,,,,22 years 185 days
12,11,16/04/2016,Gujarat Lions,Wankhede Stadium,2,132,16.50,0/16,2,113.00,2,8,,,,22 years 188 days
13,12,18/04/2016,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,2,134,14.89,0/29,2,127.50,1,9,,,,22 years 190 days
14,13,20/04/2016,Royal Challengers Bengaluru,Barabati Stadium,2*,136,15.11,0/18,2,136.50,1,10,,,,22 years 192 days
15,14,23/04/2016,Delhi Capitals,Arun Jaitley Stadium,2*,138,15.33,1/7,3,93.33,1,11,,,,22 years 195 days
16,15,25/04/2016,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,4,142,14.20,,3,93.33,,11,,,,22 years 197 days
17,,28/04/2016,Kolkata Knight Riders,Wankhede Stadium,-,142,14.20,1/15,4,73.75,,11,,,,22 years 200 days
18,,01/05/2016,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,-,142,14.20,0/14,4,77.25,1,12,,,,22 years 203 days
19,16,08/05/2016,Sunrisers Hyderabad,Dr YS Rajasekhara Reddy Cricket Stadium,7,149,13.55,0/10,4,79.75,,12,,,,22 years 210 days
20,17,21/05/2016,Gujarat Lions,Green Park,7,156,13.00,0/10,4,82.25,,12,,,,22 years 223 days
21,18,06/04/2017,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,35*,191,15.92,1/36,5,73.00,,12,,,,23 years 177 days
22,19,09/04/2017,Kolkata Knight Riders,Wankhede Stadium,29*,220,18.33,,5,73.00,2,14,,,,23 years 180 days
23,20,12/04/2017,Sunrisers Hyderabad,Wankhede Stadium,2*,222,18.50,1/22,6,64.50,,14,,,,23 years 183 days
24,21,14/04/2017,Royal Challengers Bengaluru,M Chinnaswamy Stadium,9*,231,19.25,1/9,7,56.57,,14,,,,23 years 185 days
25,22,16/04/2017,Gujarat Lions,Wankhede Stadium,6*,237,19.75,0/15,7,58.71,,14,,,,23 years 187 days
26,23,20/04/2017,Punjab Kings,Holkar Cricket Stadium,15*,252,21.00,0/18,7,61.29,,14,,,,23 years 191 days
27,24,22/04/2017,Delhi Capitals,Wankhede Stadium,24,276,21.23,1/23,8,56.50,,14,,,,23 years 193 days
28,25,24/04/2017,Rising Pune Supergiant,Wankhede Stadium,13,289,20.64,,8,56.50,,14,,,,23 years 195 days
29,26,29/04/2017,Gujarat Lions,Saurashtra Cricket Association Stadium,4,293,19.53,,8,56.50,1,15,,,,23 years 200 days
30,27,01/05/2017,Royal Challengers Bengaluru,Wankhede Stadium,14*,307,20.47,0/5,8,57.13,2,17,,,,23 years 202 days
31,28,06/05/2017,Delhi Capitals,Barabati Stadium,29*,336,22.40,0/2,8,57.38,,17,,,,23 years 207 days
32,29,08/05/2017,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,15,351,21.94,0/13,8,59.00,1,18,,,,23 years 209 days
33,30,11/05/2017,Punjab Kings,Wankhede Stadium,30,381,22.41,0/29,8,62.63,1,19,,,,23 years 212 days
34,31,13/05/2017,Kolkata Knight Riders,Eden Gardens,1*,382,22.47,2/22,10,52.30,2,21,,,,23 years 214 days
35,32,16/05/2017,Rising Pune Supergiant,Wankhede Stadium,14,396,22.00,0/15,10,53.80,1,22,,,,23 years 217 days
36,,19/05/2017,Kolkata Knight Riders,M Chinnaswamy Stadium,-,396,22.00,0/4,10,54.20,2,24,,,,23 years 220 days
37,33,21/05/2017,Rising Pune Supergiant,Rajiv Gandhi International Stadium,10,406,21.37,,10,54.20,,24,,,,23 years 222 days
38,34,07/04/2018,Chennai Super Kings,Wankhede Stadium,22*,428,22.53,3/24,13,43.54,,24,,,,24 years 178 days
39,35,14/04/2018,Delhi Capitals,Wankhede Stadium,2,430,21.50,0/32,13,46.00,1,25,,,,24 years 185 days
40,36,17/04/2018,Royal Challengers Bengaluru,Wankhede Stadium,17*,447,22.35,0/4,13,46.31,1,26,,,,24 years 188 days
41,37,22/04/2018,Rajasthan Royals,Sawai Mansingh Stadium,4,451,21.48,2/25,15,41.80,2,28,,,,24 years 193 days
42,38,24/04/2018,Sunrisers Hyderabad,Wankhede Stadium,3,454,20.64,2/20,17,38.06,1,29,,,,24 years 195 days
