1,1,28/04/2022,Delhi Capitals,Wankhede Stadium,0*,0,,1/24,1,24.00,,0,,,,20 years 127 days
2,2,07/05/2022,Lucknow Super Giants,Maharashtra Cricket Association Stadium,2,2,2.00,0/27,1,51.00,,0,,,,20 years 136 days
3,,29/04/2023,Gujarat Titans,Eden Gardens,-,2,2.00,1/25,2,38.00,1,1,,,,21 years 128 days
4,3,04/05/2023,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,0,2,1.00,1/27,3,34.33,,1,,,,21 years 133 days
5,,08/05/2023,Punjab Kings,Eden Gardens,-,2,1.00,2/33,5,27.20,,1,,,,21 years 137 days
6,,11/05/2023,Rajasthan Royals,Eden Gardens,-,2,1.00,0/22,5,31.60,,1,,,,21 years 140 days
7,,14/05/2023,Chennai Super Kings,MA Chidambaram Stadium,-,2,1.00,0/19,5,35.40,,1,,,,21 years 143 days
8,,20/05/2023,Lucknow Super Giants,Eden Gardens,-,2,1.00,1/21,6,33.00,1,2,,,,21 years 149 days
9,,23/03/2024,Sunrisers Hyderabad,Eden Gardens,-,2,1.00,3/33,9,25.67,1,3,,,,22 years 92 days
10,,29/03/2024,Royal Challengers Bengaluru,M Chinnaswamy Stadium,-,2,1.00,2/39,11,24.55,,3,,,,22 years 98 days
11,,03/04/2024,Delhi Capitals,Dr YS Rajasekhara Reddy Cricket Stadium,-,2,1.00,,11,24.55,,3,,,,22 years 103 days
12,,14/04/2024,Lucknow Super Giants,Eden Gardens,-,2,1.00,0/35,11,27.73,,3,,,,22 years 114 days
13,,16/04/2024,Rajasthan Royals,Eden Gardens,-,2,1.00,2/45,13,26.92,,3,,,,22 years 116 days
14,,21/04/2024,Royal Challengers Bengaluru,Eden Gardens,-,2,1.00,2/33,15,25.53,2,5,,,,22 years 121 days
15,,26/04/2024,Punjab Kings,Eden Gardens,-,2,1.00,0/61,15,29.60,,5,,,,22 years 126 days
16,,29/04/2024,Delhi Capitals,Eden Gardens,-,2,1.00,2/28,17,27.76,,5,,,,22 years 129 days
17,,05/05/2024,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,-,2,1.00,3/24,20,24.80,1,6,,,,22 years 135 days
18,,11/05/2024,Mumbai Indians,Eden Gardens,-,2,1.00,2/34,22,24.09,,6,,,,22 years 141 days
19,,19/05/2024,Rajasthan Royals,Barsapara Cricket Stadium,-,2,1.00,,22,24.09,,6,,,,22 years 149 days
20,,21/05/2024,Sunrisers Hyderabad,Narendra Modi Stadium,-,2,1.00,1/27,23,24.22,,6,,,,22 years 151 days
21,,26/05/2024,Sunrisers Hyderabad,MA Chidambaram Stadium,-,2,1.00,2/24,25,23.24,,6,,,,22 years 156 days
22,4,22/03/2025,Royal Challengers Bengaluru,Eden Gardens,5,7,2.33,0/32,25,24.52,,6,,,,23 years 90 days
23,,26/03/2025,Rajasthan Royals,Barsapara Cricket Stadium,-,7,2.33,2/36,27,24.04,1,7,,,,23 years 94 days
24,5,31/03/2025,Mumbai Indians,Wankhede Stadium,4,11,2.75,0/28,27,25.07,1,8,,,,23 years 99 days
25,,03/04/2025,Sunrisers Hyderabad,Eden Gardens,-,11,2.75,1/15,28,24.71,2,10,,,,23 years 102 days
26,6,08/04/2025,Lucknow Super Giants,Eden Gardens,10*,21,5.25,2/51,30,24.77,,10,,,,23 years 107 days
27,,11/04/2025,Chennai Super Kings,MA Chidambaram Stadium,-,21,5.25,2/16,32,23.72,,10,,,,23 years 110 days
28,7,15/04/2025,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,3,24,4.80,3/25,35,22.40,,10,,,,23 years 114 days
29,8,21/04/2025,Gujarat Titans,Eden Gardens,1*,25,5.00,1/45,36,23.03,,10,,,,23 years 120 days
