1,1,11/04/2016,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,11,11,11.00,,0,,,0,,,,17 years 268 days
2,2,27/04/2016,Delhi Capitals,Arun Jaitley Stadium,2,13,6.50,,0,,,0,,,,17 years 284 days
3,3,29/04/2016,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,0,13,4.33,,0,,,0,,,,17 years 286 days
4,4,01/05/2016,Punjab Kings,Saurashtra Cricket Association Stadium,27,40,10.00,,0,,1,1,,,,17 years 288 days
5,5,03/05/2016,Delhi Capitals,Saurashtra Cricket Association Stadium,2,42,8.40,,0,,,1,,,,17 years 290 days
6,,14/04/2017,Rising Pune Supergiant,Saurashtra Cricket Association Stadium,-,42,8.40,,0,,1,2,,,,18 years 270 days
7,6,16/04/2017,Mumbai Indians,Wankhede Stadium,11,53,8.83,,0,,,2,,,,18 years 272 days
8,7,18/04/2017,Royal Challengers Bengaluru,Saurashtra Cricket Association Stadium,39,92,13.14,,0,,,2,,,,18 years 274 days
9,8,21/04/2017,Kolkata Knight Riders,Eden Gardens,4,96,12.00,,0,,,2,,,,18 years 277 days
10,9,27/04/2017,Royal Challengers Bengaluru,M Chinnaswamy Stadium,16,112,12.44,,0,,1,3,,,,18 years 283 days
11,10,29/04/2017,Mumbai Indians,Saurashtra Cricket Association Stadium,48,160,16.00,,0,,1,4,,,,18 years 285 days
12,11,01/05/2017,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,31,191,17.36,,0,,,4,,,,18 years 287 days
13,12,04/05/2017,Delhi Capitals,Arun Jaitley Stadium,4,195,16.25,,0,,,4,,,,18 years 290 days
14,13,07/05/2017,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,29,224,17.23,,0,,,4,,,,18 years 293 days
15,14,10/05/2017,Delhi Capitals,Green Park,34,258,18.43,,0,,,4,,,,18 years 296 days
16,15,13/05/2017,Sunrisers Hyderabad,Green Park,61,319,21.27,,0,,,4,,,,18 years 299 days
17,16,07/04/2018,Chennai Super Kings,Wankhede Stadium,40,359,22.44,,0,,,4,,1,1,19 years 263 days
18,17,12/04/2018,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,9,368,21.65,,0,,,4,2,,3,19 years 268 days
19,18,14/04/2018,Delhi Capitals,Wankhede Stadium,44,412,22.89,,0,,,4,,,3,19 years 270 days
20,19,17/04/2018,Royal Challengers Bengaluru,Wankhede Stadium,0,412,21.68,,0,,,4,,1,4,19 years 273 days
21,20,22/04/2018,Rajasthan Royals,Sawai Mansingh Stadium,58,470,23.50,,0,,,4,1,,5,19 years 278 days
22,21,24/04/2018,Sunrisers Hyderabad,Wankhede Stadium,0,470,22.38,,0,,,4,3,,8,19 years 280 days
23,,28/04/2018,Chennai Super Kings,Maharashtra Cricket Association Stadium,-,470,22.38,,0,,,4,,,8,19 years 284 days
24,22,01/05/2018,Royal Challengers Bengaluru,M Chinnaswamy Stadium,0,470,21.36,,0,,,4,,,8,19 years 287 days
25,23,04/05/2018,Punjab Kings,Holkar Cricket Stadium,25,495,21.52,,0,,,4,,,8,19 years 290 days
26,,06/05/2018,Kolkata Knight Riders,Wankhede Stadium,-,495,21.52,,0,,,4,,,8,19 years 292 days
27,24,09/05/2018,Kolkata Knight Riders,Eden Gardens,62,557,23.21,,0,,,4,1,,9,19 years 295 days
28,25,13/05/2018,Rajasthan Royals,Wankhede Stadium,12,569,22.76,,0,,,4,1,,10,19 years 299 days
29,26,16/05/2018,Punjab Kings,Wankhede Stadium,20,589,22.65,,0,,,4,1,,11,19 years 302 days
30,27,20/05/2018,Delhi Capitals,Arun Jaitley Stadium,5,594,22.00,,0,,,4,,,11,19 years 306 days
31,28,06/04/2019,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,17,611,21.82,,0,,1,5,,,11,20 years 262 days
32,29,10/04/2019,Punjab Kings,Wankhede Stadium,7,618,21.31,,0,,,5,,,11,20 years 266 days
33,30,13/04/2019,Rajasthan Royals,Wankhede Stadium,5,623,20.77,,0,,1,6,,,11,20 years 269 days
34,31,15/04/2019,Royal Challengers Bengaluru,Wankhede Stadium,21,644,20.77,,0,,,6,,,11,20 years 271 days
35,,05/05/2019,Kolkata Knight Riders,Wankhede Stadium,-,644,20.77,,0,,,6,,,11,20 years 291 days
36,32,07/05/2019,Chennai Super Kings,MA Chidambaram Stadium,28,672,21.00,,0,,,6,,,11,20 years 293 days
37,33,12/05/2019,Chennai Super Kings,Rajiv Gandhi International Stadium,23,695,21.06,,0,,,6,,,11,20 years 298 days
38,34,28/09/2020,Royal Challengers Bengaluru,Dubai International Cricket Stadium,99,794,23.35,,0,,,6,,,11,22 years 72 days
39,35,01/10/2020,Punjab Kings,Sheikh Zayed Stadium,28,822,23.49,,0,,,6,,,11,22 years 75 days
40,36,04/10/2020,Sunrisers Hyderabad,Sharjah Cricket Stadium,31,853,23.69,,0,,1,7,,,11,22 years 78 days
41,37,06/10/2020,Rajasthan Royals,Sheikh Zayed Stadium,0,853,23.05,,0,,,7,,,11,22 years 80 days
42,38,11/10/2020,Delhi Capitals,Sheikh Zayed Stadium,28,881,23.18,,0,,,7,,,11,22 years 85 days
43,,16/10/2020,Kolkata Knight Riders,Sheikh Zayed Stadium,-,881,23.18,,0,,,7,,,11,22 years 90 days
44,39,18/10/2020,Punjab Kings,Dubai International Cricket Stadium,7,888,22.77,,0,,,7,,,11,22 years 92 days
45,40,23/10/2020,Chennai Super Kings,Sharjah Cricket Stadium,68*,956,24.51,,0,,,7,,,11,22 years 97 days
46,41,25/10/2020,Rajasthan Royals,Sheikh Zayed Stadium,37,993,24.83,,0,,,7,,,11,22 years 99 days
47,42,28/10/2020,Royal Challengers Bengaluru,Sheikh Zayed Stadium,25,1018,24.83,,0,,,7,,,11,22 years 102 days
48,43,31/10/2020,Delhi Capitals,Dubai International Cricket Stadium,72*,1090,26.59,,0,,,7,,,11,22 years 105 days
49,44,03/11/2020,Sunrisers Hyderabad,Sharjah Cricket Stadium,33,1123,26.74,,0,,,7,,,11,22 years 108 days
50,45,05/11/2020,Delhi Capitals,Dubai International Cricket Stadium,55*,1178,28.05,,0,,,7,,,11,22 years 110 days
51,46,10/11/2020,Delhi Capitals,Dubai International Cricket Stadium,33*,1211,28.83,,0,,,7,,,11,22 years 115 days
52,47,09/04/2021,Royal Challengers Bengaluru,MA Chidambaram Stadium,28,1239,28.81,,0,,,7,,,11,22 years 265 days
53,48,13/04/2021,Kolkata Knight Riders,MA Chidambaram Stadium,1,1240,28.18,,0,,,7,,,11,22 years 269 days
54,49,17/04/2021,Sunrisers Hyderabad,MA Chidambaram Stadium,12,1252,27.82,,0,,,7,,,11,22 years 273 days
