1,,18/04/2008,Royal Challengers Bengaluru,M Chinnaswamy Stadium,-,0,,1/7,1,7.00,,0,,,,19 years 229 days
2,,20/04/2008,Deccan Chargers,Eden Gardens,-,0,,1/9,2,8.00,,0,,,,19 years 231 days
3,1,26/04/2008,Chennai Super Kings,MA Chidambaram Stadium,4*,4,,0/26,2,21.00,1,1,,,,19 years 237 days
4,2,29/04/2008,Mumbai Indians,Eden Gardens,0*,4,,1/33,3,25.00,,1,,,,19 years 240 days
5,3,01/05/2008,Rajasthan Royals,Sawai Mansingh Stadium,1*,5,,1/26,4,25.25,,1,,,,19 years 242 days
6,,03/05/2008,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,-,5,,0/41,4,35.50,,1,,,,19 years 244 days
7,,08/05/2008,Royal Challengers Bengaluru,Eden Gardens,-,5,,1/25,5,33.40,,1,,,,19 years 249 days
8,,11/05/2008,Deccan Chargers,Rajiv Gandhi International Stadium,-,5,,0/27,5,38.80,,1,,,,19 years 252 days
9,,13/05/2008,Delhi Capitals,Eden Gardens,-,5,,0/18,5,42.40,1,2,,,,19 years 254 days
10,4,16/05/2008,Mumbai Indians,Wankhede Stadium,4,9,9.00,1/29,6,40.17,,2,,,,19 years 257 days
11,,18/05/2008,Chennai Super Kings,Eden Gardens,-,9,9.00,0/16,6,42.83,,2,,,,19 years 259 days
12,5,20/05/2008,Rajasthan Royals,Eden Gardens,2*,11,11.00,1/23,7,40.00,,2,,,,19 years 261 days
13,6,25/05/2008,Punjab Kings,Eden Gardens,0*,11,11.00,0/49,7,47.00,,2,,,,19 years 266 days
14,7,19/04/2009,Deccan Chargers,Newlands,9,20,10.00,0/13,7,48.86,,2,,,,20 years 229 days
15,,21/04/2009,Punjab Kings,Kingsmead,-,20,10.00,1/24,8,45.75,,2,,,,20 years 231 days
16,8,23/04/2009,Rajasthan Royals,Newlands,1,21,7.00,2/36,10,40.20,1,3,,,,20 years 233 days
17,9,27/04/2009,Mumbai Indians,St George's Park,6*,27,9.00,1/29,11,39.18,,3,,,,20 years 237 days
18,,29/04/2009,Royal Challengers Bengaluru,Kingsmead,-,27,9.00,2/15,13,34.31,,3,,,,20 years 239 days
19,,01/05/2009,Mumbai Indians,Buffalo Park,-,27,9.00,1/24,14,33.57,,3,,,,20 years 241 days
20,,03/05/2009,Punjab Kings,St George's Park,-,27,9.00,2/27,16,31.06,,3,,,,20 years 243 days
21,,05/05/2009,Delhi Capitals,Kingsmead,-,27,9.00,0/43,16,33.75,,3,,,,20 years 245 days
22,,10/05/2009,Delhi Capitals,Wanderers Stadium,-,27,9.00,2/23,18,31.28,,3,,,,20 years 250 days
23,,12/05/2009,Royal Challengers Bengaluru,SuperSport Park,-,27,9.00,0/40,18,33.50,,3,,,,20 years 252 days
24,,16/05/2009,Deccan Chargers,Wanderers Stadium,-,27,9.00,0/23,18,34.78,,3,,,,20 years 256 days
25,,12/03/2010,Deccan Chargers,Dr DY Patil Sports Academy,-,27,9.00,1/31,19,34.58,,3,,,,21 years 191 days
26,,14/03/2010,Royal Challengers Bengaluru,Eden Gardens,-,27,9.00,0/27,19,36.00,1,4,,,,21 years 193 days
27,10,16/03/2010,Chennai Super Kings,Eden Gardens,6*,33,11.00,1/38,20,36.10,,4,,,,21 years 195 days
28,,20/03/2010,Rajasthan Royals,Narendra Modi Stadium,-,33,11.00,2/33,22,34.32,,4,,,,21 years 199 days
29,,22/03/2010,Mumbai Indians,Brabourne Stadium,-,33,11.00,2/44,24,33.29,,4,,,,21 years 201 days
30,,29/03/2010,Delhi Capitals,Arun Jaitley Stadium,-,33,11.00,1/17,25,32.64,,4,,,,21 years 208 days
31,11,10/04/2010,Royal Challengers Bengaluru,M Chinnaswamy Stadium,0,33,8.25,0/46,25,34.48,,4,,,,21 years 220 days
32,12,09/04/2011,Rajasthan Royals,Rajiv Gandhi International Stadium,1*,34,8.50,0/24,25,35.44,,4,,,,22 years 219 days
33,13,11/04/2011,Kolkata Knight Riders,Eden Gardens,1*,35,8.75,0/27,25,36.52,,4,,,,22 years 221 days
34,,14/04/2011,Royal Challengers Bengaluru,Rajiv Gandhi International Stadium,-,35,8.75,1/21,26,35.92,,4,,,,22 years 224 days
35,,16/04/2011,Punjab Kings,Rajiv Gandhi International Stadium,-,35,8.75,0/23,26,36.81,1,5,,,,22 years 226 days
36,14,24/04/2011,Mumbai Indians,Rajiv Gandhi International Stadium,1*,36,9.00,1/39,27,36.89,,5,,,,22 years 234 days
37,,27/04/2011,Kochi Tuskers Kerala,Nehru Stadium (Kochi),-,36,9.00,5/12,32,31.50,,5,,,,22 years 237 days
38,15,01/05/2011,Chennai Super Kings,MA Chidambaram Stadium,1*,37,9.25,0/41,32,32.78,1,6,,,,22 years 241 days
39,,03/05/2011,Kolkata Knight Riders,Rajiv Gandhi International Stadium,-,37,9.25,0/37,32,33.94,,6,,,,22 years 243 days
40,,05/05/2011,Delhi Capitals,Rajiv Gandhi International Stadium,-,37,9.25,2/16,34,32.41,,6,,,,22 years 245 days
41,16,10/05/2011,Pune Warriors,Rajiv Gandhi International Stadium,0*,37,9.25,0/25,34,33.15,,6,,,,22 years 250 days
42,,14/05/2011,Mumbai Indians,Wankhede Stadium,-,37,9.25,2/30,36,32.14,1,7,,,,22 years 254 days
43,,16/05/2011,Pune Warriors,Dr DY Patil Sports Academy,-,37,9.25,0/19,36,32.67,,7,,,,22 years 256 days
44,,05/04/2013,Pune Warriors,Rajiv Gandhi International Stadium,-,37,9.25,0/22,36,33.28,1,8,,,,24 years 215 days
45,,07/04/2013,Royal Challengers Bengaluru,Rajiv Gandhi International Stadium,-,37,9.25,3/27,39,31.41,,8,,,,24 years 217 days
46,,09/04/2013,Royal Challengers Bengaluru,M Chinnaswamy Stadium,-,37,9.25,1/30,40,31.38,,8,,,,24 years 219 days
47,,12/04/2013,Delhi Capitals,Arun Jaitley Stadium,-,37,9.25,2/35,42,30.71,,8,,,,24 years 222 days
48,,14/04/2013,Kolkata Knight Riders,Eden Gardens,-,37,9.25,0/33,42,31.50,,8,,,,24 years 224 days
49,,17/04/2013,Pune Warriors,Maharashtra Cricket Association Stadium,-,37,9.25,1/22,43,31.28,,8,,,,24 years 227 days
50,,19/04/2013,Punjab Kings,Rajiv Gandhi International Stadium,-,37,9.25,2/29,45,30.53,2,10,,,,24 years 229 days
51,,25/04/2013,Chennai Super Kings,MA Chidambaram Stadium,-,37,9.25,1/34,46,30.61,,10,,,,24 years 235 days
52,17,27/04/2013,Rajasthan Royals,Sawai Mansingh Stadium,0*,37,9.25,0/35,46,31.37,,10,,,,24 years 237 days
53,,01/05/2013,Mumbai Indians,Rajiv Gandhi International Stadium,-,37,9.25,2/15,48,30.38,1,11,,,,24 years 241 days
54,,04/05/2013,Delhi Capitals,Rajiv Gandhi International Stadium,-,37,9.25,1/11,49,29.98,1,12,,,,24 years 244 days
55,18,08/05/2013,Chennai Super Kings,Rajiv Gandhi International Stadium,0*,37,9.25,0/66,49,31.33,,12,,,,24 years 248 days
56,,11/05/2013,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,-,37,9.25,0/22,49,31.78,1,13,,,,24 years 251 days
57,,13/05/2013,Mumbai Indians,Wankhede Stadium,-,37,9.25,1/32,50,31.78,,13,,,,24 years 253 days
58,,17/05/2013,Rajasthan Royals,Rajiv Gandhi International Stadium,-,37,9.25,0/22,50,32.22,,13,,,,24 years 257 days
59,,22/05/2013,Rajasthan Royals,Arun Jaitley Stadium,-,37,9.25,1/31,51,32.20,,13,,,,24 years 262 days
60,,18/04/2014,Rajasthan Royals,Sheikh Zayed Stadium,-,37,9.25,1/29,52,32.13,,13,,,,25 years 228 days
61,,27/04/2014,Chennai Super Kings,Sharjah Cricket Stadium,-,37,9.25,2/37,54,31.63,,13,,,,25 years 237 days
62,,04/05/2014,Royal Challengers Bengaluru,M Chinnaswamy Stadium,-,37,9.25,0/35,54,32.28,,13,,,,25 years 244 days
63,,11/04/2015,Chennai Super Kings,MA Chidambaram Stadium,-,37,9.25,0/46,54,33.13,,13,,,,26 years 221 days
64,,07/05/2015,Rajasthan Royals,Brabourne Stadium,-,37,9.25,1/25,55,32.98,,13,,,,26 years 247 days
65,,09/05/2015,Delhi Capitals,Shaheed Veer Narayan Sing International Stadium,-,37,9.25,0/39,55,33.69,,13,,,,26 years 249 days
66,,11/05/2015,Punjab Kings,Rajiv Gandhi International Stadium,-,37,9.25,0/49,55,34.58,,13,,,,26 years 251 days
67,,09/04/2016,Mumbai Indians,Wankhede Stadium,-,37,9.25,2/36,57,34.00,,13,,,,27 years 220 days
68,,14/04/2016,Gujarat Lions,Saurashtra Cricket Association Stadium,-,37,9.25,1/39,58,34.09,1,14,,,,27 years 225 days
69,,17/04/2016,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,-,37,9.25,0/26,58,34.53,,14,,,,27 years 228 days
70,19,22/04/2016,Royal Challengers Bengaluru,Maharashtra Cricket Association Stadium,0*,37,9.25,0/47,58,35.34,1,15,,,,27 years 233 days
71,,13/04/2017,Kolkata Knight Riders,Eden Gardens,-,37,9.25,0/16,58,35.62,,15,,,,28 years 223 days
72,20,17/04/2017,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,2,39,7.80,0/23,58,36.02,,15,,,,28 years 227 days
73,,20/04/2017,Mumbai Indians,Holkar Cricket Stadium,-,39,7.80,0/58,58,37.02,,15,,,,28 years 230 days
74,21,28/04/2017,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,5*,44,8.80,0/41,58,37.72,,15,,,,28 years 238 days
75,,11/05/2017,Mumbai Indians,Wankhede Stadium,-,44,8.80,0/29,58,38.22,,15,,,,28 years 251 days
76,22,14/05/2017,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,1,45,7.50,0/12,58,38.43,,15,,,,28 years 254 days
77,,24/03/2019,Mumbai Indians,Wankhede Stadium,-,45,7.50,2/34,60,37.72,,15,,,,30 years 203 days
78,,26/03/2019,Chennai Super Kings,Arun Jaitley Stadium,-,45,7.50,1/28,61,37.56,,15,,,,30 years 205 days
79,23,04/04/2019,Sunrisers Hyderabad,Arun Jaitley Stadium,0*,45,7.50,1/5,62,37.03,1,16,,,,30 years 214 days
80,,07/04/2019,Royal Challengers Bengaluru,M Chinnaswamy Stadium,-,45,7.50,0/31,62,37.53,,16,,,,30 years 217 days
