1,1,12/04/2024,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,55,55,55.00,,0,,,0,,,,22 years 1 days
2,2,17/04/2024,Gujarat Titans,Narendra Modi Stadium,20,75,37.50,,0,,,0,,,,22 years 6 days
3,3,20/04/2024,Sunrisers Hyderabad,Arun Jaitley Stadium,65,140,46.67,,0,,,0,,,,22 years 9 days
4,4,24/04/2024,Gujarat Titans,Arun Jaitley Stadium,23,163,40.75,,0,,1,1,,,,22 years 13 days
5,5,27/04/2024,Mumbai Indians,Arun Jaitley Stadium,84,247,49.40,,0,,,1,,,,22 years 16 days
6,6,29/04/2024,Kolkata Knight Riders,Eden Gardens,12,259,43.17,,0,,1,2,,,,22 years 18 days
7,7,07/05/2024,Rajasthan Royals,Arun Jaitley Stadium,50,309,44.14,,0,,,2,,,,22 years 26 days
8,8,12/05/2024,Royal Challengers Bengaluru,M Chinnaswamy Stadium,21,330,41.25,,0,,1,3,,,,22 years 31 days
9,9,14/05/2024,Lucknow Super Giants,Arun Jaitley Stadium,0,330,36.67,,0,,,3,,,,22 years 33 days
10,10,24/03/2025,Lucknow Super Giants,Dr YS Rajasekhara Reddy Cricket Stadium,1,331,33.10,,0,,,3,,,,22 years 347 days
11,11,30/03/2025,Sunrisers Hyderabad,Dr YS Rajasekhara Reddy Cricket Stadium,38,369,33.55,,0,,2,5,,,,22 years 353 days
12,12,05/04/2025,Chennai Super Kings,MA Chidambaram Stadium,0,369,30.75,,0,,1,6,,,,22 years 359 days
13,13,10/04/2025,Royal Challengers Bengaluru,M Chinnaswamy Stadium,7,376,28.92,,0,,,6,,,,22 years 364 days
14,14,13/04/2025,Mumbai Indians,Arun Jaitley Stadium,0,376,26.86,,0,,,6,,,,23 years 2 days
15,15,16/04/2025,Rajasthan Royals,Arun Jaitley Stadium,9,385,25.67,,0,,,6,,,,23 years 5 days
