1,1,22/04/2018,Mumbai Indians,Sawai Mansingh Stadium,8,8,8.00,3/22,3,7.33,,0,,,,23 years 21 days
2,2,29/04/2018,Sunrisers Hyderabad,Sawai Mansingh Stadium,1*,9,9.00,3/26,6,8.00,,0,,,,23 years 28 days
3,3,02/05/2018,Delhi Capitals,Arun Jaitley Stadium,0*,9,9.00,1/31,7,11.29,,0,,,,23 years 31 days
4,4,06/05/2018,Punjab Kings,Holkar Cricket Stadium,0,9,4.50,1/43,8,15.25,,0,,,,23 years 35 days
5,5,08/05/2018,Punjab Kings,Sawai Mansingh Stadium,0,9,3.00,1/32,9,17.11,,0,,,,23 years 37 days
6,6,11/05/2018,Chennai Super Kings,Sawai Mansingh Stadium,0*,9,3.00,2/42,11,17.82,,0,,,,23 years 40 days
7,,13/05/2018,Mumbai Indians,Wankhede Stadium,-,9,3.00,2/16,13,16.31,,0,,,,23 years 42 days
8,7,15/05/2018,Kolkata Knight Riders,Eden Gardens,6,15,3.75,0/43,13,19.62,,0,,,,23 years 44 days
9,8,19/05/2018,Royal Challengers Bengaluru,Sawai Mansingh Stadium,0,15,3.00,0/37,13,22.46,,0,,,,23 years 48 days
10,,23/05/2018,Kolkata Knight Riders,Eden Gardens,-,15,3.00,2/33,15,21.67,1,1,,,,23 years 52 days
11,9,25/03/2019,Punjab Kings,Sawai Mansingh Stadium,2,17,2.83,0/17,15,22.80,,1,,,,23 years 358 days
12,,29/03/2019,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,-,17,2.83,0/42,15,25.60,,1,,,,23 years 362 days
13,10,31/03/2019,Chennai Super Kings,MA Chidambaram Stadium,24*,41,6.83,2/17,17,23.59,1,2,,,,23 years 364 days
14,,02/04/2019,Royal Challengers Bengaluru,Sawai Mansingh Stadium,-,41,6.83,1/47,18,24.89,,2,,,,24 years 1 days
15,,07/04/2019,Kolkata Knight Riders,Sawai Mansingh Stadium,-,41,6.83,0/14,18,25.67,,2,,,,24 years 6 days
16,11,11/04/2019,Chennai Super Kings,Sawai Mansingh Stadium,13*,54,9.00,1/19,19,25.32,,2,,,,24 years 10 days
17,,13/04/2019,Mumbai Indians,Wankhede Stadium,-,54,9.00,3/39,22,23.64,,2,,,,24 years 12 days
18,12,16/04/2019,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,1,55,7.86,3/15,25,21.40,2,4,,,,24 years 15 days
19,,20/04/2019,Mumbai Indians,Sawai Mansingh Stadium,-,55,7.86,1/22,26,21.42,,4,,,,24 years 19 days
20,,22/04/2019,Delhi Capitals,Sawai Mansingh Stadium,-,55,7.86,0/31,26,22.62,,4,,,,24 years 21 days
21,13,25/04/2019,Kolkata Knight Riders,Eden Gardens,27*,82,11.71,0/28,26,23.69,,4,,,,24 years 24 days
22,14,22/09/2020,Chennai Super Kings,Sharjah Cricket Stadium,27*,109,15.57,1/26,27,23.78,,4,,,,25 years 174 days
23,15,27/09/2020,Punjab Kings,Sharjah Cricket Stadium,13*,122,17.43,0/46,27,25.48,,4,,,,25 years 179 days
24,16,30/09/2020,Kolkata Knight Riders,Dubai International Cricket Stadium,6,128,16.00,2/18,29,24.34,1,5,,,,25 years 182 days
25,17,03/10/2020,Royal Challengers Bengaluru,Sheikh Zayed Stadium,16*,144,18.00,1/18,30,24.13,,5,,,,25 years 185 days
26,18,06/10/2020,Mumbai Indians,Sheikh Zayed Stadium,24,168,18.67,1/34,31,24.45,,5,,,,25 years 188 days
27,19,09/10/2020,Delhi Capitals,Sharjah Cricket Stadium,2,170,17.00,3/24,34,23.00,1,6,,,,25 years 191 days
28,,11/10/2020,Sunrisers Hyderabad,Dubai International Cricket Stadium,-,170,17.00,1/25,35,23.06,,6,,,,25 years 193 days
29,20,14/10/2020,Delhi Capitals,Dubai International Cricket Stadium,1,171,15.55,3/19,38,21.74,2,8,,,,25 years 196 days
30,21,17/10/2020,Royal Challengers Bengaluru,Dubai International Cricket Stadium,2,173,14.42,0/38,38,22.74,,8,,,,25 years 199 days
31,,19/10/2020,Chennai Super Kings,Sheikh Zayed Stadium,-,173,14.42,1/20,39,22.67,,8,,,,25 years 201 days
32,22,22/10/2020,Sunrisers Hyderabad,Dubai International Cricket Stadium,16*,189,15.75,2/21,41,22.07,,8,,,,25 years 204 days
33,,25/10/2020,Mumbai Indians,Sheikh Zayed Stadium,-,189,15.75,2/31,43,21.77,1,9,,,,25 years 207 days
34,,30/10/2020,Punjab Kings,Sheikh Zayed Stadium,-,189,15.75,2/26,45,21.38,,9,,,,25 years 212 days
35,23,01/11/2020,Kolkata Knight Riders,Dubai International Cricket Stadium,6,195,15.00,1/19,46,21.33,,9,,,,25 years 214 days
36,,02/04/2023,Royal Challengers Bengaluru,M Chinnaswamy Stadium,-,195,15.00,0/33,46,22.04,,9,,,,28 years 1 days
37,24,22/04/2023,Punjab Kings,Wankhede Stadium,1*,196,15.08,1/42,47,22.47,1,10,,,,28 years 21 days
38,,30/04/2023,Rajasthan Royals,Wankhede Stadium,-,196,15.08,1/35,48,22.73,,10,,,,28 years 29 days
39,,03/05/2023,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,-,196,15.08,0/56,48,23.90,,10,,,,28 years 32 days
40,25,06/05/2023,Chennai Super Kings,MA Chidambaram Stadium,3*,199,15.31,0/24,48,24.40,,10,,,,28 years 35 days
41,26,23/03/2025,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,1*,200,15.38,0/76,48,25.98,1,11,,,,29 years 356 days
