1,,26/09/2020,Sunrisers Hyderabad,Sheikh Zayed Stadium,-,0,,0/17,0,,,0,,,,20 years 273 days
2,1,30/09/2020,Rajasthan Royals,Dubai International Cricket Stadium,8*,8,,2/13,2,15.00,2,2,,,,20 years 277 days
3,2,03/10/2020,Delhi Capitals,Sharjah Cricket Stadium,3*,11,,1/35,3,21.67,,2,,,,20 years 280 days
4,3,07/10/2020,Chennai Super Kings,Sheikh Zayed Stadium,0,11,11.00,1/21,4,21.50,,2,,,,20 years 284 days
5,,10/10/2020,Punjab Kings,Sheikh Zayed Stadium,-,11,11.00,0/40,4,31.50,,2,,,,20 years 287 days
6,4,12/10/2020,Royal Challengers Bengaluru,Sharjah Cricket Stadium,4,15,7.50,0/36,4,40.50,,2,,,,20 years 289 days
7,,24/10/2020,Delhi Capitals,Sheikh Zayed Stadium,-,15,7.50,0/11,4,43.25,1,3,,,,20 years 301 days
8,5,26/10/2020,Punjab Kings,Sharjah Cricket Stadium,6,21,7.00,,4,43.25,,3,,,,20 years 303 days
9,,29/10/2020,Chennai Super Kings,Dubai International Cricket Stadium,-,21,7.00,0/34,4,51.75,,3,,,,20 years 306 days
10,6,01/11/2020,Rajasthan Royals,Dubai International Cricket Stadium,1*,22,7.33,1/24,5,46.20,1,4,,,,20 years 309 days
11,7,21/04/2021,Chennai Super Kings,Wankhede Stadium,0,22,5.50,0/25,5,51.20,,4,,,,21 years 114 days
12,,27/03/2022,Mumbai Indians,Brabourne Stadium,-,22,5.50,0/29,5,57.00,,4,,,,22 years 89 days
