1,1,04/04/2013,Mumbai Indians,M Chinnaswamy Stadium,0,0,0.00,,0,,,0,,,,21 years 119 days
2,2,07/04/2013,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,9,9,4.50,,0,,,0,,,,21 years 122 days
3,3,26/04/2014,Royal Challengers Bengaluru,Sheikh Zayed Stadium,8,17,5.67,,0,,,0,,,,22 years 141 days
4,4,29/04/2014,Kolkata Knight Riders,Sheikh Zayed Stadium,1,18,4.50,,0,,1,1,,,,22 years 144 days
5,5,03/05/2014,Delhi Capitals,Arun Jaitley Stadium,73*,91,22.75,,0,,,1,,,,22 years 148 days
6,6,05/05/2014,Kolkata Knight Riders,Narendra Modi Stadium,44,135,27.00,,0,,,1,,,,22 years 150 days
7,7,08/05/2014,Sunrisers Hyderabad,Narendra Modi Stadium,12,147,24.50,,0,,,1,,,,22 years 153 days
8,8,11/05/2014,Royal Challengers Bengaluru,M Chinnaswamy Stadium,56,203,29.00,,0,,,1,,,,22 years 156 days
9,9,13/05/2014,Chennai Super Kings,JSCA International Stadium Complex,8,211,26.38,,0,,1,2,,,,22 years 158 days
10,10,15/05/2014,Delhi Capitals,Narendra Modi Stadium,19,230,25.56,,0,,1,3,,,,22 years 160 days
11,11,19/05/2014,Mumbai Indians,Narendra Modi Stadium,48,278,27.80,,0,,,3,,,,22 years 164 days
12,12,23/05/2014,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,11,289,26.27,,0,,,3,,,,22 years 168 days
13,13,25/05/2014,Mumbai Indians,Wankhede Stadium,50,339,28.25,,0,,1,4,,,,22 years 170 days
14,14,10/04/2015,Punjab Kings,Maharashtra Cricket Association Stadium,8,347,26.69,,0,,1,5,,,,23 years 125 days
15,15,12/04/2015,Delhi Capitals,Arun Jaitley Stadium,20,367,26.21,,0,,1,6,,,,23 years 127 days
16,,14/04/2015,Mumbai Indians,Narendra Modi Stadium,-,367,26.21,,0,,1,7,,,,23 years 129 days
17,16,16/04/2015,Sunrisers Hyderabad,Dr YS Rajasekhara Reddy Cricket Stadium,1,368,24.53,,0,,,7,,,,23 years 131 days
18,17,19/04/2015,Chennai Super Kings,Narendra Modi Stadium,1*,369,24.60,,0,,,7,,,,23 years 134 days
19,18,21/04/2015,Punjab Kings,Narendra Modi Stadium,25,394,24.63,,0,,,7,,,,23 years 136 days
20,19,24/04/2015,Royal Challengers Bengaluru,Narendra Modi Stadium,16,410,24.12,,0,,,7,,,,23 years 139 days
21,,29/04/2015,Royal Challengers Bengaluru,M Chinnaswamy Stadium,-,410,24.12,,0,,,7,,,,23 years 144 days
22,20,01/05/2015,Mumbai Indians,Wankhede Stadium,7,417,23.17,,0,,,7,,,,23 years 146 days
23,21,03/05/2015,Delhi Capitals,Brabourne Stadium,61,478,25.16,,0,,,7,,,,23 years 148 days
24,22,07/05/2015,Sunrisers Hyderabad,Brabourne Stadium,4,482,24.10,,0,,,7,,,,23 years 152 days
25,23,10/05/2015,Chennai Super Kings,MA Chidambaram Stadium,10,492,23.43,,0,,,7,,,,23 years 155 days
26,24,16/05/2015,Kolkata Knight Riders,Brabourne Stadium,16,508,23.09,,0,,,7,,,,23 years 161 days
27,25,20/05/2015,Royal Challengers Bengaluru,Maharashtra Cricket Association Stadium,12,520,22.61,,0,,,7,,,,23 years 165 days
28,26,10/04/2016,Kolkata Knight Riders,Eden Gardens,3,523,21.79,,0,,,7,,,,24 years 126 days
29,,15/04/2016,Punjab Kings,Arun Jaitley Stadium,-,523,21.79,,0,,,7,,,,24 years 131 days
30,27,17/04/2016,Royal Challengers Bengaluru,M Chinnaswamy Stadium,54*,577,24.04,,0,,,7,,,,24 years 133 days
31,28,23/04/2016,Mumbai Indians,Arun Jaitley Stadium,5,582,23.28,,0,,,7,,,,24 years 139 days
32,29,27/04/2016,Gujarat Lions,Arun Jaitley Stadium,9,591,22.73,,0,,1,8,,,,24 years 143 days
33,30,30/04/2016,Kolkata Knight Riders,Arun Jaitley Stadium,68,659,24.41,,0,,1,9,,,,24 years 146 days
34,,03/05/2016,Gujarat Lions,Saurashtra Cricket Association Stadium,-,659,24.41,,0,,,9,,,,24 years 149 days
35,31,05/05/2016,Rising Pune Supergiant,Arun Jaitley Stadium,32,691,24.68,,0,,,9,,,,24 years 151 days
36,32,07/05/2016,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,23,714,24.62,,0,,,9,,,,24 years 153 days
