1,,25/05/2018,Kolkata Knight Riders,Eden Gardens,-,0,,0/38,0,,,0,,,,20 years 171 days
2,1,14/04/2019,Delhi Capitals,Rajiv Gandhi International Stadium,0,0,0.00,3/30,3,22.67,,0,,,,21 years 130 days
3,,17/04/2019,Chennai Super Kings,Rajiv Gandhi International Stadium,-,0,0.00,1/22,4,22.50,,0,,,,21 years 133 days
4,,21/04/2019,Kolkata Knight Riders,Rajiv Gandhi International Stadium,-,0,0.00,3/33,7,17.57,,0,,,,21 years 137 days
5,,23/04/2019,Chennai Super Kings,MA Chidambaram Stadium,-,0,0.00,0/26,7,21.29,,0,,,,21 years 139 days
6,,27/04/2019,Rajasthan Royals,Sawai Mansingh Stadium,-,0,0.00,1/33,8,22.75,,0,,,,21 years 143 days
7,,29/04/2019,Punjab Kings,Rajiv Gandhi International Stadium,-,0,0.00,3/40,11,20.18,,0,,,,21 years 145 days
8,,02/05/2019,Mumbai Indians,Wankhede Stadium,-,0,0.00,3/42,14,18.86,,0,,,,21 years 148 days
9,,04/05/2019,Royal Challengers Bengaluru,M Chinnaswamy Stadium,-,0,0.00,3/37,17,17.71,,0,,,,21 years 150 days
10,,08/05/2019,Delhi Capitals,Dr YS Rajasekhara Reddy Cricket Stadium,-,0,0.00,2/24,19,17.11,,0,,,,21 years 154 days
11,,26/09/2020,Kolkata Knight Riders,Sheikh Zayed Stadium,-,0,0.00,1/28,20,17.65,,0,,,,22 years 296 days
12,,29/09/2020,Delhi Capitals,Sheikh Zayed Stadium,-,0,0.00,1/43,21,18.86,,0,,,,22 years 299 days
13,,02/10/2020,Chennai Super Kings,Dubai International Cricket Stadium,-,0,0.00,0/34,21,20.48,,0,,,,22 years 302 days
14,,08/10/2020,Punjab Kings,Dubai International Cricket Stadium,-,0,0.00,2/24,23,19.74,,0,,,,22 years 308 days
15,,11/10/2020,Rajasthan Royals,Dubai International Cricket Stadium,-,0,0.00,2/37,25,19.64,,0,,,,22 years 311 days
