1,1,16/04/2016,Gujarat Lions,Wankhede Stadium,20*,20,,1/20,1,20.00,,0,,,,25 years 23 days
2,2,18/04/2016,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,49*,69,,,1,20.00,,0,,,,25 years 25 days
3,,20/04/2016,Royal Challengers Bengaluru,Barabati Stadium,-,69,,2/27,3,15.67,1,1,,,,25 years 27 days
4,3,23/04/2016,Delhi Capitals,Arun Jaitley Stadium,36,105,105.00,0/25,3,24.00,,1,,,,25 years 30 days
5,4,25/04/2016,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,0*,105,105.00,0/20,3,30.67,,1,,,,25 years 32 days
6,5,28/04/2016,Kolkata Knight Riders,Wankhede Stadium,6,111,55.50,0/21,3,37.67,,1,,,,25 years 35 days
7,,01/05/2016,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,-,111,55.50,0/28,3,47.00,1,2,,,,25 years 38 days
8,6,08/05/2016,Sunrisers Hyderabad,Dr YS Rajasekhara Reddy Cricket Stadium,17,128,42.67,0/5,3,48.67,,2,,,,25 years 45 days
9,,11/05/2016,Royal Challengers Bengaluru,M Chinnaswamy Stadium,-,128,42.67,1/15,4,40.25,,2,,,,25 years 48 days
10,7,13/05/2016,Punjab Kings,Dr YS Rajasekhara Reddy Cricket Stadium,19,147,36.75,0/32,4,48.25,,2,,,,25 years 50 days
11,8,15/05/2016,Delhi Capitals,Dr YS Rajasekhara Reddy Cricket Stadium,86,233,46.60,2/15,6,34.67,,2,,,,25 years 52 days
12,9,21/05/2016,Gujarat Lions,Green Park,4,237,39.50,0/28,6,39.33,,2,,,,25 years 58 days
13,10,06/04/2017,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,3,240,34.29,0/21,6,42.83,,2,,,,26 years 13 days
14,11,09/04/2017,Kolkata Knight Riders,Wankhede Stadium,11,251,31.38,3/24,9,31.22,,2,,,,26 years 16 days
15,12,12/04/2017,Sunrisers Hyderabad,Wankhede Stadium,37,288,32.00,0/12,9,32.56,,2,,,,26 years 19 days
16,13,14/04/2017,Royal Challengers Bengaluru,M Chinnaswamy Stadium,37*,325,36.11,1/21,10,31.40,,2,,,,26 years 21 days
17,,16/04/2017,Gujarat Lions,Wankhede Stadium,-,325,36.11,0/18,10,33.20,1,3,,,,26 years 23 days
18,,20/04/2017,Punjab Kings,Holkar Cricket Stadium,-,325,36.11,1/29,11,32.82,,3,,,,26 years 27 days
19,14,22/04/2017,Delhi Capitals,Wankhede Stadium,17,342,34.20,0/8,11,33.55,,3,,,,26 years 29 days
20,15,29/04/2017,Gujarat Lions,Saurashtra Cricket Association Stadium,29,371,33.73,3/14,14,27.36,1,4,,,,26 years 36 days
21,16,01/05/2017,Royal Challengers Bengaluru,Wankhede Stadium,2*,373,33.91,2/34,16,26.06,,4,,,,26 years 38 days
22,17,13/05/2017,Kolkata Knight Riders,Eden Gardens,0*,373,33.91,0/14,16,26.94,,4,,,,26 years 50 days
23,18,16/05/2017,Rising Pune Supergiant,Wankhede Stadium,15,388,32.33,0/22,16,28.31,,4,,,,26 years 53 days
24,19,19/05/2017,Kolkata Knight Riders,M Chinnaswamy Stadium,45*,433,36.08,0/25,16,29.88,,4,,,,26 years 56 days
25,20,21/05/2017,Rising Pune Supergiant,Rajiv Gandhi International Stadium,47,480,36.92,0/31,16,31.81,,4,,,,26 years 58 days
26,21,07/04/2018,Chennai Super Kings,Wankhede Stadium,41*,521,40.08,,16,31.81,1,5,,,,27 years 14 days
27,22,12/04/2018,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,15,536,38.29,0/10,16,32.44,1,6,,,,27 years 19 days
28,23,14/04/2018,Delhi Capitals,Wankhede Stadium,11,547,36.47,2/21,18,30.00,,6,,,,27 years 21 days
29,24,17/04/2018,Royal Challengers Bengaluru,Wankhede Stadium,15,562,35.13,3/28,21,27.05,1,7,,,,27 years 24 days
30,25,22/04/2018,Rajasthan Royals,Sawai Mansingh Stadium,7,569,33.47,1/33,22,27.32,1,8,,,,27 years 29 days
31,26,24/04/2018,Sunrisers Hyderabad,Wankhede Stadium,24,593,32.94,0/14,22,27.95,,8,,,,27 years 31 days
32,,28/04/2018,Chennai Super Kings,Maharashtra Cricket Association Stadium,-,593,32.94,2/32,24,26.96,,8,,,,27 years 35 days
33,27,01/05/2018,Royal Challengers Bengaluru,M Chinnaswamy Stadium,23,616,32.42,0/24,24,27.96,,8,,,,27 years 38 days
34,28,04/05/2018,Punjab Kings,Holkar Cricket Stadium,31*,647,34.05,0/10,24,28.38,1,9,,,,27 years 41 days
