1,,10/04/2022,Lucknow Super Giants,Wankhede Stadium,-,0,,1/35,1,35.00,,0,,,,25 years 170 days
2,1,14/04/2022,Gujarat Titans,Dr DY Patil Sports Academy,0*,0,,1/51,2,43.00,,0,,,,25 years 174 days
3,,26/04/2022,Royal Challengers Bengaluru,Maharashtra Cricket Association Stadium,-,0,,4/20,6,17.67,2,2,,,,25 years 186 days
4,,30/04/2022,Mumbai Indians,Dr DY Patil Sports Academy,-,0,,1/29,7,19.29,,2,,,,25 years 190 days
5,,02/05/2022,Kolkata Knight Riders,Wankhede Stadium,-,0,,1/28,8,20.38,,2,,,,25 years 192 days
6,,07/05/2022,Punjab Kings,Wankhede Stadium,-,0,,0/42,8,25.63,,2,,,,25 years 197 days
7,,11/05/2022,Delhi Capitals,Dr DY Patil Sports Academy,-,0,,0/32,8,29.63,1,3,,,,25 years 201 days
8,,12/04/2023,Chennai Super Kings,MA Chidambaram Stadium,-,0,,0/8,8,30.63,,3,,,,26 years 172 days
9,,30/04/2023,Mumbai Indians,Wankhede Stadium,-,0,,0/20,8,33.13,,3,,,,26 years 190 days
10,,10/04/2024,Gujarat Titans,Sawai Mansingh Stadium,-,0,,3/41,11,27.82,,3,,,,27 years 171 days
11,,13/04/2024,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,-,0,,1/35,12,28.42,1,4,,,,27 years 174 days
12,,16/04/2024,Kolkata Knight Riders,Eden Gardens,-,0,,2/46,14,27.64,,4,,,,27 years 177 days
