1,,13/04/2016,Mumbai Indians,Eden Gardens,-,0,,1/37,1,37.00,,0,,,,21 years 121 days
2,,22/05/2016,Sunrisers Hyderabad,Eden Gardens,-,0,,2/28,3,21.67,,0,,,,21 years 160 days
3,,25/05/2016,Sunrisers Hyderabad,Arun Jaitley Stadium,-,0,,3/35,6,16.67,1,1,,,,21 years 163 days
4,,07/04/2017,Gujarat Lions,Saurashtra Cricket Association Stadium,-,0,,2/25,8,15.63,,1,,,,22 years 114 days
5,,09/04/2017,Mumbai Indians,Wankhede Stadium,-,0,,1/35,9,17.78,,1,,,,22 years 116 days
6,,15/04/2017,Sunrisers Hyderabad,Eden Gardens,-,0,,1/23,10,18.30,,1,,,,22 years 122 days
7,,17/04/2017,Delhi Capitals,Arun Jaitley Stadium,-,0,,0/29,10,21.20,,1,,,,22 years 124 days
8,,21/04/2017,Gujarat Lions,Eden Gardens,-,0,,2/33,12,20.42,,1,,,,22 years 128 days
9,1,23/04/2017,Royal Challengers Bengaluru,Eden Gardens,4,4,4.00,,12,20.42,1,2,,,,22 years 130 days
10,,26/04/2017,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,-,4,4.00,2/31,14,19.71,,2,,,,22 years 133 days
11,,28/04/2017,Delhi Capitals,Eden Gardens,-,4,4.00,0/27,14,21.64,,2,,,,22 years 135 days
12,,30/04/2017,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,-,4,4.00,0/43,14,24.71,,2,,,,22 years 137 days
13,,03/05/2017,Rising Pune Supergiant,Eden Gardens,-,4,4.00,1/35,15,25.40,,2,,,,22 years 140 days
14,,09/05/2017,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,-,4,4.00,2/34,17,24.41,,2,,,,22 years 146 days
15,2,13/05/2017,Mumbai Indians,Eden Gardens,16,20,10.00,1/25,18,24.44,,2,,,,22 years 150 days
16,,08/04/2018,Royal Challengers Bengaluru,Eden Gardens,-,20,10.00,0/33,18,26.28,1,3,,,,23 years 115 days
17,,10/04/2018,Chennai Super Kings,MA Chidambaram Stadium,-,20,10.00,1/27,19,26.32,,3,,,,23 years 117 days
18,,14/04/2018,Sunrisers Hyderabad,Eden Gardens,-,20,10.00,1/23,20,26.15,,3,,,,23 years 121 days
19,,16/04/2018,Delhi Capitals,Eden Gardens,-,20,10.00,3/32,23,24.13,1,4,,,,23 years 123 days
20,,18/04/2018,Rajasthan Royals,Sawai Mansingh Stadium,-,20,10.00,1/23,24,24.08,1,5,,,,23 years 125 days
21,,21/04/2018,Punjab Kings,Eden Gardens,-,20,10.00,0/13,24,24.63,,5,,,,23 years 128 days
22,3,27/04/2018,Delhi Capitals,Arun Jaitley Stadium,7*,27,13.50,0/22,24,25.54,,5,,,,23 years 134 days
23,,29/04/2018,Royal Challengers Bengaluru,M Chinnaswamy Stadium,-,27,13.50,1/20,25,25.32,,5,,,,23 years 136 days
24,,03/05/2018,Chennai Super Kings,Eden Gardens,-,27,13.50,1/34,26,25.65,,5,,,,23 years 140 days
25,,06/05/2018,Mumbai Indians,Wankhede Stadium,-,27,13.50,0/17,26,26.31,,5,,,,23 years 143 days
26,4,09/05/2018,Mumbai Indians,Eden Gardens,5,32,10.67,0/43,26,27.96,,5,,,,23 years 146 days
27,,12/05/2018,Punjab Kings,Holkar Cricket Stadium,-,32,10.67,1/29,27,28.00,1,6,,,,23 years 149 days
