1,,11/04/2013,Kolkata Knight Riders,M Chinnaswamy Stadium,-,0,,,0,,1,1,,,,20 years 358 days
2,1,16/04/2013,Delhi Capitals,M Chinnaswamy Stadium,12,12,12.00,,0,,,1,,,,20 years 363 days
3,,02/05/2013,Pune Warriors,Maharashtra Cricket Association Stadium,-,12,12.00,,0,,,1,,,,21 years 14 days
4,2,14/05/2013,Punjab Kings,M Chinnaswamy Stadium,8,20,10.00,,0,,,1,,,,21 years 26 days
5,,18/05/2013,Chennai Super Kings,M Chinnaswamy Stadium,-,20,10.00,,0,,,1,1,,1,21 years 30 days
6,3,18/04/2014,Rajasthan Royals,Sheikh Zayed Stadium,20,40,13.33,,0,,,1,1,,2,21 years 365 days
7,4,22/04/2014,Punjab Kings,Sharjah Cricket Stadium,27,67,16.75,,0,,,1,,,2,22 years 4 days
8,,25/04/2014,Delhi Capitals,Dubai International Cricket Stadium,-,67,16.75,,0,,1,2,,,2,22 years 7 days
9,5,27/04/2014,Chennai Super Kings,Sharjah Cricket Stadium,25,92,18.40,,0,,,2,1,,3,22 years 9 days
10,6,30/04/2014,Mumbai Indians,Dubai International Cricket Stadium,46,138,23.00,,0,,,2,,,3,22 years 12 days
11,7,04/05/2014,Royal Challengers Bengaluru,M Chinnaswamy Stadium,6,144,20.57,,0,,,2,,,3,22 years 16 days
12,8,08/05/2014,Rajasthan Royals,Narendra Modi Stadium,18,162,20.25,,0,,,2,,,3,22 years 20 days
13,,10/05/2014,Delhi Capitals,Arun Jaitley Stadium,-,162,20.25,,0,,1,3,,,3,22 years 22 days
14,9,12/05/2014,Mumbai Indians,Rajiv Gandhi International Stadium,10,172,19.11,,0,,,3,,,3,22 years 24 days
15,,14/05/2014,Punjab Kings,Rajiv Gandhi International Stadium,-,172,19.11,,0,,,3,,,3,22 years 26 days
16,10,18/05/2014,Kolkata Knight Riders,Rajiv Gandhi International Stadium,14,186,18.60,,0,,,3,,,3,22 years 30 days
17,11,11/04/2015,Chennai Super Kings,MA Chidambaram Stadium,5,191,17.36,,0,,,3,,,3,22 years 358 days
18,12,13/04/2015,Royal Challengers Bengaluru,M Chinnaswamy Stadium,44*,235,21.36,,0,,,3,,,3,22 years 360 days
19,13,16/04/2015,Rajasthan Royals,Dr YS Rajasekhara Reddy Cricket Stadium,2,237,19.75,,0,,,3,,,3,22 years 363 days
20,14,18/04/2015,Delhi Capitals,Dr YS Rajasekhara Reddy Cricket Stadium,24,261,20.08,,0,,,3,,,3,22 years 365 days
21,15,22/04/2015,Kolkata Knight Riders,Dr YS Rajasekhara Reddy Cricket Stadium,0*,261,20.08,,0,,,3,,,3,23 years 4 days
22,16,25/04/2015,Mumbai Indians,Wankhede Stadium,25,286,20.43,,0,,,3,,,3,23 years 7 days
23,17,11/05/2015,Punjab Kings,Rajiv Gandhi International Stadium,17*,303,21.64,,0,,1,4,,,3,23 years 23 days
24,,15/05/2015,Royal Challengers Bengaluru,Rajiv Gandhi International Stadium,-,303,21.64,,0,,,4,,,3,23 years 27 days
25,18,17/05/2015,Mumbai Indians,Rajiv Gandhi International Stadium,25,328,21.87,,0,,,4,,,3,23 years 29 days
26,19,20/04/2016,Mumbai Indians,Barabati Stadium,23,351,21.94,,0,,,4,,,3,24 years 2 days
27,20,22/04/2016,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,7,358,21.06,,0,,,4,,1,4,24 years 4 days
