1,,30/04/2018,Delhi Capitals,Maharashtra Cricket Association Stadium,-,0,,1/26,1,26.00,,0,,,,22 years 32 days
2,,03/05/2018,Kolkata Knight Riders,Eden Gardens,-,0,,1/36,2,31.00,,0,,,,22 years 35 days
3,,05/05/2018,Royal Challengers Bengaluru,Maharashtra Cricket Association Stadium,-,0,,1/24,3,28.67,,0,,,,22 years 37 days
4,,18/05/2018,Delhi Capitals,Arun Jaitley Stadium,-,0,,2/14,5,20.00,,0,,,,22 years 50 days
5,,20/05/2018,Punjab Kings,Maharashtra Cricket Association Stadium,-,0,,4/10,9,12.22,,0,,,,22 years 52 days
6,,22/05/2018,Sunrisers Hyderabad,Wankhede Stadium,-,0,,1/20,10,13.00,1,1,,,,22 years 54 days
7,,27/05/2018,Sunrisers Hyderabad,Wankhede Stadium,-,0,,1/26,11,14.18,,1,,,,22 years 59 days
8,,19/09/2020,Mumbai Indians,Sheikh Zayed Stadium,-,0,,3/38,14,13.86,,1,,,,24 years 174 days
9,,22/09/2020,Rajasthan Royals,Sharjah Cricket Stadium,-,0,,1/56,15,16.67,,1,,,,24 years 177 days
10,,29/10/2020,Kolkata Knight Riders,Dubai International Cricket Stadium,-,0,,2/34,17,16.71,,1,,,,24 years 214 days
11,,01/11/2020,Punjab Kings,Sheikh Zayed Stadium,-,0,,3/39,20,16.15,,1,,,,24 years 217 days
12,,21/04/2021,Kolkata Knight Riders,Wankhede Stadium,-,0,,3/28,23,15.26,1,2,,,,25 years 23 days
13,,28/04/2021,Sunrisers Hyderabad,Arun Jaitley Stadium,-,0,,2/35,25,15.44,,2,,,,25 years 30 days
14,,01/05/2021,Mumbai Indians,Arun Jaitley Stadium,-,0,,0/62,25,17.92,,2,,,,25 years 33 days
15,,03/05/2025,Chennai Super Kings,M Chinnaswamy Stadium,-,0,,3/30,28,17.07,,2,,,,29 years 35 days
16,1,23/05/2025,Sunrisers Hyderabad,BRSABV Ekana Cricket Stadium,0*,0,,1/51,29,18.24,,2,,,,29 years 55 days
