1,1,11/04/2016,Gujarat Lions,Punjab Cricket Association IS Bindra Stadium,33,33,33.00,1/27,1,27.00,,0,,,,26 years 239 days
2,2,01/05/2016,Gujarat Lions,Saurashtra Cricket Association Stadium,27,60,30.00,0/23,1,50.00,,0,,,,26 years 259 days
3,3,04/05/2016,Kolkata Knight Riders,Eden Gardens,0,60,20.00,0/26,1,76.00,,0,,,,26 years 262 days
4,4,07/05/2016,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,52,112,28.00,3/40,4,29.00,,0,,,,26 years 265 days
5,5,09/05/2016,Royal Challengers Bengaluru,Punjab Cricket Association IS Bindra Stadium,34*,146,36.50,0/35,4,37.75,,0,,,,26 years 267 days
6,,13/05/2016,Mumbai Indians,Dr YS Rajasekhara Reddy Cricket Stadium,-,146,36.50,4/15,8,20.75,,0,,,,26 years 271 days
7,,15/05/2016,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,-,146,36.50,0/28,8,24.25,,0,,,,26 years 273 days
8,,08/04/2017,Rising Pune Supergiant,Holkar Cricket Stadium,-,146,36.50,1/28,9,24.67,1,1,,,,27 years 235 days
9,,10/04/2017,Royal Challengers Bengaluru,Holkar Cricket Stadium,-,146,36.50,0/28,9,27.78,,1,,,,27 years 237 days
10,6,13/04/2017,Kolkata Knight Riders,Eden Gardens,9,155,31.00,0/14,9,29.33,,1,,,,27 years 240 days
11,7,20/04/2017,Mumbai Indians,Holkar Cricket Stadium,1,156,26.00,1/28,10,29.20,,1,,,,27 years 247 days
12,8,23/04/2017,Gujarat Lions,Saurashtra Cricket Association Stadium,7,163,23.29,0/12,10,30.40,2,3,,,,27 years 250 days
13,9,08/04/2018,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,22*,185,26.43,0/7,10,31.10,,3,,,,28 years 235 days
14,10,13/04/2018,Royal Challengers Bengaluru,M Chinnaswamy Stadium,11,196,24.50,,10,31.10,,3,,,,28 years 240 days
15,11,04/05/2018,Mumbai Indians,Holkar Cricket Stadium,29*,225,28.13,1/37,11,31.64,,3,,,,28 years 261 days
16,12,06/05/2018,Rajasthan Royals,Holkar Cricket Stadium,23*,248,31.00,0/6,11,32.18,1,4,,,,28 years 263 days
17,13,08/05/2018,Rajasthan Royals,Sawai Mansingh Stadium,11,259,28.78,1/15,12,30.75,,4,,,,28 years 265 days
18,14,14/05/2018,Royal Challengers Bengaluru,Holkar Cricket Stadium,2,261,26.10,0/12,12,31.75,,4,,,,28 years 271 days
19,15,16/05/2018,Mumbai Indians,Wankhede Stadium,1,262,23.82,1/43,13,32.62,1,5,,,,28 years 273 days
20,16,02/04/2019,Rajasthan Royals,Sawai Mansingh Stadium,31*,293,26.64,0/28,13,34.77,1,6,,,,29 years 229 days
21,17,05/04/2019,Kolkata Knight Riders,M Chinnaswamy Stadium,28*,321,29.18,0/28,13,36.92,,6,,,,29 years 232 days
22,18,07/04/2019,Delhi Capitals,M Chinnaswamy Stadium,15,336,28.00,,13,36.92,,6,,,,29 years 234 days
23,19,13/04/2019,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,28*,364,30.33,,13,36.92,,6,,,,29 years 240 days
24,20,15/04/2019,Mumbai Indians,Wankhede Stadium,0,364,28.00,,13,36.92,,6,,,,29 years 242 days
25,21,19/04/2019,Kolkata Knight Riders,Eden Gardens,17*,381,29.31,1/32,14,36.57,,6,,,,29 years 246 days
26,22,21/04/2019,Chennai Super Kings,M Chinnaswamy Stadium,14,395,28.21,0/20,14,38.00,1,7,,,,29 years 248 days
27,23,24/04/2019,Punjab Kings,M Chinnaswamy Stadium,46*,441,31.50,1/13,15,36.33,,7,,,,29 years 251 days
28,24,28/04/2019,Delhi Capitals,Arun Jaitley Stadium,32*,473,33.79,0/24,15,37.93,,7,,,,29 years 255 days
29,25,30/04/2019,Rajasthan Royals,M Chinnaswamy Stadium,0,473,31.53,,15,37.93,,7,,,,29 years 257 days
30,26,20/09/2020,Punjab Kings,Dubai International Cricket Stadium,53,526,32.88,2/29,17,35.18,,7,,,,31 years 35 days
31,27,25/09/2020,Chennai Super Kings,Dubai International Cricket Stadium,5*,531,33.19,,17,35.18,,7,,,,31 years 40 days
32,28,29/09/2020,Sunrisers Hyderabad,Sheikh Zayed Stadium,11,542,31.88,0/22,17,36.47,,7,,,,31 years 44 days
33,29,03/10/2020,Kolkata Knight Riders,Sharjah Cricket Stadium,1,543,30.17,1/46,18,37.00,,7,,,,31 years 48 days
34,30,05/10/2020,Royal Challengers Bengaluru,Dubai International Cricket Stadium,53*,596,33.11,,18,37.00,1,8,,,,31 years 50 days
35,31,09/10/2020,Rajasthan Royals,Sharjah Cricket Stadium,39,635,33.42,2/17,20,34.15,,8,,,,31 years 54 days
36,32,11/10/2020,Mumbai Indians,Sheikh Zayed Stadium,13,648,32.40,1/31,21,34.00,,8,,,,31 years 56 days
37,33,14/10/2020,Rajasthan Royals,Dubai International Cricket Stadium,18,666,31.71,,21,34.00,,8,,,,31 years 59 days
38,34,17/10/2020,Chennai Super Kings,Sharjah Cricket Stadium,24,690,31.36,0/10,21,34.48,,8,,,,31 years 62 days
39,35,20/10/2020,Punjab Kings,Dubai International Cricket Stadium,9,699,30.39,0/14,21,35.14,,8,,,,31 years 65 days
40,36,24/10/2020,Kolkata Knight Riders,Sheikh Zayed Stadium,6,705,29.38,2/41,23,33.87,,8,,,,31 years 69 days
41,37,27/10/2020,Sunrisers Hyderabad,Dubai International Cricket Stadium,5,710,28.40,0/15,23,34.52,,8,,,,31 years 72 days
42,38,31/10/2020,Mumbai Indians,Dubai International Cricket Stadium,2,712,27.38,0/4,23,34.70,,8,,,,31 years 76 days
43,39,02/11/2020,Royal Challengers Bengaluru,Sheikh Zayed Stadium,10*,722,27.77,,23,34.70,1,9,,,,31 years 78 days
44,40,05/11/2020,Mumbai Indians,Dubai International Cricket Stadium,65,787,29.15,1/5,24,33.46,,9,,,,31 years 81 days
45,41,08/11/2020,Sunrisers Hyderabad,Sheikh Zayed Stadium,38,825,29.46,3/26,27,30.70,1,10,,,,31 years 84 days
46,42,10/11/2020,Mumbai Indians,Dubai International Cricket Stadium,0,825,28.45,1/23,28,30.43,,10,,,,31 years 86 days
47,43,10/04/2021,Chennai Super Kings,Wankhede Stadium,14,839,27.97,0/26,28,31.36,,10,,,,31 years 237 days
48,44,15/04/2021,Rajasthan Royals,Wankhede Stadium,0,839,27.06,0/15,28,31.89,,10,,,,31 years 242 days
49,45,18/04/2021,Punjab Kings,Wankhede Stadium,27*,866,27.94,,28,31.89,1,11,,,,31 years 245 days
50,,20/04/2021,Mumbai Indians,MA Chidambaram Stadium,-,866,27.94,1/20,29,31.48,,11,,,,31 years 247 days
51,46,25/04/2021,Sunrisers Hyderabad,MA Chidambaram Stadium,2*,868,28.00,0/12,29,31.90,1,12,,,,31 years 252 days
52,47,27/04/2021,Royal Challengers Bengaluru,Narendra Modi Stadium,22,890,27.81,0/23,29,32.69,,12,,,,31 years 254 days
53,48,29/04/2021,Kolkata Knight Riders,Narendra Modi Stadium,6*,896,28.00,1/7,30,31.83,,12,,,,31 years 256 days
54,,02/05/2021,Punjab Kings,Narendra Modi Stadium,-,896,28.00,0/6,30,32.03,,12,,,,31 years 259 days
55,,22/09/2021,Sunrisers Hyderabad,Dubai International Cricket Stadium,-,896,28.00,0/8,30,32.30,,12,,,,32 years 37 days
56,49,13/10/2021,Kolkata Knight Riders,Sharjah Cricket Stadium,18,914,27.70,,30,32.30,,12,,,,32 years 58 days
57,50,10/04/2022,Rajasthan Royals,Wankhede Stadium,38*,952,28.85,,30,32.30,,12,,,,32 years 237 days
58,51,16/04/2022,Mumbai Indians,Brabourne Stadium,10,962,28.29,1/13,31,31.68,1,13,,,,32 years 243 days
59,52,19/04/2022,Royal Challengers Bengaluru,Dr DY Patil Sports Academy,24,986,28.17,0/14,31,32.13,1,14,,,,32 years 246 days
60,53,24/04/2022,Mumbai Indians,Wankhede Stadium,0,986,27.39,,31,32.13,,14,,,,32 years 251 days
61,54,29/04/2022,Punjab Kings,Maharashtra Cricket Association Stadium,1,987,26.68,,31,32.13,,14,,,,32 years 256 days
62,55,01/05/2022,Delhi Capitals,Wankhede Stadium,17*,1004,27.14,0/14,31,32.58,,14,,,,32 years 258 days
63,56,07/05/2022,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,28,1032,27.16,,31,32.58,,14,,,,32 years 264 days
64,57,10/05/2022,Gujarat Titans,Maharashtra Cricket Association Stadium,2,1034,26.51,,31,32.58,,14,,,,32 years 267 days
65,58,15/05/2022,Rajasthan Royals,Brabourne Stadium,27,1061,26.53,0/15,31,33.06,1,15,,,,32 years 272 days
66,,18/05/2022,Kolkata Knight Riders,Dr DY Patil Sports Academy,-,1061,26.53,3/23,34,30.82,1,16,,,,32 years 275 days
67,59,25/05/2022,Royal Challengers Bengaluru,Eden Gardens,9,1070,26.10,,34,30.82,,16,,,,32 years 282 days
68,60,01/04/2023,Delhi Capitals,BRSABV Ekana Cricket Stadium,12,1082,25.76,,34,30.82,,16,,,,33 years 228 days
69,61,03/04/2023,Chennai Super Kings,MA Chidambaram Stadium,21,1103,25.65,,34,30.82,,16,,,,33 years 230 days
70,62,07/04/2023,Sunrisers Hyderabad,BRSABV Ekana Cricket Stadium,10*,1113,25.88,,34,30.82,1,17,,,,33 years 234 days
71,63,10/04/2023,Royal Challengers Bengaluru,M Chinnaswamy Stadium,65,1178,26.77,,34,30.82,1,18,,,,33 years 237 days
72,64,15/04/2023,Punjab Kings,BRSABV Ekana Cricket Stadium,15,1193,26.51,,34,30.82,2,20,,,,33 years 242 days
73,65,19/04/2023,Rajasthan Royals,Sawai Mansingh Stadium,21,1214,26.39,2/28,36,29.89,,20,,,,33 years 246 days
