1,,15/05/2022,Gujarat Titans,Wankhede Stadium,-,0,,2/24,2,12.00,,0,,,,19 years 148 days
2,,20/05/2022,Rajasthan Royals,Brabourne Stadium,-,0,,0/28,2,26.00,1,1,,,,19 years 153 days
3,,17/04/2023,Royal Challengers Bengaluru,M Chinnaswamy Stadium,-,0,,2/42,4,23.50,,1,,,,20 years 120 days
4,,21/04/2023,Sunrisers Hyderabad,MA Chidambaram Stadium,-,0,,1/22,5,23.20,,1,,,,20 years 124 days
5,,23/04/2023,Kolkata Knight Riders,Eden Gardens,-,0,,1/27,6,23.83,,1,,,,20 years 126 days
6,,27/04/2023,Rajasthan Royals,Sawai Mansingh Stadium,-,0,,0/48,6,31.83,,1,,,,20 years 130 days
7,,30/04/2023,Punjab Kings,MA Chidambaram Stadium,-,0,,1/32,7,31.86,1,2,,,,20 years 133 days
8,,03/05/2023,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,-,0,,2/22,9,27.22,,2,,,,20 years 136 days
9,,06/05/2023,Mumbai Indians,MA Chidambaram Stadium,-,0,,3/15,12,21.67,,2,,,,20 years 139 days
10,,10/05/2023,Delhi Capitals,MA Chidambaram Stadium,-,0,,3/37,15,19.80,1,3,,,,20 years 143 days
11,,14/05/2023,Kolkata Knight Riders,MA Chidambaram Stadium,-,0,,0/23,15,21.33,1,4,,,,20 years 147 days
12,,20/05/2023,Delhi Capitals,Arun Jaitley Stadium,-,0,,2/22,17,20.12,,4,,,,20 years 153 days
13,,23/05/2023,Gujarat Titans,MA Chidambaram Stadium,-,0,,2/37,19,19.95,1,5,,,,20 years 156 days
14,,29/05/2023,Gujarat Titans,Narendra Modi Stadium,-,0,,2/44,21,20.14,,5,,,,20 years 162 days
15,,26/03/2024,Gujarat Titans,MA Chidambaram Stadium,-,0,,1/29,22,20.55,,5,,,,21 years 99 days
16,,31/03/2024,Delhi Capitals,Dr YS Rajasekhara Reddy Cricket Stadium,-,0,,3/31,25,19.32,1,6,,,,21 years 104 days
17,,14/04/2024,Mumbai Indians,Wankhede Stadium,-,0,,4/28,29,17.62,,6,,,,21 years 118 days
18,,19/04/2024,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,-,0,,1/29,30,18.00,,6,,,,21 years 123 days
19,,23/04/2024,Lucknow Super Giants,MA Chidambaram Stadium,-,0,,2/35,32,17.97,,6,,,,21 years 127 days
20,,28/04/2024,Sunrisers Hyderabad,MA Chidambaram Stadium,-,0,,2/17,34,17.41,,6,,,,21 years 132 days
21,,28/03/2025,Royal Challengers Bengaluru,MA Chidambaram Stadium,-,0,,2/36,36,17.44,,6,,,,22 years 100 days
22,,30/03/2025,Rajasthan Royals,Barsapara Cricket Stadium,-,0,,2/28,38,17.26,1,7,,,,22 years 102 days
23,,05/04/2025,Delhi Capitals,MA Chidambaram Stadium,-,0,,1/31,39,17.62,1,8,,,,22 years 108 days
24,,08/04/2025,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,-,0,,0/52,39,18.95,,8,,,,22 years 111 days
25,,14/04/2025,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,-,0,,2/45,41,19.12,,8,,,,22 years 117 days
26,,20/04/2025,Mumbai Indians,Wankhede Stadium,-,0,,0/34,41,19.95,,8,,,,22 years 123 days
