1,,17/04/2014,Delhi Capitals,Sharjah Cricket Stadium,-,0,,1/33,1,33.00,,0,,,,24 years 77 days
2,,19/04/2014,Mumbai Indians,Dubai International Cricket Stadium,-,0,,2/21,3,18.00,,0,,,,24 years 79 days
3,1,24/04/2014,Kolkata Knight Riders,Sharjah Cricket Stadium,0*,0,,2/33,5,17.40,1,1,,,,24 years 84 days
4,2,26/04/2014,Rajasthan Royals,Sheikh Zayed Stadium,18,18,18.00,2/29,7,16.57,,1,,,,24 years 86 days
5,3,28/04/2014,Punjab Kings,Dubai International Cricket Stadium,8,26,13.00,0/15,7,18.71,2,3,,,,24 years 88 days
6,4,04/05/2014,Sunrisers Hyderabad,M Chinnaswamy Stadium,5,31,10.33,2/21,9,16.89,2,5,,,,24 years 94 days
7,5,06/05/2014,Mumbai Indians,Wankhede Stadium,5,36,9.00,0/29,9,20.11,,5,,,,24 years 96 days
8,6,09/05/2014,Punjab Kings,M Chinnaswamy Stadium,29,65,13.00,2/43,11,20.36,1,6,,,,24 years 99 days
9,,11/05/2014,Rajasthan Royals,M Chinnaswamy Stadium,-,65,13.00,0/33,11,23.36,,6,,,,24 years 101 days
10,,13/05/2014,Delhi Capitals,M Chinnaswamy Stadium,-,65,13.00,2/26,13,21.77,,6,,,,24 years 103 days
11,,18/05/2014,Chennai Super Kings,JSCA International Stadium Complex,-,65,13.00,0/23,13,23.54,2,8,,,,24 years 108 days
12,7,20/05/2014,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,6,71,11.83,0/31,13,25.92,,8,,,,24 years 110 days
13,8,22/05/2014,Kolkata Knight Riders,Eden Gardens,12*,83,13.83,1/32,14,26.36,1,9,,,,24 years 112 days
14,9,24/05/2014,Chennai Super Kings,M Chinnaswamy Stadium,2*,85,14.17,0/33,14,28.71,,9,,,,24 years 114 days
15,10,22/04/2015,Chennai Super Kings,M Chinnaswamy Stadium,9*,94,15.67,1/24,15,28.40,,9,,,,25 years 82 days
16,,24/04/2015,Rajasthan Royals,Narendra Modi Stadium,-,94,15.67,3/22,18,24.89,1,10,,,,25 years 84 days
17,,26/04/2015,Delhi Capitals,Arun Jaitley Stadium,-,94,15.67,3/20,21,22.29,1,11,,,,25 years 86 days
18,,29/04/2015,Rajasthan Royals,M Chinnaswamy Stadium,-,94,15.67,,21,22.29,,11,,,,25 years 89 days
19,,02/05/2015,Kolkata Knight Riders,M Chinnaswamy Stadium,-,94,15.67,1/15,22,21.95,,11,,,,25 years 92 days
20,11,04/05/2015,Chennai Super Kings,MA Chidambaram Stadium,1,95,13.57,3/24,25,20.28,1,12,,,,25 years 94 days
21,,06/05/2015,Punjab Kings,M Chinnaswamy Stadium,-,95,13.57,4/15,29,18.00,,12,,,,25 years 96 days
22,,10/05/2015,Mumbai Indians,Wankhede Stadium,-,95,13.57,1/41,30,18.77,1,13,,,,25 years 100 days
23,,13/05/2015,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,-,95,13.57,1/20,31,18.81,,13,,,,25 years 103 days
