1,,08/04/2018,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,-,0,,2/28,2,14.00,,0,,,,17 years 11 days
2,1,13/04/2018,Royal Challengers Bengaluru,M Chinnaswamy Stadium,0,0,0.00,1/29,3,19.00,1,1,,,,17 years 16 days
3,,15/04/2018,Chennai Super Kings,Punjab Cricket Association IS Bindra Stadium,-,0,0.00,0/18,3,25.00,,1,,,,17 years 18 days
4,,19/04/2018,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,-,0,0.00,0/27,3,34.00,,1,,,,17 years 22 days
5,,21/04/2018,Kolkata Knight Riders,Eden Gardens,-,0,0.00,1/32,4,33.50,,1,,,,17 years 24 days
6,,23/04/2018,Delhi Capitals,Arun Jaitley Stadium,-,0,0.00,2/25,6,26.50,,1,,,,17 years 26 days
7,2,26/04/2018,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,10*,10,10.00,1/17,7,25.14,,1,,,,17 years 29 days
8,,04/05/2018,Mumbai Indians,Holkar Cricket Stadium,-,10,10.00,2/37,9,23.67,,1,,,,17 years 37 days
9,,06/05/2018,Rajasthan Royals,Holkar Cricket Stadium,-,10,10.00,3/27,12,20.00,,1,,,,17 years 39 days
10,,08/05/2018,Rajasthan Royals,Sawai Mansingh Stadium,-,10,10.00,2/21,14,18.64,,1,,,,17 years 41 days
11,,12/05/2018,Kolkata Knight Riders,Holkar Cricket Stadium,-,10,10.00,0/28,14,20.64,,1,,,,17 years 45 days
12,,25/03/2019,Rajasthan Royals,Sawai Mansingh Stadium,-,10,10.00,2/31,16,20.00,,1,,,,17 years 362 days
13,3,01/04/2019,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,0*,10,10.00,0/36,16,22.25,,1,,,,18 years 4 days
14,,08/04/2019,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,-,10,10.00,1/34,17,22.94,,1,,,,18 years 11 days
15,,16/04/2019,Rajasthan Royals,Punjab Cricket Association IS Bindra Stadium,-,10,10.00,0/24,17,24.35,,1,,,,18 years 19 days
16,4,29/04/2019,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,0,10,5.00,0/66,17,28.24,1,2,,,,18 years 32 days
17,5,08/10/2020,Sunrisers Hyderabad,Dubai International Cricket Stadium,1,11,3.67,0/39,17,30.53,,2,,,,19 years 194 days
18,,10/10/2020,Kolkata Knight Riders,Sheikh Zayed Stadium,-,11,3.67,0/44,17,33.12,,2,,,,19 years 196 days
19,6,17/04/2021,Mumbai Indians,MA Chidambaram Stadium,1*,12,4.00,2/29,19,31.16,,2,,,,20 years 20 days
20,,29/03/2025,Gujarat Titans,Narendra Modi Stadium,-,12,4.00,1/28,20,31.00,,2,,,,24 years 1 days
